Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,6.250000,6.350000,6.200000,6.300000,6.300000,3413321
2016-01-04,6.300000,6.450000,6.200000,6.250000,6.250000,4539026
2016-01-05,6.300000,6.800000,6.250000,6.650000,6.650000,13425635
2016-01-06,6.750000,6.900000,6.550000,6.650000,6.650000,11378607
2016-01-07,6.400000,6.450000,6.000000,6.250000,6.250000,11706028
2016-01-08,6.350000,6.400000,6.150000,6.300000,6.300000,5201651
2016-01-11,6.250000,6.400000,6.150000,6.300000,6.300000,4967031
2016-01-12,6.350000,6.400000,6.050000,6.150000,6.150000,3686478
2016-01-13,6.250000,6.250000,5.850000,6.050000,6.050000,7427348
2016-01-14,5.900000,6.050000,5.800000,5.950000,5.950000,4393145
2016-01-15,6.000000,6.050000,5.700000,5.750000,5.750000,5583558
2016-01-18,5.750000,5.850000,5.500000,5.500000,5.500000,4552095
2016-01-19,5.550000,5.700000,5.350000,5.450000,5.450000,7416403
2016-01-20,5.450000,5.450000,5.150000,5.250000,5.250000,4408832
2016-01-21,5.350000,5.400000,5.050000,5.100000,5.100000,5542799
2016-01-22,5.250000,5.300000,5.100000,5.200000,5.200000,3402762
2016-01-25,5.300000,5.300000,5.000000,5.150000,5.150000,9961902
2016-01-27,5.200000,5.300000,5.100000,5.250000,5.250000,3106659
2016-01-28,5.300000,5.300000,5.200000,5.200000,5.200000,1345261
2016-01-29,5.200000,5.250000,5.050000,5.100000,5.100000,3592741
2016-02-01,5.150000,5.250000,5.100000,5.100000,5.100000,2756113
2016-02-02,5.150000,5.200000,5.100000,5.150000,5.150000,1527400
2016-02-03,5.150000,5.150000,4.850000,5.100000,5.100000,5151612
2016-02-04,5.100000,5.100000,4.900000,4.900000,4.900000,1820631
2016-02-05,4.950000,5.050000,4.900000,5.000000,5.000000,1915650
2016-02-08,5.000000,5.100000,4.950000,5.050000,5.050000,2109634
2016-02-09,5.050000,5.050000,4.950000,5.000000,5.000000,1329865
2016-02-10,5.050000,5.050000,4.750000,4.800000,4.800000,5116517
2016-02-11,4.900000,4.900000,4.200000,4.300000,4.300000,7772551
2016-02-12,4.400000,4.400000,3.800000,4.050000,4.050000,8376562
2016-02-15,4.050000,4.200000,3.850000,4.050000,4.050000,5265549
2016-02-16,4.200000,4.200000,3.950000,4.000000,4.000000,3467237
2016-02-17,4.050000,4.050000,3.850000,3.900000,3.900000,5013524
2016-02-18,4.050000,4.050000,3.750000,3.900000,3.900000,5744786
2016-02-19,3.950000,4.000000,3.850000,3.850000,3.850000,1974858
2016-02-22,3.850000,3.950000,3.850000,3.900000,3.900000,1749342
2016-02-23,3.900000,4.250000,3.850000,3.950000,3.950000,5412239
2016-02-24,4.000000,4.150000,3.950000,4.000000,4.000000,2138960
2016-02-25,4.000000,4.050000,3.950000,4.000000,4.000000,686039
2016-02-26,4.050000,4.050000,3.850000,3.900000,3.900000,1867581
2016-02-29,4.000000,4.000000,3.800000,3.850000,3.850000,2972799
2016-03-01,3.950000,3.950000,3.850000,3.900000,3.900000,1978575
2016-03-02,4.000000,4.150000,3.950000,4.050000,4.050000,3560815
2016-03-03,4.100000,4.200000,4.050000,4.150000,4.150000,2184092
2016-03-04,4.150000,4.350000,4.050000,4.200000,4.200000,3341432
2016-03-08,4.150000,4.500000,4.150000,4.400000,4.400000,4291132
2016-03-09,4.400000,4.500000,4.300000,4.350000,4.350000,3137356
2016-03-10,4.400000,4.650000,4.350000,4.450000,4.450000,7110080
2016-03-11,4.500000,4.550000,4.350000,4.400000,4.400000,2704521
2016-03-14,4.500000,4.500000,4.100000,4.200000,4.200000,4776086
2016-03-15,4.200000,4.200000,3.950000,4.000000,4.000000,3444175
2016-03-16,4.150000,4.800000,4.150000,4.800000,4.800000,19196791
2016-03-17,5.150000,5.700000,4.900000,5.250000,5.250000,48618823
2016-03-18,5.500000,5.800000,5.250000,5.350000,5.350000,25815186
2016-03-21,5.400000,5.400000,5.050000,5.150000,5.150000,6752038
2016-03-22,5.150000,5.150000,4.900000,4.950000,4.950000,6467652
2016-03-23,5.000000,5.000000,4.650000,4.750000,4.750000,7193067
2016-03-28,4.850000,4.850000,4.500000,4.550000,4.550000,6264962
2016-03-29,4.550000,4.650000,4.400000,4.500000,4.500000,6476018
2016-03-30,4.550000,4.700000,4.500000,4.600000,4.600000,4007778
2016-03-31,4.700000,4.700000,4.450000,4.500000,4.500000,3510881
2016-04-01,4.500000,4.750000,4.450000,4.650000,4.650000,4709290
2016-04-04,4.700000,4.750000,4.600000,4.650000,4.650000,1739924
2016-04-05,4.650000,4.700000,4.450000,4.500000,4.500000,3917815
2016-04-06,4.500000,5.000000,4.450000,4.850000,4.850000,5896613
2016-04-07,4.950000,5.100000,4.700000,4.850000,4.850000,6449603
2016-04-08,4.950000,5.300000,4.850000,5.000000,5.000000,6226469
2016-04-11,5.050000,5.050000,4.850000,4.900000,4.900000,4323235
2016-04-12,4.950000,4.950000,4.750000,4.800000,4.800000,2233191
2016-04-13,4.850000,4.900000,4.750000,4.800000,4.800000,4448772
2016-04-18,4.800000,4.800000,4.700000,4.750000,4.750000,1952430
2016-04-20,4.850000,5.000000,4.750000,4.950000,4.950000,3609765
2016-04-21,5.000000,5.050000,4.800000,4.800000,4.800000,3413273
2016-04-22,4.850000,4.850000,4.600000,4.650000,4.650000,4045039
2016-04-25,4.750000,4.750000,4.600000,4.650000,4.650000,1779770
2016-04-26,4.700000,4.850000,4.600000,4.700000,4.700000,3036744
2016-04-27,4.750000,4.750000,4.600000,4.600000,4.600000,2265687
2016-04-28,4.650000,4.700000,4.550000,4.600000,4.600000,2216250
2016-04-29,4.650000,4.700000,4.500000,4.600000,4.600000,3173305
2016-05-02,4.600000,4.650000,4.500000,4.550000,4.550000,1732863
2016-05-03,4.600000,4.700000,4.500000,4.500000,4.500000,2245446
2016-05-04,4.500000,4.550000,4.400000,4.450000,4.450000,2544949
2016-05-05,4.450000,4.500000,4.250000,4.300000,4.300000,2831775
2016-05-06,4.250000,4.300000,4.100000,4.200000,4.200000,2631246
2016-05-09,4.200000,4.250000,4.050000,4.100000,4.100000,5246619
2016-05-10,4.050000,4.100000,3.850000,3.900000,3.900000,5798447
2016-05-11,3.850000,4.100000,3.800000,4.050000,4.050000,5778283
2016-05-12,4.100000,4.250000,4.000000,4.050000,4.050000,4407817
2016-05-13,4.050000,4.100000,3.850000,3.950000,3.950000,3262580
2016-05-16,4.000000,4.050000,3.850000,3.900000,3.900000,2474692
2016-05-17,3.950000,3.950000,3.850000,3.900000,3.900000,1444465
2016-05-18,3.950000,4.050000,3.900000,3.950000,3.950000,1001777
2016-05-19,3.950000,4.000000,3.900000,3.950000,3.950000,1374769
2016-05-20,3.950000,3.950000,3.800000,3.900000,3.900000,2386572
2016-05-23,3.950000,3.950000,3.800000,3.850000,3.850000,1657918
2016-05-24,3.900000,3.900000,3.700000,3.800000,3.800000,2335739
2016-05-25,3.800000,3.900000,3.750000,3.850000,3.850000,1583522
2016-05-26,3.800000,3.900000,3.800000,3.800000,3.800000,1155466
2016-05-27,3.900000,4.050000,3.850000,3.950000,3.950000,2273633
2016-05-30,4.000000,4.000000,3.850000,3.850000,3.850000,1806576
2016-05-31,3.700000,3.850000,3.500000,3.700000,3.700000,2890237
2016-06-01,3.700000,3.750000,3.650000,3.700000,3.700000,1463780
2016-06-02,3.700000,3.700000,3.450000,3.600000,3.600000,4352862
2016-06-03,3.600000,3.650000,3.350000,3.450000,3.450000,6110438
2016-06-06,3.500000,3.500000,3.350000,3.400000,3.400000,1299709
2016-06-07,3.400000,3.450000,2.800000,3.150000,3.150000,21422107
2016-06-08,3.250000,3.350000,3.100000,3.200000,3.200000,6561875
2016-06-09,3.250000,3.250000,3.100000,3.200000,3.200000,2094707
2016-06-10,3.200000,3.800000,3.150000,3.800000,3.800000,15359104
2016-06-13,3.900000,3.950000,3.600000,3.750000,3.750000,6836948
2016-06-14,3.900000,4.350000,3.800000,4.200000,4.200000,14148141
2016-06-15,4.300000,4.450000,4.050000,4.100000,4.100000,8840605
2016-06-16,4.100000,4.100000,3.800000,3.900000,3.900000,5015695
2016-06-17,3.950000,4.050000,3.850000,3.850000,3.850000,2667179
2016-06-20,3.900000,4.400000,3.800000,4.250000,4.250000,9631561
2016-06-21,4.300000,4.600000,4.050000,4.500000,4.500000,20890322
2016-06-22,4.600000,4.900000,4.400000,4.600000,4.600000,29938101
2016-06-23,4.650000,4.650000,4.350000,4.400000,4.400000,5706156
2016-06-24,4.300000,4.400000,3.950000,4.250000,4.250000,8342334
2016-06-27,4.300000,4.600000,4.300000,4.500000,4.500000,4972638
2016-06-28,4.500000,4.650000,4.250000,4.350000,4.350000,3697493
2016-06-29,4.400000,4.450000,4.300000,4.300000,4.300000,3131115
2016-06-30,4.400000,4.500000,4.250000,4.400000,4.400000,5924882
2016-07-01,4.450000,4.450000,4.200000,4.250000,4.250000,5563378
2016-07-04,4.350000,4.400000,4.200000,4.300000,4.300000,4247745
2016-07-05,4.300000,4.600000,4.250000,4.350000,4.350000,7102993
2016-07-07,4.450000,4.550000,4.350000,4.400000,4.400000,6346017
2016-07-08,4.450000,4.450000,4.300000,4.300000,4.300000,3434481
2016-07-11,4.400000,4.500000,4.350000,4.400000,4.400000,3721714
2016-07-12,4.450000,4.450000,3.800000,4.150000,4.150000,11883296
2016-07-13,4.300000,4.400000,4.150000,4.250000,4.250000,6103248
2016-07-14,4.300000,4.450000,4.200000,4.350000,4.350000,4242455
2016-07-15,4.400000,4.450000,4.250000,4.250000,4.250000,3576886
2016-07-18,4.300000,4.350000,4.150000,4.200000,4.200000,3273674
2016-07-19,4.200000,4.350000,4.100000,4.150000,4.150000,4069199
2016-07-20,4.200000,4.200000,4.100000,4.100000,4.100000,3014376
2016-07-21,4.150000,4.400000,4.100000,4.200000,4.200000,6900390
2016-07-22,4.200000,4.250000,4.150000,4.150000,4.150000,1237524
2016-07-25,4.250000,4.500000,4.150000,4.200000,4.200000,9597445
2016-07-26,4.250000,4.300000,4.100000,4.150000,4.150000,3514585
2016-07-27,4.200000,4.200000,4.000000,4.100000,4.100000,5667671
2016-07-28,4.150000,4.150000,3.950000,4.050000,4.050000,8007336
2016-07-29,4.050000,4.100000,3.950000,3.950000,3.950000,4454035
2016-08-01,4.050000,4.050000,3.850000,3.900000,3.900000,3195666
2016-08-02,3.950000,4.000000,3.750000,3.800000,3.800000,5794099
2016-08-03,3.800000,3.850000,3.650000,3.700000,3.700000,4200641
2016-08-04,3.750000,3.800000,3.600000,3.650000,3.650000,4344276
2016-08-05,3.700000,3.750000,3.650000,3.700000,3.700000,2373950
2016-08-08,3.700000,3.750000,3.550000,3.600000,3.600000,4940489
2016-08-09,3.650000,3.650000,3.500000,3.550000,3.550000,3908239
2016-08-10,3.550000,3.600000,3.450000,3.450000,3.450000,3504029
2016-08-11,3.500000,3.500000,3.400000,3.450000,3.450000,2629563
2016-08-12,3.500000,3.550000,3.400000,3.450000,3.450000,3555326
2016-08-16,3.500000,3.500000,3.400000,3.400000,3.400000,1892271
2016-08-17,3.400000,3.400000,3.250000,3.300000,3.300000,4935554
2016-08-18,3.300000,3.400000,3.250000,3.300000,3.300000,2742124
2016-08-19,3.300000,3.400000,3.200000,3.250000,3.250000,4936239
2016-08-22,3.250000,3.300000,3.200000,3.250000,3.250000,2205537
2016-08-23,3.300000,3.300000,3.150000,3.150000,3.150000,4015698
2016-08-24,3.200000,3.200000,2.950000,3.100000,3.100000,12444729
2016-08-25,3.100000,3.200000,2.950000,3.100000,3.100000,7844801
2016-08-26,3.100000,3.200000,2.950000,3.150000,3.150000,8604509
2016-08-29,3.150000,3.150000,3.000000,3.050000,3.050000,3204397
2016-08-30,3.050000,3.100000,2.950000,3.000000,3.000000,4597065
2016-08-31,3.050000,3.050000,2.900000,2.950000,2.950000,7491021
2016-09-01,2.950000,3.050000,2.950000,3.000000,3.000000,3237150
2016-09-02,3.050000,3.100000,3.000000,3.050000,3.050000,2551804
2016-09-06,3.050000,3.350000,3.000000,3.200000,3.200000,5829746
2016-09-07,3.200000,3.800000,3.200000,3.600000,3.600000,26422712
2016-09-08,3.700000,4.000000,3.600000,3.800000,3.800000,12663972
2016-09-09,3.800000,3.800000,3.600000,3.650000,3.650000,5315971
2016-09-12,3.550000,3.550000,3.400000,3.500000,3.500000,3691381
2016-09-14,3.450000,3.450000,3.300000,3.350000,3.350000,4699507
2016-09-15,3.400000,3.400000,3.250000,3.300000,3.300000,3567248
2016-09-16,3.350000,3.400000,3.300000,3.350000,3.350000,1811238
2016-09-19,3.350000,3.700000,3.300000,3.550000,3.550000,7860626
2016-09-20,3.550000,3.600000,3.400000,3.500000,3.500000,2213573
2016-09-21,3.750000,3.750000,3.500000,3.600000,3.600000,6282686
2016-09-22,3.650000,3.700000,3.500000,3.500000,3.500000,3230933
2016-09-23,3.550000,3.550000,3.500000,3.500000,3.500000,1951764
2016-09-26,3.500000,3.550000,3.400000,3.450000,3.450000,2544126
2016-09-27,3.500000,3.500000,3.400000,3.400000,3.400000,2058375
2016-09-28,3.400000,3.450000,3.350000,3.350000,3.350000,1339584
2016-09-29,3.400000,3.400000,3.100000,3.150000,3.150000,6413693
2016-09-30,3.150000,3.200000,3.100000,3.200000,3.200000,1979842
2016-10-03,3.200000,3.400000,3.200000,3.300000,3.300000,3637813
2016-10-04,3.400000,3.400000,3.350000,3.350000,3.350000,2097560
2016-10-05,3.400000,3.400000,3.350000,3.350000,3.350000,1028989
2016-10-06,3.400000,3.400000,3.250000,3.300000,3.300000,2501669
2016-10-07,3.350000,3.350000,3.250000,3.300000,3.300000,1986466
