Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,70.699997,73.250000,70.050003,71.900002,64.934311,2267239
2016-01-04,72.750000,74.800003,72.500000,73.949997,66.785698,4035576
2016-01-05,74.050003,74.949997,72.300003,73.849998,66.695389,1922395
2016-01-06,75.000000,78.500000,75.000000,77.699997,70.172409,6020172
2016-01-07,76.949997,77.000000,73.500000,75.000000,67.733978,3061583
2016-01-08,76.000000,83.449997,75.500000,82.250000,74.281601,7936149
2016-01-11,81.500000,86.400002,81.000000,83.599998,75.500816,6288087
2016-01-12,84.250000,84.650002,79.699997,82.900002,74.868629,3044491
2016-01-13,83.400002,89.449997,78.800003,87.800003,79.293915,8441813
2016-01-14,85.250000,90.900002,83.300003,87.449997,78.977814,5412423
2016-01-15,88.500000,90.599998,82.000000,83.349998,75.275024,4019088
2016-01-18,83.000000,86.500000,78.000000,80.199997,72.430206,3145349
2016-01-19,80.800003,86.400002,80.800003,85.000000,76.765175,2570996
2016-01-20,84.000000,85.650002,81.000000,83.750000,75.636284,2374103
2016-01-21,84.300003,85.699997,82.099998,83.300003,75.229874,1079746
2016-01-22,84.750000,89.949997,83.900002,89.099998,80.467972,3085671
2016-01-25,90.599998,91.500000,87.099998,87.699997,79.203598,1573272
2016-01-27,88.000000,89.300003,83.800003,88.349998,79.790634,2144342
2016-01-28,88.000000,88.900002,85.599998,88.000000,79.474541,1052176
2016-01-29,88.000000,90.000000,86.750000,88.949997,80.332497,1641286
2016-02-01,89.400002,93.699997,88.599998,92.900002,83.899826,3398557
2016-02-02,93.500000,95.000000,90.000000,90.699997,81.912956,2329341
2016-02-03,90.000000,90.000000,85.500000,88.199997,79.655159,1489486
2016-02-04,89.500000,90.400002,81.500000,82.449997,74.462219,1792425
2016-02-05,83.000000,87.500000,82.500000,86.650002,78.255318,1038582
2016-02-08,87.500000,91.699997,85.599998,89.750000,81.054993,4267244
2016-02-09,87.750000,90.750000,85.050003,85.650002,77.352211,3269883
2016-02-10,85.400002,85.800003,79.300003,80.800003,72.972076,2157674
2016-02-11,80.300003,82.300003,75.050003,75.300003,68.004921,1861244
2016-02-12,75.500000,80.000000,70.250000,78.849998,71.210991,1930269
2016-02-15,80.699997,82.900002,79.800003,80.449997,72.655983,916230
2016-02-16,81.599998,81.699997,76.250000,76.800003,69.359596,682029
2016-02-17,76.800003,81.900002,73.500000,80.099998,72.339897,1394989
2016-02-18,82.199997,83.900002,77.800003,79.199997,71.527077,1289098
2016-02-19,79.750000,80.650002,78.150002,80.050003,72.294739,595298
2016-02-22,80.750000,81.400002,78.000000,80.099998,72.339897,702419
2016-02-23,80.349998,80.900002,78.099998,78.750000,71.120682,696499
2016-02-24,79.949997,82.400002,79.500000,79.949997,72.204430,1703284
2016-02-25,80.349998,82.400002,79.650002,80.250000,72.475357,1316825
2016-02-26,81.400002,83.199997,81.400002,82.599998,74.597679,1560977
2016-02-29,82.400002,82.949997,80.000000,81.400002,73.513947,990362
2016-03-01,82.199997,85.300003,81.300003,84.750000,76.539398,1113880
