Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,178.000000,182.750000,175.199997,181.899994,176.426315,282334
2016-01-04,183.600006,183.600006,176.899994,177.750000,172.401184,230628
2016-01-05,177.199997,185.000000,177.199997,180.449997,175.019943,440706
2016-01-06,182.000000,183.949997,179.250000,183.050003,177.541718,515703
2016-01-07,180.949997,182.500000,168.199997,179.850006,174.438004,476306
2016-01-08,181.850006,184.949997,179.250000,182.949997,177.444702,359183
2016-01-11,183.100006,183.100006,177.000000,180.500000,175.068420,263127
2016-01-12,182.000000,183.800003,177.100006,180.050003,174.631989,474118
2016-01-13,181.250000,182.949997,172.050003,175.649994,170.364365,889341
2016-01-14,172.300003,178.800003,172.100006,176.750000,171.431290,378710
2016-01-15,176.750000,177.800003,163.449997,165.949997,160.956268,519435
2016-01-18,162.100006,171.000000,146.500000,166.399994,161.392731,776194
2016-01-19,164.899994,170.000000,162.699997,165.100006,160.131851,203318
2016-01-20,161.250000,166.899994,157.000000,164.300003,159.355927,704148
2016-01-21,164.800003,167.000000,161.649994,163.500000,158.580002,196469
2016-01-22,165.000000,166.000000,157.350006,159.550003,154.748856,1227593
2016-01-25,160.100006,170.100006,160.100006,165.399994,160.422806,1055811
2016-01-27,166.149994,170.000000,163.350006,168.550003,163.478027,548772
2016-01-28,168.600006,173.600006,166.699997,169.350006,164.253967,796447
2016-01-29,169.350006,179.949997,166.500000,176.550003,171.237305,654911
2016-02-01,177.300003,180.899994,173.500000,175.600006,170.315887,1273502
2016-02-02,175.000000,177.800003,172.000000,175.550003,170.267395,609725
2016-02-03,174.699997,175.500000,171.100006,173.250000,168.036606,450994
2016-02-04,173.949997,175.600006,172.300003,173.250000,168.036606,464595
2016-02-05,174.750000,175.500000,171.100006,173.100006,167.891129,316079
2016-02-08,171.949997,174.449997,171.100006,172.500000,167.309174,580782
2016-02-09,168.000000,174.449997,168.000000,171.600006,166.436249,281742
2016-02-10,170.000000,173.000000,169.050003,171.449997,166.290756,527023
2016-02-11,169.250000,171.500000,138.600006,149.899994,145.389236,499631
2016-02-12,150.000000,165.000000,119.949997,119.949997,116.340492,1110574
2016-02-15,120.000000,126.000000,114.000000,118.949997,115.370590,1652350
2016-02-16,118.800003,123.500000,116.900002,118.400002,114.837143,859405
2016-02-17,122.699997,130.199997,120.500000,130.149994,126.233551,1607041
2016-02-18,135.000000,143.149994,135.000000,143.149994,138.842361,1356683
2016-02-19,144.000000,149.000000,133.000000,144.399994,140.054749,898330
2016-02-22,144.000000,148.250000,139.000000,144.649994,140.297211,587325
2016-02-23,145.149994,151.250000,136.100006,147.800003,143.352432,1064753
2016-02-24,147.800003,155.149994,143.550003,152.899994,148.298965,648727
2016-02-25,152.449997,159.000000,152.199997,157.449997,152.712051,484627
2016-02-26,156.449997,159.800003,152.500000,154.000000,149.365875,293508
2016-02-29,153.000000,157.000000,146.300003,148.199997,143.740387,376632
2016-03-01,149.800003,151.899994,146.050003,148.250000,143.788895,258694
2016-03-02,149.699997,150.949997,146.050003,146.899994,142.479507,175181
2016-03-03,148.000000,148.800003,142.000000,144.350006,140.006241,276810
2016-03-04,144.800003,145.800003,139.000000,139.750000,135.544678,173672
2016-03-08,134.050003,142.050003,134.050003,136.399994,132.295486,343093
2016-03-09,136.449997,136.449997,131.199997,133.800003,129.773712,122826
2016-03-10,134.050003,138.000000,132.949997,133.949997,129.919189,157421
2016-03-11,133.850006,135.949997,128.699997,131.500000,127.542938,199326
2016-03-14,131.000000,138.050003,130.949997,138.050003,133.895828,245379
2016-03-15,140.000000,143.800003,139.000000,141.500000,137.242020,277520
2016-03-16,141.949997,143.800003,137.050003,138.699997,134.526260,214831
2016-03-17,140.750000,142.000000,135.199997,136.850006,132.731934,136242
2016-03-18,139.399994,139.399994,130.050003,132.000000,128.027878,531112
2016-03-21,132.899994,134.149994,130.399994,131.449997,127.494446,105099
2016-03-22,131.899994,133.250000,129.449997,131.750000,127.785423,162280
2016-03-23,131.500000,133.000000,130.500000,131.199997,127.251938,96910
2016-03-28,130.600006,136.500000,129.149994,133.100006,129.094788,866616
2016-03-29,130.500000,131.949997,126.449997,129.600006,125.700104,445775
2016-03-30,127.500000,132.500000,126.800003,129.300003,125.409142,352578
2016-03-31,130.350006,131.949997,124.050003,125.449997,121.674988,155495
2016-04-01,127.000000,134.449997,126.650002,132.550003,128.561356,233207
2016-04-04,133.050003,142.300003,131.199997,138.449997,134.283798,719539
2016-04-05,138.100006,138.300003,134.199997,134.750000,130.695129,191922
2016-04-06,135.699997,140.000000,133.449997,139.000000,134.817245,288436
2016-04-07,138.550003,139.000000,135.899994,136.449997,132.343964,412034
2016-04-08,137.300003,141.699997,133.199997,140.949997,136.708572,332858
2016-04-11,140.250000,140.600006,134.500000,136.600006,132.489471,337285
2016-04-12,136.550003,138.399994,135.050003,136.699997,132.586472,195175
2016-04-13,137.000000,139.800003,135.000000,136.699997,132.586472,220035
2016-04-18,136.850006,136.850006,127.550003,128.199997,124.342232,256955
2016-04-20,129.800003,132.000000,124.000000,125.449997,121.674988,440379
2016-04-21,127.000000,128.449997,120.050003,124.250000,120.511108,380549
2016-04-22,124.699997,125.500000,119.650002,120.650002,117.019424,359274
2016-04-25,121.650002,122.800003,115.099998,116.750000,113.236794,296241
2016-04-26,116.900002,117.650002,109.599998,110.550003,107.223351,411239
2016-04-27,110.000000,111.849998,108.849998,110.000000,106.689911,257704
2016-04-28,110.000000,121.900002,108.099998,117.250000,113.721741,1375164
2016-04-29,118.000000,124.699997,117.949997,120.199997,116.582962,781330
2016-05-02,119.500000,120.400002,116.000000,117.000000,113.479256,266197
2016-05-03,118.000000,120.750000,114.000000,114.400002,110.957504,307426
2016-05-04,113.500000,116.400002,111.349998,111.849998,108.484245,112126
2016-05-05,113.500000,113.849998,111.500000,112.050003,108.678223,57512
2016-05-06,112.849998,112.900002,106.599998,108.250000,104.992577,177386
2016-05-09,110.000000,110.599998,108.000000,108.349998,105.089554,104514
2016-05-10,109.300003,109.949997,107.199997,107.550003,104.313637,125798
2016-05-11,106.400002,109.800003,103.599998,104.199997,101.064438,288409
2016-05-12,104.750000,112.500000,104.750000,110.699997,107.368835,683422
2016-05-13,110.500000,113.849998,108.750000,110.599998,107.271843,242566
2016-05-16,111.699997,111.699997,108.150002,108.449997,105.186546,112721
2016-05-17,109.699997,110.000000,107.000000,107.650002,104.410629,74981
2016-05-18,107.500000,109.000000,106.000000,108.050003,104.798592,185685
2016-05-19,109.400002,113.699997,104.000000,105.150002,101.985847,494143
2016-05-20,106.300003,108.000000,103.500000,104.099998,100.967445,123176
2016-05-23,105.650002,106.800003,101.099998,102.550003,99.464096,594946
2016-05-24,103.849998,103.849998,101.349998,102.300003,99.221611,145705
2016-05-25,102.050003,103.949997,89.550003,95.199997,92.335258,487476
2016-05-26,98.400002,102.000000,96.150002,98.250000,95.293488,270436
2016-05-27,99.500000,99.500000,97.599998,98.699997,95.729942,195099
2016-05-30,99.650002,99.650002,82.300003,91.099998,88.358635,365907
2016-05-31,93.849998,94.400002,88.500000,90.349998,87.631210,113665
2016-06-01,91.199997,94.949997,91.150002,93.199997,90.395447,175137
2016-06-02,93.500000,93.900002,91.599998,92.599998,89.813507,56985
2016-06-03,93.949997,93.949997,91.300003,91.750000,88.989082,41969
2016-06-06,91.500000,93.449997,89.050003,89.900002,87.194756,58571
2016-06-07,89.650002,91.949997,88.199997,88.949997,86.273331,123842
2016-06-08,89.000000,91.949997,89.000000,90.250000,87.534210,183136
2016-06-09,91.000000,91.449997,88.300003,88.900002,86.224846,153172
2016-06-10,90.949997,94.599998,87.400002,87.949997,85.303429,477018
2016-06-13,86.199997,88.349998,86.000000,86.650002,84.042557,92468
2016-06-14,87.500000,90.949997,85.550003,86.099998,83.509094,349404
2016-06-15,86.849998,87.550003,85.400002,85.650002,83.072639,128988
