Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,18650.000000,19300.000000,18570.000000,19199.099609,18439.232422,19323
2016-01-04,19199.000000,19420.000000,18740.000000,18815.650391,18070.960938,21211
2016-01-05,18899.949219,19030.849609,18572.000000,18632.699219,17895.250000,18359
2016-01-06,18602.050781,18897.099609,18569.900391,18721.750000,17980.775391,14987
2016-01-07,18720.000000,18720.000000,18150.000000,18306.949219,17582.390625,21853
2016-01-08,18401.699219,18500.000000,18150.000000,18223.599609,17502.339844,13280
2016-01-11,18180.000000,18290.000000,17962.900391,18108.400391,17391.701172,10744
2016-01-12,18200.000000,18259.449219,18020.000000,18131.849609,17414.220703,17092
2016-01-13,18270.000000,18303.199219,17817.000000,18001.849609,17289.369141,26593
2016-01-14,17930.000000,18190.650391,17632.699219,18050.449219,17336.044922,18408
2016-01-15,18010.000000,18197.099609,17802.500000,17867.500000,17160.337891,64885
2016-01-18,17868.000000,18093.000000,17700.050781,17844.000000,17137.765625,13944
2016-01-19,17844.000000,18090.000000,17745.349609,18010.900391,17298.060547,34476
2016-01-20,18000.000000,18195.000000,17666.599609,17898.800781,17190.396484,17630
2016-01-21,18000.000000,18107.849609,17355.800781,17475.599609,16783.945313,20116
2016-01-22,17600.000000,17757.250000,17230.900391,17303.900391,16619.039063,31882
2016-01-25,17400.050781,17572.099609,17238.750000,17485.849609,16793.789063,7935
2016-01-27,17540.000000,17624.849609,17240.050781,17283.800781,16599.738281,10885
2016-01-28,17320.000000,17447.900391,16855.000000,16956.050781,16284.958984,16747
2016-01-29,16991.000000,17679.949219,16991.000000,17495.949219,16803.492188,16908
2016-02-01,17650.000000,17788.900391,17166.000000,17188.400391,16508.113281,12459
2016-02-02,17250.000000,17310.000000,16957.849609,17012.800781,16339.463867,13295
2016-02-03,16900.000000,16962.750000,16655.050781,16744.449219,16081.734375,9577
2016-02-04,16800.050781,17117.000000,16710.000000,16978.849609,16306.858398,12855
2016-02-05,17260.000000,17650.000000,15900.000000,16089.099609,15452.321289,107805
2016-02-08,16280.000000,16575.000000,16150.000000,16395.250000,15746.355469,30932
2016-02-09,16368.000000,16451.150391,16100.250000,16354.349609,15707.073242,11931
2016-02-10,16305.000000,16406.000000,16170.049805,16383.799805,15735.358398,13816
2016-02-11,16449.000000,16449.000000,16100.150391,16250.000000,15606.852539,21390
2016-02-12,16250.000000,16449.949219,15736.049805,15948.299805,15317.094727,17733
2016-02-15,16150.000000,16800.000000,15945.700195,16447.150391,15796.199219,16414
2016-02-16,16447.000000,16537.650391,16149.950195,16208.099609,15566.611328,13556
2016-02-17,16230.000000,16328.000000,15850.799805,16140.849609,15502.021484,11680
2016-02-18,16311.000000,16434.599609,16201.299805,16380.400391,15732.092773,9942
2016-02-19,16445.000000,16900.000000,16250.049805,16804.000000,16138.927734,11596
2016-02-22,16900.000000,17486.949219,16890.000000,17314.699219,16629.416016,31902
2016-02-23,17350.300781,17450.000000,16750.000000,16848.099609,16181.281250,14972
2016-02-24,16800.000000,16999.000000,16500.000000,16520.199219,15866.359375,10987
2016-02-25,16598.000000,16738.900391,16111.000000,16335.099609,15688.584961,21483
2016-02-26,16460.000000,16779.000000,16450.000000,16711.150391,16049.753906,12944
2016-02-29,16730.000000,17227.199219,16376.900391,16736.500000,16074.099609,24574
2016-03-01,16929.949219,17138.400391,16740.349609,17024.949219,16351.130859,10614
2016-03-02,17110.000000,17240.000000,16780.000000,16875.849609,16207.933594,13565
2016-03-03,17200.000000,17375.000000,16861.000000,17287.849609,16603.626953,12129
2016-03-04,17430.000000,17430.000000,17063.849609,17258.150391,16575.103516,11294
2016-03-08,17201.000000,17550.000000,17135.400391,17441.250000,16750.953125,13039
2016-03-09,17441.300781,17999.000000,17199.550781,17932.949219,17223.195313,20095
2016-03-10,18127.000000,18127.000000,17702.000000,17878.099609,17170.515625,7613
2016-03-11,17939.800781,18242.000000,17851.000000,18016.300781,17303.244141,26563
2016-03-14,18150.000000,18418.650391,17750.000000,17991.000000,17278.949219,17159
2016-03-15,18000.000000,18206.550781,17819.150391,18128.550781,17411.054688,13525
2016-03-16,18250.000000,18300.000000,17910.000000,18032.449219,17318.755859,27771
2016-03-17,18198.000000,18299.000000,18102.050781,18205.750000,17485.199219,21391
2016-03-18,18245.000000,18850.000000,18002.150391,18774.099609,18031.052734,43610
2016-03-21,18734.099609,19480.000000,18734.099609,19350.750000,18584.880859,29607
2016-03-22,19370.000000,20410.000000,19328.699219,20172.599609,19374.203125,38670
2016-03-23,20150.000000,20543.599609,19935.500000,20217.500000,19417.328125,35765
2016-03-28,20150.000000,20640.150391,20000.000000,20447.050781,19637.792969,25311
2016-03-29,20351.000000,20690.000000,20351.000000,20587.199219,19772.392578,14726
2016-03-30,20679.800781,20836.150391,20475.400391,20733.199219,19912.615234,14843
2016-03-31,20699.000000,21000.000000,20426.000000,20784.500000,19961.884766,36807
2016-04-01,20825.000000,20825.000000,19723.949219,19888.550781,19101.398438,34323
2016-04-04,20140.000000,20312.250000,19815.699219,20082.099609,19287.283203,17053
2016-04-05,19805.699219,20165.000000,19703.599609,19814.099609,19029.890625,14650
