Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,76.074402,76.694199,75.330597,76.363602,74.648064,86691
2016-01-04,76.446297,76.446297,74.710701,76.033096,74.324974,182999
2016-01-05,75.619797,75.950401,74.793404,75.124001,73.436302,203225
2016-01-06,75.165298,75.537201,74.710701,75.082603,73.395844,165679
2016-01-07,74.669403,74.834702,73.719002,74.338799,72.668739,226779
2016-01-08,73.595001,74.752098,73.595001,74.132202,72.466789,350832
2016-01-11,74.380203,74.380203,71.611603,72.272697,70.649063,491751
2016-01-12,71.900803,72.644600,69.834702,70.330597,68.750587,348596
2016-01-13,70.330597,71.446297,67.438004,68.057899,66.528946,472243
2016-01-14,68.553703,69.380203,67.024803,69.132202,67.579117,1458454
2016-01-15,69.132202,69.338799,67.768600,67.975197,66.448105,253924
2016-01-18,68.388397,68.595001,65.041298,66.198303,64.711121,428139
2016-01-19,65.702499,67.148804,65.702499,66.776901,65.276726,331725
2016-01-20,66.363602,66.363602,64.462799,65.702499,64.226448,1079635
2016-01-21,66.115700,66.900803,64.875999,64.958702,63.499374,189118
2016-01-22,65.371902,66.776901,65.289299,65.537201,64.064873,1070748
2016-01-25,65.950401,66.033096,64.297501,64.875999,63.418533,244845
2016-01-27,64.875999,66.446297,64.462799,65.661201,64.186096,263934
2016-01-28,65.743797,66.487602,65.330597,65.950401,64.468803,168733
2016-01-29,65.743797,66.694199,65.702499,66.115700,64.630371,1317598
2016-02-01,67.272697,68.925598,65.785103,68.429703,66.892403,270701
2016-02-02,69.214897,69.214897,66.900803,67.438004,65.922974,1113270
2016-02-03,66.735497,67.685997,66.033096,67.314003,65.801765,283722
2016-02-04,67.355400,67.768600,66.983498,67.314003,65.801765,156275
2016-02-05,67.479301,68.388397,66.033096,67.272697,65.761375,211281
2016-02-08,67.272697,70.619797,67.066101,69.752098,68.185081,243785
2016-02-09,69.752098,70.702499,68.595001,70.247902,68.669746,678860
2016-02-10,70.289299,70.289299,68.388397,68.925598,67.377151,483502
2016-02-11,68.595001,69.834702,66.156998,68.264503,66.730911,1342481
2016-02-12,68.595001,70.165298,66.652901,69.297501,67.740700,548235
2016-02-15,69.710701,70.247902,69.421501,69.958702,68.387047,196339
2016-02-16,69.958702,70.165298,68.264503,69.008301,67.457993,129538
2016-02-17,70.165298,70.165298,68.181801,69.049599,67.498367,182238
2016-02-18,69.214897,69.256203,67.933899,69.008301,67.457993,333138
2016-02-19,69.008301,69.256203,68.553703,69.008301,67.457993,120738
2016-02-22,69.049599,69.834702,68.760300,69.710701,68.144623,312673
2016-02-23,70.000000,70.000000,67.644600,68.181801,66.650070,226292
2016-02-24,68.760300,69.421501,68.264503,68.925598,67.377151,525319
2016-02-25,68.925598,69.090897,66.776901,67.314003,65.801765,7822529
2016-02-26,67.438004,69.297501,67.396698,68.553703,67.013618,845393
2016-02-29,68.966904,73.884300,68.595001,69.752098,68.185081,681185
2016-03-01,70.082603,72.644600,69.421501,71.942101,70.325890,1389380
2016-03-02,72.768600,74.132202,71.983498,73.099197,71.456978,451932
2016-03-03,73.181801,74.380203,72.727303,73.636398,71.982124,303743
2016-03-04,74.338799,74.338799,72.809898,73.429703,71.780083,210857
2016-03-08,73.016502,73.512398,71.859497,72.314003,70.689438,205309
2016-03-09,71.942101,73.553703,71.942101,73.264503,71.618584,136022
2016-03-10,72.892601,74.008301,70.454498,70.950401,69.356468,243790
2016-03-11,70.371902,71.694199,70.289299,70.578499,68.992912,186373
2016-03-14,71.074402,73.388397,71.074402,72.809898,71.174194,297847
2016-03-15,72.396698,73.471100,72.396698,72.975197,71.335777,1167501
2016-03-16,72.603302,72.933899,71.404999,71.900803,70.285522,1241837
2016-03-17,72.272697,73.719002,71.776901,73.347099,71.699333,539623
2016-03-18,73.512398,73.801697,72.479301,73.471100,72.639008,166145
2016-03-21,73.512398,75.206596,73.099197,75.082603,74.232262,681027
2016-03-22,75.950401,76.033096,74.504097,75.289299,74.436615,1429749
2016-03-23,75.495903,75.950401,75.206596,75.702499,74.845131,330754
2016-03-28,74.793404,76.694199,70.950401,72.727303,71.903625,604264
2016-03-29,73.553703,76.363602,73.388397,75.330597,74.477440,477006
2016-03-30,75.413200,78.347099,74.421501,77.438004,76.560982,586542
2016-03-31,77.685997,78.677696,75.578499,78.347099,77.459778,406776
2016-04-01,77.933899,80.909103,77.933899,80.371902,79.461647,462089
2016-04-04,81.570198,81.570198,79.338799,80.082603,79.175629,277554
2016-04-05,80.082603,80.413200,78.925598,79.669403,78.767113,420499
2016-04-06,79.380203,80.743797,76.983498,79.875999,78.971375,538647
2016-04-07,79.462799,80.082603,77.520699,78.429703,77.541451,294501
2016-04-08,77.809898,78.471100,77.685997,78.140503,77.255524,127669
2016-04-11,77.768600,78.099197,77.066101,77.355400,76.479317,136462
2016-04-12,77.438004,79.917397,77.272697,79.338799,78.440247,410171
2016-04-13,80.165298,81.818199,79.958702,80.165298,79.257393,4002681
2016-04-18,80.578499,81.818199,78.512398,78.677696,77.786629,201011
2016-04-20,79.090897,79.710701,77.107399,77.479301,76.601814,255860
2016-04-21,77.520699,78.595001,77.272697,77.561996,76.683571,471388
2016-04-22,77.975197,79.008301,76.735497,78.347099,77.459778,567442
2016-04-25,77.685997,78.925598,77.685997,78.677696,77.786629,728395
2016-04-26,78.347099,79.338799,78.264503,78.843002,77.950066,208668
2016-04-27,78.925598,79.256203,78.016502,78.801697,77.909233,173586
2016-04-28,78.471100,78.925598,77.520699,77.851196,76.969498,206525
2016-04-29,77.396698,78.512398,77.231400,77.603302,76.724403,260580
2016-05-02,77.314003,77.975197,77.024803,77.603302,76.724403,245442
2016-05-03,77.685997,80.165298,77.024803,79.338799,78.440247,430067
2016-05-04,79.710701,79.834702,78.099197,79.545502,78.644600,239436
2016-05-05,79.875999,79.875999,78.925598,79.338799,78.440247,618800
2016-05-06,78.925598,79.752098,78.843002,79.338799,78.440247,256323
2016-05-09,79.628098,80.165298,78.099197,79.256203,78.358582,357826
2016-05-10,79.256203,80.124001,79.214897,79.545502,78.644600,229464
2016-05-11,79.875999,79.875999,78.760300,79.380203,78.481186,162215
