Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,138.899994,143.300003,136.500000,139.949997,124.259674,142685
2016-01-04,139.350006,145.000000,138.000000,139.850006,124.170883,111364
2016-01-05,140.300003,142.899994,139.500000,142.000000,126.079857,63756
2016-01-06,143.600006,147.000000,142.100006,145.800003,129.453796,201487
2016-01-07,145.300003,145.300003,135.699997,137.500000,122.084358,104141
2016-01-08,139.149994,147.000000,139.000000,145.350006,129.054276,131970
2016-01-11,144.000000,149.899994,143.100006,146.699997,130.252914,129980
2016-01-12,146.550003,148.800003,141.600006,145.149994,128.876694,62568
2016-01-13,146.050003,148.949997,133.850006,138.300003,122.794624,129441
2016-01-14,137.000000,139.500000,133.050003,136.899994,121.551605,41806
2016-01-15,137.000000,140.000000,123.000000,127.550003,113.249886,38890
2016-01-18,128.050003,128.800003,113.500000,115.500000,102.550858,110949
2016-01-19,121.000000,128.000000,117.000000,126.349998,112.184410,43639
2016-01-20,125.050003,125.050003,117.199997,119.750000,106.324379,26948
2016-01-21,122.750000,126.000000,119.000000,121.050003,107.478622,40001
2016-01-22,123.650002,128.199997,121.349998,122.650002,108.899239,24638
2016-01-25,125.150002,128.000000,123.000000,123.750000,109.875908,24923
2016-01-27,125.300003,127.400002,121.250000,126.349998,112.184410,34149
2016-01-28,125.949997,127.800003,125.000000,125.400002,111.340935,9518
2016-01-29,125.199997,128.000000,123.099998,126.550003,112.362000,22964
2016-02-01,128.899994,133.399994,126.599998,131.149994,116.446274,31439
2016-02-02,130.550003,141.899994,130.050003,131.449997,116.712624,429928
2016-02-03,131.000000,135.399994,125.699997,126.599998,112.406380,98783
2016-02-04,128.000000,133.399994,122.050003,123.900002,110.009094,38623
2016-02-05,125.550003,129.300003,122.199997,124.900002,110.896996,31378
2016-02-08,125.150002,127.000000,122.550003,123.300003,109.476357,44715
2016-02-09,123.050003,125.000000,119.150002,120.699997,107.167854,23522
2016-02-10,121.000000,124.750000,119.849998,121.550003,107.922562,30584
2016-02-11,121.050003,122.550003,113.300003,114.800003,101.929352,26453
2016-02-12,115.949997,116.000000,106.650002,109.849998,97.534302,87620
2016-02-15,113.349998,120.400002,111.000000,118.800003,105.480873,35035
2016-02-16,119.000000,120.400002,111.699997,112.900002,101.265228,15731
2016-02-17,112.599998,116.199997,112.599998,115.599998,103.686974,60150
2016-02-18,117.699997,120.800003,115.050003,116.550003,104.539101,50155
2016-02-19,115.650002,118.250000,113.199997,116.849998,104.808167,8833
2016-02-22,118.000000,124.699997,117.050003,120.000000,107.633545,66046
2016-02-23,119.550003,119.550003,115.000000,117.400002,105.301491,29582
2016-02-24,114.099998,117.400002,113.599998,114.199997,102.431252,33144
2016-02-25,113.000000,116.900002,112.050003,114.949997,103.103981,25031
2016-02-26,114.300003,115.800003,111.599998,112.699997,101.085823,20084
2016-02-29,112.900002,116.300003,109.500000,115.599998,103.686974,11277
2016-03-01,115.800003,118.900002,114.500000,117.800003,105.660278,14502
2016-03-02,120.000000,123.000000,118.300003,120.000000,107.633545,124968
2016-03-03,128.050003,134.500000,123.250000,128.000000,114.809135,96379
2016-03-04,130.949997,131.000000,126.000000,126.849998,113.777634,142388
2016-03-08,126.000000,131.800003,125.000000,126.849998,113.777634,132593
2016-03-09,127.150002,132.000000,125.150002,127.050003,113.957024,225227
2016-03-10,128.699997,128.699997,124.650002,124.949997,112.073425,34314
2016-03-11,124.250000,125.599998,120.650002,123.099998,110.414085,23656
2016-03-14,125.000000,130.500000,123.650002,124.550003,111.714638,151836
2016-03-15,125.199997,132.699997,123.300003,130.350006,116.916924,415320
2016-03-16,132.399994,135.000000,131.300003,132.699997,119.024773,195376
2016-03-17,134.649994,137.000000,132.250000,133.050003,119.338692,66908
2016-03-18,133.699997,135.899994,132.800003,134.949997,121.042854,43418
2016-03-21,136.000000,137.000000,132.000000,135.100006,121.177429,39622
2016-03-22,136.100006,137.000000,133.000000,135.949997,121.939842,25163
2016-03-23,136.350006,139.800003,134.649994,138.850006,124.541000,36279
2016-03-28,137.050003,140.000000,132.649994,133.500000,119.742332,32359
2016-03-29,133.500000,135.600006,130.250000,131.699997,118.127800,24986
2016-03-30,132.300003,142.500000,132.300003,141.550003,126.962723,156878
2016-03-31,141.800003,145.699997,137.649994,139.000000,124.675529,49341
2016-04-01,138.000000,146.750000,138.000000,142.699997,127.994232,96966
2016-04-04,143.500000,149.500000,142.949997,143.899994,129.070541,101518
2016-04-05,143.699997,143.699997,139.050003,139.800003,125.393097,48880
2016-04-06,140.050003,150.000000,140.000000,146.800003,131.671707,257127
2016-04-07,146.000000,148.000000,141.899994,144.100006,129.249954,171152
2016-04-08,145.000000,148.000000,142.800003,146.449997,131.357758,85382
2016-04-11,147.050003,172.750000,147.050003,164.300003,147.368271,1634751
2016-04-12,163.149994,171.000000,160.149994,165.100006,148.085831,541904
2016-04-13,169.000000,173.899994,166.250000,168.800003,151.404510,394492
2016-04-18,167.000000,171.399994,166.500000,169.800003,152.301498,218358
2016-04-20,170.100006,172.800003,167.000000,168.800003,151.404510,193300
2016-04-21,169.100006,170.600006,161.949997,165.550003,148.489426,101122
2016-04-22,166.300003,166.300003,157.600006,164.600006,147.637344,95666
2016-04-25,164.050003,167.000000,162.750000,164.600006,147.637344,36437
2016-04-26,164.850006,165.800003,162.000000,164.949997,147.951309,148491
2016-04-27,165.350006,166.199997,160.399994,161.899994,145.215591,54924
2016-04-28,162.350006,162.800003,156.350006,157.899994,141.627792,52255
2016-04-29,158.399994,160.050003,153.000000,157.750000,141.493271,83967
2016-05-02,158.399994,164.000000,156.000000,160.100006,143.601074,172164
2016-05-03,161.399994,162.149994,157.000000,158.250000,141.941742,256128
2016-05-04,157.699997,160.600006,157.699997,159.850006,143.376862,92722
2016-05-05,160.899994,163.899994,159.000000,160.250000,143.735641,193666
2016-05-06,159.899994,160.649994,150.500000,153.199997,137.412170,206448
2016-05-09,153.399994,161.649994,153.399994,160.100006,143.601074,432250
2016-05-10,160.800003,169.399994,160.250000,166.199997,149.072464,456141
2016-05-11,167.000000,186.600006,166.500000,178.050003,159.701279,1835456
2016-05-12,178.500000,186.699997,174.800003,183.850006,164.903549,483717
2016-05-13,183.000000,192.899994,181.100006,185.399994,166.293793,725618
2016-05-16,183.500000,186.899994,176.300003,179.250000,160.777588,124814
2016-05-17,180.000000,185.000000,177.000000,178.399994,160.015182,134163
2016-05-18,178.649994,182.699997,174.300003,178.100006,159.746140,126570
2016-05-19,179.350006,184.500000,176.800003,177.949997,159.611572,229448
2016-05-20,179.800003,180.000000,173.449997,174.600006,156.606827,124937
2016-05-23,179.000000,180.000000,168.350006,169.100006,151.673615,106766
2016-05-24,167.699997,178.149994,167.100006,173.149994,155.306229,166004
2016-05-25,175.300003,176.899994,170.449997,172.050003,154.319611,85230
2016-05-26,178.500000,196.800003,173.500000,193.100006,173.200302,827677
2016-05-27,195.800003,197.399994,185.100006,187.149994,167.863480,280473
2016-05-30,188.000000,203.350006,186.350006,198.399994,177.954147,585423
2016-05-31,193.000000,197.649994,191.199997,192.600006,172.751801,75190
2016-06-01,193.699997,201.100006,192.300003,194.500000,174.456039,143124
2016-06-02,193.000000,199.850006,191.550003,196.199997,175.980835,221364
2016-06-03,197.399994,205.350006,195.050003,197.300003,176.967514,374160
2016-06-06,194.000000,198.500000,191.800003,192.649994,172.796677,119381
2016-06-07,194.500000,198.949997,192.000000,194.949997,174.859650,154803
2016-06-08,196.300003,206.899994,194.000000,205.300003,184.143066,399613
2016-06-09,206.899994,207.000000,197.500000,201.600006,180.824341,221836
2016-06-10,200.250000,206.000000,198.550003,201.300003,180.555267,202085
2016-06-13,200.000000,219.100006,198.000000,209.300003,187.730850,945379
2016-06-14,211.000000,213.399994,201.850006,204.100006,183.066696,232453
2016-06-15,207.550003,209.949997,203.050003,205.300003,184.143066,149504
2016-06-16,207.000000,208.800003,192.600006,197.550003,177.191727,289905
2016-06-17,200.899994,206.399994,196.250000,199.399994,178.851059,305052
2016-06-20,199.899994,203.949997,194.250000,197.699997,177.326279,160946
2016-06-21,198.000000,202.500000,197.050003,199.600006,179.030457,129436
2016-06-22,200.399994,202.000000,196.600006,198.300003,177.864410,74269
2016-06-23,198.000000,201.000000,194.000000,196.500000,176.249954,96087
2016-06-24,191.000000,197.500000,186.500000,192.250000,172.437897,173396
2016-06-27,193.000000,204.949997,193.000000,202.750000,181.855865,269929
2016-06-28,204.699997,216.800003,203.000000,213.800003,191.767090,480423
2016-06-29,215.199997,218.199997,210.149994,211.050003,189.300491,178953
2016-06-30,213.699997,222.000000,213.000000,217.899994,195.444580,359853
2016-07-01,219.600006,226.399994,215.250000,221.449997,198.628738,292610
2016-07-04,223.500000,224.500000,216.800003,219.500000,196.879700,175815
2016-07-05,219.850006,222.949997,213.600006,215.250000,193.067688,154516
2016-07-07,215.250000,219.399994,210.850006,214.500000,192.394974,153440
2016-07-08,215.699997,221.399994,212.300003,218.550003,196.027573,188679
2016-07-11,220.149994,220.850006,215.000000,216.250000,193.964615,68525
2016-07-12,217.449997,218.949997,209.050003,211.649994,189.838654,97417
2016-07-13,212.500000,214.899994,206.600006,208.350006,186.878754,79224
2016-07-14,208.149994,213.000000,205.949997,209.750000,188.134445,95217
2016-07-15,210.449997,211.600006,205.000000,208.850006,187.327240,72130
2016-07-18,211.000000,217.699997,208.050003,212.800003,190.870148,203477
2016-07-19,213.000000,215.800003,210.199997,213.149994,191.184097,97591
2016-07-20,213.399994,215.449997,211.550003,212.600006,190.690750,58338
2016-07-21,212.649994,218.300003,211.949997,215.850006,193.605865,115691
2016-07-22,216.000000,218.899994,213.550003,214.750000,192.619217,67901
2016-07-25,216.500000,219.949997,213.500000,215.149994,192.977966,139715
2016-07-26,216.399994,234.350006,215.000000,230.550003,206.790939,520648
2016-07-27,232.250000,238.949997,223.850006,230.199997,206.477020,265696
2016-07-28,230.300003,237.800003,225.300003,228.000000,205.216934,137045
2016-07-29,228.050003,241.899994,228.000000,237.300003,214.339691,270373
2016-08-01,238.899994,243.000000,230.000000,232.399994,209.913773,168896
2016-08-02,234.850006,237.699997,222.699997,225.149994,203.365250,117003
2016-08-03,226.000000,226.899994,217.899994,219.149994,197.945786,49669
2016-08-04,222.000000,228.000000,216.050003,218.399994,197.268372,55965
2016-08-05,218.250000,234.199997,218.250000,233.100006,210.546066,120012
2016-08-08,235.000000,244.949997,232.100006,237.750000,214.746109,201910
2016-08-09,238.500000,238.500000,220.000000,230.699997,208.378265,336907
2016-08-10,231.100006,237.000000,221.500000,223.250000,201.649124,268836
2016-08-11,226.699997,231.949997,222.300003,225.000000,203.229782,98333
2016-08-12,225.750000,228.699997,221.149994,222.399994,200.881317,56339
2016-08-16,222.000000,224.500000,212.250000,216.399994,195.461884,94391
2016-08-17,217.699997,225.000000,210.199997,212.250000,191.713425,104242
2016-08-18,211.050003,221.449997,211.050003,215.750000,194.874771,123356
2016-08-19,216.050003,219.000000,213.000000,214.399994,193.655396,76843
2016-08-22,215.149994,223.600006,215.000000,221.050003,199.661972,155398
2016-08-23,224.000000,229.000000,219.600006,221.500000,200.068390,186749
2016-08-24,220.600006,227.500000,218.100006,224.649994,202.913620,129264
2016-08-25,226.899994,227.000000,221.550003,223.899994,202.236191,78970
2016-08-26,223.899994,225.050003,219.899994,221.399994,199.978119,49843
2016-08-29,221.399994,231.000000,220.000000,224.149994,202.462051,150984
2016-08-30,226.300003,231.899994,224.550003,227.699997,205.668518,152161
2016-08-31,229.899994,233.000000,225.550003,227.050003,205.081436,131159
2016-09-01,226.949997,228.500000,223.250000,225.350006,203.545929,58492
2016-09-02,224.000000,227.750000,219.100006,221.149994,199.752304,35277
2016-09-06,221.199997,229.500000,218.800003,223.500000,201.874908,40636
2016-09-07,223.500000,228.000000,221.050003,226.050003,204.178192,72500
2016-09-08,225.000000,236.899994,225.000000,231.350006,208.965363,339161
2016-09-09,231.600006,232.500000,226.000000,226.949997,204.991104,91444
2016-09-12,222.000000,223.500000,218.050003,220.399994,199.074860,74699
2016-09-14,219.100006,224.500000,219.100006,222.800003,201.242630,33339
2016-09-15,221.050003,224.850006,217.550003,218.550003,197.403839,59419
2016-09-16,219.399994,234.399994,218.699997,232.000000,209.552475,347382
2016-09-19,231.699997,233.000000,226.199997,230.149994,207.881470,60460
2016-09-20,229.199997,234.000000,223.000000,223.750000,202.100708,70876
2016-09-21,223.750000,232.899994,223.000000,229.100006,206.933090,145971
