Date,Open,High,Low,Close,Adj Close,Volume
2016-04-22,136.550003,140.550003,136.100006,138.000000,132.181152,16016315
2016-04-25,138.699997,139.449997,135.300003,136.050003,130.313385,6635973
2016-04-26,136.449997,141.350006,135.699997,138.699997,132.851639,8740837
2016-04-27,138.699997,143.300003,138.100006,141.850006,135.868805,12469123
2016-04-28,141.750000,142.800003,138.300003,138.800003,132.947418,5001100
2016-04-29,138.800003,141.850006,137.250000,140.149994,134.240494,4947987
2016-05-02,139.399994,143.800003,138.550003,143.100006,137.066116,4984758
2016-05-03,144.399994,146.800003,140.350006,140.850006,134.910995,6655538
2016-05-04,140.550003,142.500000,139.750000,140.449997,134.527832,2130868
2016-05-05,141.000000,146.750000,140.699997,145.500000,139.364899,6707180
2016-05-06,146.800003,148.600006,142.250000,145.649994,139.508575,6663738
2016-05-09,146.000000,146.699997,141.600006,142.949997,136.922424,3813982
2016-05-10,143.399994,145.399994,137.750000,142.300003,136.299835,5933188
2016-05-11,139.500000,143.949997,139.199997,142.949997,136.922424,2734500
2016-05-12,143.500000,149.600006,141.800003,147.750000,141.520035,7384329
2016-05-13,148.149994,148.399994,144.500000,145.500000,139.364899,3281584
2016-05-16,146.100006,150.899994,144.399994,150.199997,143.866730,4810396
2016-05-17,150.500000,151.300003,147.199997,148.100006,141.855286,2195450
2016-05-18,147.000000,147.449997,144.899994,145.550003,139.412796,1878648
2016-05-19,146.000000,150.800003,145.500000,148.449997,142.190506,3377203
2016-05-20,149.000000,149.250000,146.899994,148.100006,141.855286,1504588
2016-05-23,148.199997,148.899994,146.000000,146.649994,140.466400,842451
2016-05-24,145.100006,146.350006,143.899994,144.600006,138.502869,690248
2016-05-25,145.750000,150.399994,145.500000,149.250000,142.956787,1403337
2016-05-26,149.399994,159.399994,149.399994,154.850006,148.320663,5852105
2016-05-27,154.899994,157.699997,152.500000,154.899994,148.368546,1600647
2016-05-30,155.000000,160.899994,154.800003,159.500000,152.774597,3339001
2016-05-31,159.399994,163.449997,156.500000,161.550003,154.738144,3033954
2016-06-01,159.899994,166.850006,157.649994,165.000000,158.042679,4961795
2016-06-02,165.000000,167.500000,163.899994,167.000000,159.958344,2805265
