Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,23.750000,26.725000,23.500000,26.350000,24.821524,1496392
2016-01-04,26.200001,26.700001,24.250000,25.049999,23.596931,539770
2016-01-05,25.125000,26.799999,24.125000,26.400000,24.868622,654678
2016-01-06,26.350000,26.549999,23.600000,23.975000,22.584290,917738
2016-01-07,24.000000,24.400000,23.424999,24.049999,22.654936,238906
2016-01-08,24.299999,24.799999,24.000000,24.575001,23.149485,192456
2016-01-11,24.500000,24.700001,23.950001,24.250000,22.843338,96698
2016-01-12,24.700001,25.450001,23.700001,23.924999,22.537188,545398
2016-01-13,24.375000,24.400000,21.700001,22.924999,21.595196,258688
2016-01-14,22.025000,22.975000,22.025000,22.700001,21.383249,91694
2016-01-15,22.500000,23.200001,21.250000,21.525000,20.276403,121564
2016-01-18,21.299999,21.700001,20.750000,20.875000,19.664108,144772
2016-01-19,20.575001,22.000000,20.525000,21.450001,20.205757,65418
2016-01-20,21.250000,21.575001,20.525000,21.299999,20.064457,135432
2016-01-21,21.299999,21.750000,20.350000,20.600000,19.405062,125100
2016-01-22,21.225000,21.924999,21.000000,21.375000,20.135107,104450
2016-01-25,21.750000,22.000000,21.375000,21.725000,20.464804,59678
2016-01-27,21.875000,21.875000,21.549999,21.650000,20.394154,31960
2016-01-28,21.650000,21.950001,21.299999,21.700001,20.441256,27354
2016-01-29,21.700001,22.250000,21.299999,22.025000,20.747402,61300
2016-02-01,22.500000,23.750000,22.500000,22.700001,21.383249,193054
2016-02-02,22.924999,22.924999,22.000000,22.100000,20.818050,64954
2016-02-03,22.100000,22.100000,21.000000,21.350000,20.111557,110220
2016-02-04,21.375000,21.775000,20.600000,21.000000,19.781857,97404
2016-02-05,21.000000,21.325001,20.750000,21.125000,20.286009,45784
2016-02-08,21.150000,21.299999,20.900000,21.075001,20.237993,71438
2016-02-09,20.525000,20.850000,20.174999,20.674999,19.853878,57144
2016-02-10,20.674999,20.674999,20.025000,20.250000,19.445759,47434
2016-02-11,20.075001,20.275000,19.000000,19.375000,18.605511,75050
2016-02-12,18.775000,19.674999,17.625000,19.100000,18.341433,119354
2016-02-15,19.400000,20.200001,19.400000,19.850000,19.061644,81942
2016-02-16,20.150000,20.299999,19.450001,19.500000,18.725544,39924
2016-02-17,19.250000,19.400000,18.250000,18.799999,18.053345,44612
2016-02-18,19.174999,19.700001,19.174999,19.500000,18.725544,33242
2016-02-19,19.500000,19.850000,19.025000,19.375000,18.605511,35040
2016-02-22,19.475000,19.700001,19.100000,19.250000,18.485476,26206
2016-02-23,19.625000,19.750000,18.549999,19.275000,18.509481,189698
2016-02-24,19.000000,19.200001,18.549999,18.725000,17.981325,29622
2016-02-25,19.100000,19.450001,18.200001,18.400000,17.669233,51242
2016-02-26,18.600000,18.700001,17.775000,18.150000,17.429163,114994
2016-02-29,18.525000,18.700001,18.025000,18.325001,17.597212,50196
2016-03-01,18.250000,19.200001,18.250000,19.075001,18.317425,87762
2016-03-02,19.450001,20.450001,19.250000,19.875000,19.085653,90090
2016-03-03,19.975000,20.174999,19.650000,19.750000,18.965618,48180
2016-03-04,19.825001,20.450001,19.775000,20.250000,19.445759,77080
2016-03-08,19.900000,20.325001,19.650000,20.000000,19.205688,47542
2016-03-09,20.000000,20.000000,19.424999,19.850000,19.061644,35114
2016-03-10,19.850000,20.049999,19.650000,19.825001,19.037640,45342
2016-03-11,19.650000,20.325001,19.525000,19.799999,19.013630,36026
2016-03-14,19.725000,20.075001,19.000000,19.174999,18.413454,74502
2016-03-15,19.174999,19.299999,18.850000,18.975000,18.221395,67188
2016-03-16,19.000000,19.000000,18.600000,18.750000,18.005333,28840
2016-03-17,19.125000,19.125000,18.750000,18.775000,18.029341,54768
2016-03-18,18.950001,19.000000,18.600000,18.700001,17.957319,56458
2016-03-21,18.525000,19.049999,18.525000,18.799999,18.053345,72378
