Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,85.500000,86.800003,83.699997,86.150002,64.262062,87587
2016-01-04,85.900002,88.500000,83.699997,86.449997,64.485840,109195
2016-01-05,86.449997,87.500000,85.050003,86.000000,64.150192,47424
2016-01-06,85.900002,86.250000,83.000000,84.099998,62.732899,35755
2016-01-07,83.000000,83.699997,81.300003,82.099998,61.241039,27501
2016-01-08,82.400002,83.000000,80.599998,80.949997,60.383213,24174
2016-01-11,80.000000,81.000000,79.550003,80.099998,59.749172,223217
2016-01-12,79.849998,81.500000,79.800003,80.150002,59.786472,137502
2016-01-13,80.900002,80.900002,75.099998,77.300003,57.660568,41277
2016-01-14,76.300003,77.699997,75.699997,76.599998,57.138412,108413
2016-01-15,77.599998,77.599998,73.750000,74.800003,55.795746,13885
2016-01-18,74.599998,74.949997,72.250000,73.400002,54.751434,20154
2016-01-19,74.400002,75.750000,73.050003,74.800003,55.795746,24575
2016-01-20,74.000000,75.000000,72.900002,74.500000,55.571964,17688
2016-01-21,75.000000,76.300003,74.000000,74.449997,55.534657,10566
2016-01-22,74.000000,75.150002,74.000000,74.099998,55.273582,13732
2016-01-25,74.949997,80.000000,74.949997,76.599998,57.138412,26856
2016-01-27,77.849998,79.000000,76.000000,77.250000,57.623268,27649
2016-01-28,76.000000,79.000000,73.599998,74.400002,55.497360,24299
2016-01-29,74.849998,75.000000,73.400002,73.699997,54.975204,15243
2016-02-01,75.000000,79.000000,73.550003,73.900002,55.124401,18071
2016-02-02,74.000000,74.750000,73.300003,73.699997,54.975204,4274
2016-02-03,73.500000,73.599998,70.000000,72.000000,53.707123,19830
2016-02-04,72.099998,72.900002,71.199997,71.900002,53.632534,5123
2016-02-05,71.500000,73.099998,71.099998,72.800003,54.303875,7338
2016-02-08,73.050003,73.500000,72.000000,73.099998,54.527645,5313
2016-02-09,72.500000,73.300003,71.550003,73.199997,54.602249,8601
2016-02-10,72.500000,73.000000,71.050003,72.699997,54.229279,19123
2016-02-11,72.000000,73.250000,69.000000,69.599998,51.916889,27796
2016-02-12,69.150002,69.199997,65.199997,65.449997,48.821266,21660
2016-02-15,65.449997,67.699997,65.449997,67.000000,49.977459,17681
2016-02-16,67.000000,68.000000,66.050003,66.500000,49.604496,29852
2016-02-17,66.050003,66.800003,64.750000,65.099998,48.560192,114911
2016-02-18,65.150002,66.000000,64.750000,64.949997,48.448299,66047
2016-02-19,65.599998,65.900002,64.550003,65.099998,48.560192,253816
2016-02-22,67.000000,68.000000,66.599998,67.000000,49.977459,80877
2016-02-23,68.400002,68.400002,65.050003,65.650002,48.970455,26904
2016-02-24,66.000000,66.199997,64.550003,65.099998,48.560192,204600
2016-02-25,65.699997,66.500000,65.000000,65.849998,49.119640,6366
2016-02-26,66.699997,68.000000,66.000000,66.250000,49.418015,14863
2016-02-29,65.550003,67.300003,65.050003,66.099998,49.306126,5517
2016-03-01,67.000000,72.000000,65.400002,67.300003,50.201244,49717
2016-03-02,67.949997,69.000000,67.300003,68.250000,50.909878,18574
2016-03-03,68.000000,69.449997,67.800003,69.050003,51.506626,10173
