Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,523.000000,539.000000,518.000000,532.799988,491.099213,23335
2016-01-04,532.799988,535.349976,507.299988,513.400024,473.217590,14286
2016-01-05,507.200012,533.000000,507.200012,528.150024,486.813141,7740
2016-01-06,527.950012,533.000000,526.000000,529.900024,488.426208,19696
2016-01-07,530.000000,530.000000,500.000000,514.150024,473.908905,13384
2016-01-08,516.400024,526.000000,516.099976,522.000000,481.144440,7646
2016-01-11,520.000000,536.000000,515.500000,531.549988,489.947083,9457
2016-01-12,523.000000,538.099976,520.000000,521.799988,480.960114,8864
2016-01-13,516.000000,530.000000,489.000000,521.299988,480.499268,19565
2016-01-14,515.000000,525.000000,490.049988,523.849976,482.849670,5786
2016-01-15,533.299988,533.299988,499.100006,504.549988,465.060211,10103
2016-01-18,517.000000,517.000000,485.000000,502.000000,462.709808,4143
2016-01-19,498.500000,504.000000,487.049988,489.399994,451.096008,13557
2016-01-20,485.000000,489.000000,457.700012,472.049988,435.103973,23269
2016-01-21,470.000000,490.000000,468.000000,484.950012,446.994263,6478
2016-01-22,488.799988,500.000000,482.000000,495.399994,456.626373,12379
2016-01-25,490.000000,510.000000,485.049988,499.100006,460.036835,5337
2016-01-27,500.000000,515.650024,490.000000,511.299988,471.281952,6504
2016-01-28,505.000000,519.700012,495.649994,513.049988,472.894989,7592
2016-01-29,507.000000,530.000000,501.000000,521.750000,480.914032,8742
2016-02-01,526.000000,529.950012,508.299988,516.299988,475.890594,9986
2016-02-02,522.000000,552.500000,512.200012,518.450012,477.872314,14098
2016-02-03,512.000000,537.950012,497.000000,526.099976,484.923523,5633
2016-02-04,518.000000,527.900024,455.799988,503.899994,464.461060,27443
2016-02-05,506.950012,510.500000,496.000000,506.450012,466.811523,3359
2016-02-08,506.000000,529.000000,502.600006,513.700012,473.494110,4344
2016-02-09,514.950012,514.950012,486.700012,502.450012,463.124634,6563
2016-02-10,515.000000,538.000000,493.000000,505.450012,465.889832,8920
2016-02-11,505.100006,505.100006,475.049988,479.350006,441.832550,14616
2016-02-12,485.000000,485.000000,460.000000,475.450012,438.237854,13583
2016-02-15,485.049988,505.750000,482.500000,493.399994,454.782959,255537
2016-02-16,493.000000,507.000000,486.000000,497.450012,458.515930,6804
2016-02-17,496.000000,496.000000,471.000000,482.500000,447.434387,4719
2016-02-18,494.500000,505.000000,476.500000,495.850006,459.814209,6365
2016-02-19,509.000000,509.899994,486.049988,500.850006,464.450836,4358
2016-02-22,492.100006,510.950012,485.000000,502.899994,466.351868,3687
2016-02-23,501.000000,502.000000,483.000000,487.799988,452.349182,6402
2016-02-24,493.950012,493.950012,476.299988,483.350006,448.222687,7409
2016-02-25,483.000000,486.000000,467.149994,470.950012,436.723846,6721
2016-02-26,470.149994,477.000000,447.399994,469.549988,435.425568,7299
2016-02-29,469.100006,477.000000,450.000000,459.049988,425.688599,14585
2016-03-01,459.000000,476.000000,457.649994,474.750000,440.247620,14188
2016-03-02,475.000000,488.000000,472.950012,485.500000,450.216400,5897
2016-03-03,484.500000,487.500000,481.000000,484.200012,449.010895,9346
2016-03-04,483.899994,494.000000,482.000000,491.250000,455.548492,3128
2016-03-08,490.950012,490.950012,476.000000,481.950012,446.924408,14627
2016-03-09,481.000000,492.000000,477.000000,488.549988,453.044647,1786
2016-03-10,478.100006,487.899994,472.000000,477.049988,442.380463,9367
2016-03-11,472.450012,480.000000,471.000000,475.049988,440.525818,1887
2016-03-14,475.000000,481.000000,472.000000,475.600006,441.035858,11120
