Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,241.449997,244.899994,240.000000,241.899994,224.813828,12823
2016-01-04,241.949997,244.000000,235.500000,237.899994,221.096329,12006
2016-01-05,240.949997,244.000000,237.050003,238.800003,221.932800,11227
2016-01-06,238.199997,244.449997,237.500000,243.350006,226.161407,13752
2016-01-07,242.000000,242.000000,237.100006,240.149994,223.187424,15858
2016-01-08,239.050003,241.500000,238.000000,240.550003,223.559174,13926
2016-01-11,241.199997,253.199997,235.100006,236.399994,219.702286,9341
2016-01-12,236.250000,242.649994,233.500000,234.300003,217.750641,10899
2016-01-13,244.800003,244.800003,227.100006,238.000000,221.189301,140015
2016-01-14,233.500000,237.000000,233.500000,234.350006,217.797089,7941
2016-01-15,234.449997,238.399994,224.050003,227.000000,210.966248,8704
2016-01-18,231.649994,231.649994,212.550003,220.750000,205.157715,41439
2016-01-19,227.500000,227.500000,219.949997,222.600006,206.877075,17544
2016-01-20,220.000000,221.050003,205.199997,212.399994,197.397491,32698
2016-01-21,215.050003,217.000000,209.550003,212.050003,197.072205,10049
2016-01-22,213.000000,229.800003,212.000000,219.800003,204.274796,15965
2016-01-25,223.449997,228.800003,221.399994,225.050003,209.154007,13169
2016-01-27,225.149994,226.000000,217.000000,220.350006,204.785965,9116
2016-01-28,222.949997,223.000000,214.050003,214.850006,199.674454,6897
2016-01-29,214.100006,226.000000,213.100006,220.050003,204.507156,6621
2016-02-01,224.949997,224.949997,214.649994,215.600006,200.371475,7681
2016-02-02,215.100006,219.000000,211.000000,212.699997,197.676315,8394
2016-02-03,213.050003,215.949997,200.100006,207.949997,193.261826,16302
2016-02-04,208.850006,212.600006,201.199997,206.050003,191.496017,30465
2016-02-05,205.050003,213.000000,203.050003,208.899994,194.144699,7988
2016-02-08,207.550003,211.750000,202.850006,203.250000,188.893784,10100
2016-02-09,203.300003,207.899994,203.300003,205.149994,190.659576,3308
2016-02-10,205.149994,206.699997,199.100006,201.399994,187.174454,6260
2016-02-11,204.949997,204.949997,182.000000,187.149994,173.930984,30561
2016-02-12,186.000000,193.649994,176.000000,183.300003,170.352921,18193
2016-02-15,181.050003,195.000000,181.050003,194.500000,180.761841,9219
2016-02-16,192.000000,199.899994,192.000000,196.449997,182.574112,11447
2016-02-17,199.000000,207.500000,191.000000,204.699997,190.241379,24805
2016-02-18,203.000000,209.000000,202.500000,203.500000,189.126129,6908
2016-02-19,207.449997,207.449997,203.000000,204.750000,190.287842,9535
2016-02-22,205.000000,208.850006,200.949997,202.300003,188.010910,8546
2016-02-23,202.350006,204.000000,196.000000,198.449997,184.432816,11272
2016-02-24,196.050003,197.000000,190.100006,190.949997,177.462570,10044
2016-02-25,192.300003,199.050003,186.350006,195.899994,182.062943,5336
2016-02-26,198.949997,200.800003,190.000000,190.149994,176.719070,8911
2016-02-29,191.050003,205.800003,185.000000,202.750000,188.429123,25196
2016-03-01,202.449997,208.000000,201.050003,204.800003,190.334305,5980
2016-03-02,208.750000,214.500000,208.550003,212.600006,197.583374,15609
2016-03-03,213.050003,222.000000,211.500000,220.699997,205.111237,21183
2016-03-04,224.600006,227.699997,220.600006,226.199997,210.222748,13254
2016-03-08,225.000000,230.949997,217.550003,220.949997,205.343567,15550
2016-03-09,216.550003,221.649994,215.199997,218.300003,202.880768,13595
2016-03-10,220.800003,224.000000,216.000000,218.699997,203.252518,7521
2016-03-11,219.500000,220.000000,216.000000,217.600006,202.230209,4416
2016-03-14,221.000000,229.500000,217.399994,219.000000,203.531326,4971
2016-03-15,221.199997,221.949997,216.350006,220.399994,204.832443,3438
2016-03-16,219.250000,220.000000,215.199997,218.500000,203.066635,4195
2016-03-17,218.600006,218.600006,212.000000,213.550003,198.466278,9320
2016-03-18,213.850006,215.800003,211.100006,211.350006,196.421661,3231
2016-03-21,211.149994,218.949997,208.100006,216.800003,201.486725,7448
2016-03-22,225.500000,225.500000,214.750000,220.149994,204.600082,4117
2016-03-23,221.050003,222.050003,215.149994,217.949997,202.555496,4900
2016-03-28,219.850006,220.800003,207.050003,209.199997,194.423523,10612
2016-03-29,210.000000,212.449997,201.699997,202.899994,188.568512,19625
2016-03-30,205.300003,209.300003,202.500000,204.399994,189.962570,7337
2016-03-31,210.000000,217.000000,199.800003,209.550003,194.748810,20784
2016-04-01,213.850006,216.000000,208.649994,215.550003,200.325012,10157
2016-04-04,216.000000,221.000000,211.250000,218.949997,203.484848,7608
2016-04-05,220.250000,220.250000,216.000000,217.800003,202.416077,5236
2016-04-06,217.300003,227.949997,217.250000,221.899994,206.226501,24676
2016-04-07,222.000000,236.100006,221.949997,230.600006,214.311966,39171
2016-04-08,229.899994,232.500000,224.199997,224.850006,208.968124,13791
2016-04-11,226.949997,235.699997,223.000000,226.250000,210.269226,31561
2016-04-12,225.100006,226.750000,221.000000,224.850006,208.968124,11933
2016-04-13,229.649994,229.649994,218.000000,227.449997,211.384491,24587
2016-04-18,227.500000,231.000000,220.550003,224.649994,208.782242,18217
2016-04-20,225.050003,236.500000,225.000000,233.800003,217.285980,21831
2016-04-21,232.550003,235.899994,225.000000,226.350006,210.362167,11400
2016-04-22,227.899994,231.000000,224.600006,225.399994,209.479263,9829
2016-04-25,229.899994,229.899994,224.100006,224.600006,208.735779,6227
2016-04-26,226.750000,228.000000,223.199997,224.300003,208.456970,9314
2016-04-27,224.000000,226.899994,221.300003,226.050003,212.739044,5842
2016-04-28,227.050003,229.050003,221.199997,223.600006,210.433304,5949
2016-04-29,225.850006,227.050003,225.000000,225.300003,212.033218,4911
2016-05-02,226.500000,227.000000,224.500000,224.850006,211.609711,4610
2016-05-03,224.399994,227.000000,222.399994,222.899994,209.774506,10623
2016-05-04,221.949997,224.250000,219.250000,221.149994,208.127563,10458
2016-05-05,224.949997,225.000000,217.550003,221.000000,207.986404,10676
2016-05-06,220.149994,223.100006,216.000000,217.550003,204.739578,9737
2016-05-09,220.000000,235.800003,216.199997,229.199997,215.703552,63709
2016-05-10,230.949997,234.399994,227.000000,231.100006,217.491684,29786
2016-05-11,252.399994,277.299988,246.050003,277.299988,260.971161,599358
2016-05-12,310.000000,310.000000,265.000000,268.350006,252.548203,678738
2016-05-13,268.850006,277.899994,264.149994,267.799988,252.030563,118652
2016-05-16,268.000000,277.600006,268.000000,270.450012,254.524551,51380
2016-05-17,271.250000,283.549988,270.149994,274.600006,258.430176,151867
2016-05-18,275.000000,277.950012,270.450012,272.200012,256.171539,24499
2016-05-19,271.000000,275.500000,258.250000,262.850006,247.372055,56432
2016-05-20,261.000000,266.950012,260.000000,262.700012,247.230911,20338
2016-05-23,261.549988,264.049988,255.300003,257.200012,242.054779,15602
2016-05-24,257.200012,260.000000,249.699997,257.299988,242.148895,28552
2016-05-25,260.000000,265.000000,257.100006,262.799988,247.325027,14144
2016-05-26,265.850006,267.899994,262.000000,263.149994,247.654419,12759
2016-05-27,264.000000,271.850006,263.600006,266.049988,250.383621,20043
2016-05-30,266.549988,270.000000,261.649994,264.750000,249.160187,12210
2016-05-31,265.399994,269.000000,264.000000,265.850006,250.195419,11098
2016-06-01,266.000000,271.000000,264.100006,266.200012,250.524811,10852
2016-06-02,264.149994,271.000000,262.350006,268.299988,252.501129,18119
2016-06-03,270.149994,270.200012,266.000000,267.500000,251.748245,8378
2016-06-06,267.250000,267.700012,262.100006,263.500000,247.983795,18349
2016-06-07,262.000000,266.000000,261.049988,262.200012,246.760361,12841
2016-06-08,263.500000,269.700012,249.000000,266.350006,250.665985,46518
2016-06-09,269.450012,269.450012,263.399994,263.899994,248.360214,14770
2016-06-10,266.250000,266.250000,259.950012,260.700012,245.348694,10665
2016-06-13,260.049988,262.000000,257.399994,259.950012,244.642868,7667
2016-06-14,260.500000,264.049988,258.299988,260.600006,245.254578,9015
2016-06-15,263.750000,269.700012,261.950012,267.899994,252.124710,24779
2016-06-16,273.799988,298.950012,270.000000,280.500000,263.982788,339872
2016-06-17,280.600006,294.950012,280.600006,291.899994,274.711426,96667
2016-06-20,287.049988,299.500000,285.799988,293.399994,276.123138,48792
2016-06-21,293.399994,298.399994,287.350006,294.100006,276.781921,30375
2016-06-22,294.000000,296.799988,275.200012,278.250000,261.865234,40810
2016-06-23,278.000000,290.000000,276.200012,288.799988,271.794037,41991
2016-06-24,281.750000,289.000000,273.700012,287.750000,270.805847,33108
2016-06-27,286.899994,289.750000,285.149994,287.600006,270.664673,7680
2016-06-28,287.799988,291.000000,278.000000,280.750000,264.218048,11904
2016-06-29,283.950012,292.000000,280.100006,287.299988,270.382294,18299
2016-06-30,291.850006,301.899994,289.850006,298.399994,280.828674,76976
2016-07-01,301.000000,304.700012,296.799988,302.750000,284.922546,49507
2016-07-04,305.000000,308.899994,300.250000,302.649994,284.828430,26472
2016-07-05,305.899994,305.899994,296.000000,296.500000,279.040588,19785
2016-07-07,296.000000,302.500000,292.350006,299.250000,281.628693,15887
2016-07-08,296.450012,309.350006,296.450012,299.899994,282.240387,48378
2016-07-11,305.750000,307.799988,300.000000,302.649994,284.828430,16938
2016-07-12,302.600006,302.649994,296.000000,298.149994,280.593414,9720
2016-07-13,301.750000,301.750000,290.100006,296.299988,278.852356,21504
2016-07-14,296.350006,303.000000,293.200012,298.750000,281.158081,10362
2016-07-15,297.149994,300.149994,292.000000,294.149994,276.828979,8144
2016-07-18,294.299988,303.950012,294.000000,295.450012,278.052429,19287
2016-07-19,299.000000,299.000000,293.000000,295.950012,278.523010,14253
2016-07-20,294.350006,298.899994,294.000000,294.250000,276.923065,11299
2016-07-21,293.700012,297.000000,290.149994,292.299988,275.087891,13058
2016-07-22,292.799988,296.399994,290.149994,291.649994,274.476166,11306
2016-07-25,296.100006,306.899994,295.750000,304.350006,286.428345,61599
2016-07-26,315.000000,322.899994,313.049988,315.450012,296.874725,116575
2016-07-27,318.899994,324.750000,317.100006,321.299988,302.380219,57390
2016-07-28,324.000000,326.450012,318.799988,320.500000,301.627350,38466
2016-07-29,323.850006,323.899994,315.250000,319.049988,300.262726,12372
2016-08-01,320.000000,323.649994,309.549988,313.149994,294.710144,19974
2016-08-02,315.000000,316.950012,309.100006,312.600006,294.192566,11057
2016-08-03,311.649994,311.649994,301.000000,302.750000,284.922546,27742
2016-08-04,303.350006,306.350006,299.600006,300.450012,282.757996,20713
2016-08-05,300.149994,314.899994,300.000000,312.299988,293.910217,30064
2016-08-08,315.750000,317.299988,311.899994,313.799988,295.321838,21125
2016-08-09,315.950012,318.000000,305.049988,314.750000,296.215942,41989
2016-08-10,295.000000,302.750000,275.649994,289.250000,272.217499,171122
2016-08-11,294.399994,294.450012,285.250000,287.850006,270.899963,21322
2016-08-12,291.500000,294.000000,281.200012,283.000000,266.335541,12377
2016-08-16,285.149994,290.000000,280.100006,281.850006,265.253265,10646
2016-08-17,285.850006,285.850006,281.000000,281.350006,264.782715,4136
2016-08-18,280.649994,288.000000,275.000000,278.250000,261.865234,16465
2016-08-19,281.450012,283.000000,277.000000,279.350006,262.900482,11754
2016-08-22,279.000000,287.000000,278.299988,282.649994,266.006134,13967
2016-08-23,282.950012,289.250000,280.549988,284.200012,267.464874,13989
2016-08-24,287.600006,287.850006,280.149994,286.700012,269.817688,12606
2016-08-25,287.750000,299.750000,287.049988,292.000000,274.805573,52436
2016-08-26,292.549988,295.850006,287.299988,288.100006,271.135254,6188
2016-08-29,288.100006,293.500000,280.500000,284.549988,267.794250,12663
2016-08-30,286.000000,291.200012,285.100006,287.350006,270.429382,11646
2016-08-31,290.649994,291.200012,280.600006,282.700012,266.053223,17541
2016-09-01,281.649994,285.000000,278.049988,279.250000,262.806366,7753
2016-09-02,278.250000,282.350006,277.100006,280.549988,264.029785,5765
2016-09-06,281.399994,287.899994,281.100006,282.850006,266.194397,4926
2016-09-07,284.149994,284.950012,275.049988,276.850006,260.547668,14289
2016-09-08,284.000000,284.000000,275.049988,279.750000,263.276917,16849
2016-09-09,280.100006,285.000000,275.649994,277.600006,261.253510,20925
2016-09-12,288.500000,288.500000,275.049988,276.100006,259.841888,12581
2016-09-14,275.200012,279.000000,271.100006,273.700012,257.583160,12867
2016-09-15,273.000000,277.899994,271.299988,273.200012,257.112640,7061
2016-09-16,277.750000,279.000000,265.100006,267.649994,251.889435,27127
2016-09-19,266.000000,284.000000,266.000000,278.750000,262.335785,25484
