Date,Open,High,Low,Close,Adj Close,Volume
2017-10-23,150.000000,166.000000,150.000000,162.914993,156.310837,33457980
2017-10-24,161.500000,163.505005,159.524994,160.339996,153.840225,2164280
2017-10-25,160.000000,160.100006,154.565002,156.304993,149.968796,1407480
2017-10-26,155.244995,159.000000,153.110001,156.264999,149.930420,871500
2017-10-27,156.000000,157.479996,155.110001,156.509995,150.165482,311480
2017-10-30,156.509995,158.115005,155.850006,156.714996,150.362183,469090
2017-10-31,156.100006,157.285004,154.100006,155.425003,149.124466,235920
2017-11-01,155.029999,157.000000,153.880005,155.934998,149.613800,931850
2017-11-02,156.000000,157.500000,155.000000,156.315002,149.978394,288830
2017-11-03,155.300003,162.000000,155.300003,159.229996,152.775223,947830
2017-11-06,158.009995,161.899994,158.000000,160.264999,153.768265,480410
2017-11-07,161.000000,161.850006,159.009995,160.699997,154.185623,513830
2017-11-08,160.199997,161.850006,151.100006,158.600006,152.170761,247650
2017-11-09,158.600006,161.175003,155.800003,160.014999,153.528397,263790
2017-11-10,158.199997,161.000000,158.199997,159.664993,153.192581,170400
2017-11-13,158.850006,160.115005,156.904999,157.285004,150.909073,126780
2017-11-14,157.500000,158.365005,154.050003,154.285004,148.030685,109190
2017-11-15,155.490005,155.490005,150.899994,151.145004,145.017975,122660
2017-11-16,153.300003,153.300003,149.000000,150.835007,144.720551,1051490
2017-11-17,151.500000,152.490005,150.500000,151.384995,145.248230,103580
2017-11-20,152.369995,154.794998,150.000000,150.414993,144.317535,171880
2017-11-21,150.509995,152.199997,150.509995,151.559998,145.416138,83160
2017-11-22,150.600006,157.899994,150.600006,155.785004,149.469879,215250
2017-11-23,156.660004,157.300003,153.710007,155.669998,149.359543,385390
2017-11-24,154.604996,156.399994,154.130005,154.949997,148.668716,238690
2017-11-27,154.005005,157.000000,153.755005,155.300003,149.004532,99200
2017-11-28,156.479996,156.479996,153.800003,154.690002,148.419281,61620
2017-11-29,154.699997,155.315002,151.160004,152.684998,146.495529,80690
2017-11-30,152.500000,155.199997,152.104996,153.404999,147.186356,66160
2017-12-01,153.500000,155.500000,152.500000,153.035004,146.831360,111520
2017-12-04,153.035004,153.839996,150.399994,150.690002,144.581421,91330
2017-12-05,150.500000,152.639999,149.404999,150.554993,144.451889,60140
2017-12-06,151.000000,152.240005,150.399994,151.389999,145.253036,52230
2017-12-07,150.320007,154.500000,150.320007,152.794998,146.601074,55250
2017-12-08,152.000000,155.300003,152.000000,155.000000,148.716690,149630
2017-12-11,153.604996,156.350006,153.000000,155.580002,149.273193,270350
2017-12-12,159.699997,161.854996,157.100006,160.744995,154.228806,3447850
2017-12-13,163.500000,165.000000,159.505005,160.360001,153.859421,523070
2017-12-14,160.500000,163.000000,157.520004,158.695007,152.261917,129130
2017-12-15,159.899994,161.304993,155.600006,157.520004,151.134537,106980
2017-12-18,155.009995,160.399994,153.699997,159.000000,152.554550,178810
2017-12-19,159.100006,159.199997,157.100006,158.044998,151.638260,88320
2017-12-20,157.110001,162.889999,154.929993,158.865005,152.425018,162490
2017-12-21,160.000000,161.899994,158.199997,158.774994,152.338669,166880
2017-12-22,159.000000,162.399994,158.604996,160.350006,153.849823,1221710
2017-12-26,159.600006,162.479996,158.600006,160.125000,153.633942,193440
2017-12-27,158.820007,161.500000,158.000000,158.500000,152.074829,311710
2017-12-28,158.000000,164.000000,158.000000,162.009995,155.442520,1705380
2017-12-29,164.279999,164.500000,160.554993,161.005005,154.478271,196300
2018-01-01,160.000000,161.800003,160.000000,160.839996,154.319962,92700
2018-01-02,160.839996,162.100006,158.300003,160.699997,154.185623,174430
2018-01-03,160.699997,162.000000,158.610001,159.824997,153.346100,128870
2018-01-04,159.899994,162.100006,159.785004,161.205002,154.670151,117070
2018-01-05,162.100006,162.100006,158.000000,160.449997,153.945770,101740
2018-01-08,158.154999,161.899994,158.154999,160.529999,154.022522,79110
2018-01-09,161.000000,164.050003,159.505005,161.705002,155.149887,214550
2018-01-10,162.000000,167.699997,160.100006,162.960007,156.354034,2404420
2018-01-11,165.000000,165.000000,160.000000,160.570007,154.060913,203540
2018-01-12,161.000000,165.199997,158.149994,163.440002,156.814575,536050
2018-01-15,162.005005,167.000000,161.000000,161.440002,154.895645,595200
2018-01-16,162.199997,164.000000,160.100006,161.615005,155.063553,429880
2018-01-17,161.100006,162.000000,160.000000,160.585007,154.075302,83750
2018-01-18,160.699997,162.899994,159.500000,161.449997,154.905228,568730
2018-01-19,161.000000,162.500000,160.804993,162.080002,155.509689,294340
2018-01-22,161.994995,163.509995,161.399994,161.789993,155.231445,297870
