Date,Open,High,Low,Close,Adj Close,Volume
2018-04-04,435.000000,463.000000,435.000000,445.100006,403.157623,7417211
2018-04-05,448.000000,455.899994,440.000000,445.399994,403.429321,1111241
2018-04-06,445.000000,448.000000,440.100006,441.299988,399.715668,420849
2018-04-09,441.000000,443.000000,435.000000,436.149994,395.050934,311792
2018-04-10,436.000000,437.750000,426.000000,427.649994,387.351898,410484
2018-04-11,427.399994,427.649994,418.000000,419.100006,379.607605,302726
2018-04-12,419.000000,419.500000,408.000000,408.399994,369.915894,288649
2018-04-13,405.100006,427.000000,403.100006,423.549988,383.638214,820973
2018-04-16,431.100006,436.799988,425.200012,430.000000,389.480499,1002001
2018-04-17,431.000000,436.450012,426.100006,432.450012,391.699646,386663
2018-04-18,433.000000,436.000000,427.250000,429.649994,389.163452,279199
2018-04-19,429.899994,431.149994,421.500000,424.100006,384.136414,833605
2018-04-20,422.100006,429.899994,421.049988,426.200012,386.038574,110817
2018-04-23,426.000000,426.200012,422.450012,424.000000,384.045837,71568
2018-04-24,422.500000,424.950012,418.149994,420.000000,380.422791,69316
2018-04-25,420.000000,427.299988,420.000000,425.000000,384.951599,145531
2018-04-26,427.700012,428.000000,422.049988,425.350006,385.268646,99233
2018-04-27,426.399994,426.399994,421.600006,422.750000,382.913666,85625
2018-04-30,422.000000,424.899994,417.000000,419.200012,379.698151,162191
2018-05-02,419.500000,421.000000,397.000000,398.350006,360.812927,444449
2018-05-03,402.000000,402.000000,371.500000,374.750000,339.436768,431143
2018-05-04,383.000000,383.000000,368.000000,369.700012,334.862640,1095078
2018-05-07,376.500000,376.750000,363.500000,366.649994,332.100037,530008
2018-05-08,365.000000,369.899994,363.000000,363.850006,329.563904,302167
2018-05-09,365.000000,367.950012,359.149994,360.799988,326.801300,866640
2018-05-10,361.899994,365.000000,360.500000,361.700012,327.616516,384294
2018-05-11,365.000000,366.700012,361.500000,363.100006,328.884552,133361
2018-05-14,363.000000,366.750000,361.600006,363.049988,328.839233,91827
2018-05-15,363.000000,364.850006,359.250000,362.299988,328.159973,373663
2018-05-16,360.000000,361.000000,352.000000,360.049988,326.121948,225695
2018-05-17,359.250000,415.799988,359.000000,399.500000,361.854492,669303
2018-05-18,400.000000,407.899994,376.049988,380.000000,344.192017,936656
2018-05-21,373.950012,380.000000,365.000000,369.899994,335.043793,150689
2018-05-22,371.000000,379.000000,368.000000,372.899994,337.761078,83130
2018-05-23,375.049988,381.000000,368.000000,375.950012,340.523712,134563
2018-05-24,373.100006,378.750000,373.100006,376.049988,340.614258,71771
2018-05-25,375.049988,384.950012,375.049988,380.200012,344.373230,70018
2018-05-28,382.000000,390.000000,380.299988,385.750000,349.400238,61042
2018-05-29,385.000000,387.950012,385.000000,386.000000,349.626678,38543
2018-05-30,385.000000,385.149994,376.549988,380.350006,344.509125,42129
2018-05-31,377.049988,387.000000,371.000000,383.750000,347.588684,123413
2018-06-01,378.000000,383.350006,369.000000,369.600006,334.772064,62018
2018-06-04,372.200012,372.950012,355.600006,356.700012,323.087646,92225
2018-06-05,361.000000,361.000000,350.000000,351.450012,318.332367,67672
2018-06-06,359.450012,360.000000,351.049988,354.299988,320.913788,218939
2018-06-07,357.950012,364.700012,355.200012,361.750000,327.661774,60336
2018-06-08,361.500000,363.899994,358.149994,362.000000,327.888214,58176
2018-06-11,362.000000,363.950012,357.000000,359.299988,325.442596,66315
2018-06-12,357.299988,363.149994,357.000000,357.950012,324.219879,34692
2018-06-13,361.899994,361.899994,356.000000,357.000000,323.359375,91776
2018-06-14,366.000000,369.000000,357.549988,361.299988,327.254150,410849
2018-06-15,361.500000,364.000000,358.000000,360.600006,326.620148,138851
2018-06-18,361.450012,365.950012,361.450012,364.799988,330.424347,115722
2018-06-19,364.000000,365.899994,358.000000,363.000000,328.793976,102629
2018-06-20,362.399994,365.000000,356.100006,360.149994,326.212555,69141
2018-06-21,364.000000,364.000000,356.049988,360.000000,326.076660,278721
2018-06-22,360.000000,363.450012,355.000000,356.250000,322.680054,55002
2018-06-25,357.000000,390.000000,351.049988,352.399994,319.192810,52194
2018-06-26,352.399994,352.450012,344.450012,346.350006,313.712952,83340
2018-06-27,347.000000,350.000000,332.250000,333.750000,302.300262,247749
2018-06-28,330.049988,333.000000,325.000000,328.549988,297.590240,313073
2018-06-29,328.000000,345.000000,326.350006,330.000000,298.903595,170785
2018-07-02,330.000000,332.600006,325.049988,326.250000,295.506958,85861
2018-07-03,325.000000,326.000000,316.500000,319.100006,289.030762,107468
2018-07-04,320.000000,321.600006,298.000000,302.899994,274.357300,288215
2018-07-05,304.649994,304.649994,291.000000,293.299988,265.661896,247582
2018-07-06,293.200012,309.000000,292.350006,305.299988,276.531097,141846
2018-07-09,305.950012,314.500000,305.950012,311.350006,282.011047,82057
2018-07-10,311.000000,319.950012,310.899994,317.399994,287.490967,126888
2018-07-11,317.399994,328.000000,315.000000,325.750000,295.054108,128458
2018-07-12,328.950012,333.000000,328.450012,331.000000,299.809387,91711
2018-07-13,334.899994,334.899994,318.000000,319.750000,289.619476,45147
2018-07-16,319.000000,319.500000,305.000000,307.100006,278.161560,35540
2018-07-17,305.000000,310.000000,301.049988,307.649994,278.659729,146025
2018-07-18,308.100006,315.899994,302.100006,306.600006,277.708618,53832
2018-07-19,307.000000,309.049988,301.000000,303.799988,275.172455,44628
2018-07-20,301.000000,309.899994,300.299988,302.750000,274.221405,41783
2018-07-23,298.600006,317.549988,298.600006,313.399994,283.867828,118732
2018-07-24,313.000000,313.000000,300.000000,309.000000,279.882477,133688
2018-07-25,306.000000,313.600006,306.000000,309.200012,280.063629,208592
2018-07-26,309.000000,314.500000,308.100006,311.149994,281.829865,62803
2018-07-27,311.000000,317.450012,311.000000,316.000000,286.222839,73478
2018-07-30,317.500000,325.000000,313.000000,316.399994,286.585144,110729
2018-07-31,318.750000,325.000000,317.950012,323.000000,292.563232,181446
2018-08-01,323.500000,330.000000,323.500000,328.399994,297.454376,82853
2018-08-02,338.000000,338.000000,326.450012,333.850006,302.390869,128172
2018-08-03,331.250000,337.000000,331.250000,336.600006,304.881683,93738
2018-08-06,340.000000,351.750000,336.000000,349.450012,316.520844,222324
2018-08-07,351.000000,365.450012,349.950012,360.600006,326.620148,279039
2018-08-08,362.000000,366.299988,355.750000,357.899994,324.174591,211012
2018-08-09,357.899994,359.399994,346.299988,349.950012,316.973724,48109
2018-08-10,350.000000,352.750000,340.000000,344.649994,312.173157,42070
2018-08-13,345.000000,347.350006,330.100006,331.750000,300.488708,57906
2018-08-14,330.000000,336.950012,327.750000,329.899994,298.812988,50671
2018-08-16,332.000000,333.899994,329.000000,330.000000,298.903595,2028916
2018-08-17,331.049988,331.500000,320.049988,325.950012,295.235321,875544
2018-08-20,326.000000,328.899994,324.500000,325.700012,295.008820,164688
2018-08-21,322.200012,328.700012,317.000000,323.700012,296.750641,347447
2018-08-23,325.000000,327.000000,322.000000,323.500000,296.567291,108970
2018-08-24,322.000000,324.500000,319.649994,322.700012,295.833893,58626
2018-08-27,318.649994,323.649994,317.500000,320.149994,293.496155,52033
2018-08-28,321.000000,328.399994,320.399994,326.750000,299.546722,200918
2018-08-29,326.049988,335.850006,324.250000,333.049988,305.322205,99860
2018-08-30,335.000000,335.000000,325.200012,327.899994,300.600922,44740
2018-08-31,334.899994,343.700012,331.000000,335.000000,307.109833,120688
2018-09-03,335.500000,339.000000,327.200012,331.149994,303.580383,57033
2018-09-04,330.000000,334.350006,327.250000,330.950012,303.397064,47835
2018-09-05,330.000000,334.200012,324.000000,330.600006,303.076172,130606
2018-09-06,330.000000,335.549988,326.250000,331.000000,303.442902,59988
2018-09-07,330.899994,331.600006,320.000000,327.100006,299.867554,73428
2018-09-10,325.000000,329.299988,325.000000,327.399994,300.142609,42227
2018-09-11,333.700012,337.450012,325.100006,328.850006,301.471893,85832
2018-09-12,329.600006,331.950012,326.950012,330.750000,303.213684,44936
2018-09-14,328.049988,332.750000,328.049988,331.049988,303.488708,37045
2018-09-17,328.000000,331.100006,325.200012,329.250000,301.838562,123155
2018-09-18,330.000000,333.000000,328.049988,330.450012,302.938690,60620
2018-09-19,330.000000,330.950012,313.049988,315.500000,289.233276,165064
2018-09-21,313.000000,317.000000,297.250000,306.600006,281.074280,798660
2018-09-24,307.100006,308.950012,294.350006,295.950012,271.310944,86552
2018-09-25,298.700012,303.000000,292.149994,299.000000,274.107025,331020
2018-09-26,301.600006,306.000000,295.149994,297.200012,272.456879,126911
2018-09-27,299.600006,302.000000,295.000000,297.350006,272.594360,69555
2018-09-28,300.950012,300.950012,286.100006,289.149994,265.077026,81297
2018-10-01,285.000000,287.950012,274.100006,279.899994,256.597168,96828
2018-10-03,284.899994,284.899994,263.000000,264.799988,242.754288,292883
2018-10-04,265.950012,271.500000,264.100006,266.399994,244.221100,1020864
2018-10-05,270.950012,277.950012,262.399994,265.850006,243.716904,95485
2018-10-08,265.000000,265.000000,248.149994,249.949997,229.140625,104733
2018-10-09,256.000000,256.149994,240.949997,243.350006,223.090118,156907
2018-10-10,245.000000,247.600006,239.000000,239.850006,219.881500,287340
2018-10-11,238.000000,239.000000,228.050003,229.449997,210.347305,190124
2018-10-12,234.949997,235.800003,227.000000,229.350006,210.255692,2011491
2018-10-15,239.000000,260.000000,234.199997,250.000000,229.186462,679269
2018-10-16,252.000000,273.549988,248.199997,269.799988,247.338013,235950
2018-10-17,269.000000,273.850006,254.000000,256.549988,235.191132,185068
2018-10-19,261.000000,267.500000,238.750000,246.750000,226.207031,187692
2018-10-22,248.750000,257.000000,225.550003,235.149994,215.572800,240547
2018-10-23,234.750000,237.050003,227.000000,231.350006,212.089157,258423
