Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,62.750000,63.500000,62.299999,62.549999,54.322117,414583
2016-01-04,62.500000,63.200001,61.150002,61.450001,53.366814,424892
2016-01-05,62.049999,63.849998,61.099998,63.200001,54.886612,821414
2016-01-06,63.700001,65.699997,63.299999,64.150002,55.711651,1392331
2016-01-07,63.549999,63.549999,61.099998,61.299999,53.236538,432425
2016-01-08,61.500000,62.750000,61.000000,61.799999,53.670769,356958
2016-01-11,61.400002,62.900002,60.500000,61.750000,53.627346,264268
2016-01-12,61.950001,62.400002,60.349998,60.599998,52.628616,264208
2016-01-13,61.099998,61.500000,48.500000,59.000000,51.239082,649800
2016-01-14,58.000000,58.000000,55.799999,56.599998,49.154781,237111
2016-01-15,57.000000,57.299999,52.049999,52.900002,45.941486,289001
2016-01-18,52.900002,54.000000,50.849998,51.250000,44.508526,312170
2016-01-19,51.799999,52.700001,50.099998,51.900002,45.073025,292363
2016-01-20,51.250000,51.250000,48.000000,49.250000,42.771610,470436
2016-01-21,49.950001,50.650002,47.599998,48.049999,41.729458,329062
2016-01-22,49.849998,50.450001,48.799999,50.000000,43.422958,435552
2016-01-25,50.700001,51.349998,50.099998,50.450001,43.813763,211092
2016-01-27,51.000000,51.900002,50.200001,51.049999,44.334831,174586
2016-01-28,51.500000,51.500000,49.750000,50.049999,43.466377,233978
2016-01-29,50.450001,50.849998,49.799999,50.049999,43.466377,308362
2016-02-01,50.799999,52.200001,48.650002,49.599998,43.075565,1252799
2016-02-02,49.250000,50.450001,48.049999,48.099998,41.772881,428332
2016-02-03,47.900002,47.950001,45.000000,45.849998,39.818848,480928
2016-02-04,46.000000,47.049999,44.650002,45.000000,39.080658,453584
2016-02-05,46.000000,46.299999,44.500000,45.250000,39.297771,457501
2016-02-08,45.599998,46.299999,44.099998,44.349998,38.516159,438347
2016-02-09,44.049999,44.200001,42.599998,42.799999,37.170055,439803
2016-02-10,42.700001,42.750000,40.750000,41.099998,35.693668,420103
2016-02-11,40.849998,40.849998,38.049999,38.400002,33.348831,541736
2016-02-12,38.750000,38.849998,36.000000,36.650002,31.829027,524313
2016-02-15,37.700001,39.599998,36.000000,38.849998,33.739632,376754
2016-02-16,39.900002,42.000000,38.299999,39.750000,34.521244,474611
2016-02-17,40.000000,40.000000,37.450001,39.049999,33.913322,256535
2016-02-18,39.900002,41.049999,39.400002,40.349998,35.042324,237205
2016-02-19,40.200001,41.900002,39.700001,41.400002,35.954208,293224
2016-02-22,41.099998,41.700001,40.349998,40.849998,35.476555,174121
2016-02-23,40.849998,41.200001,39.299999,39.700001,34.477821,213758
2016-02-24,39.500000,39.500000,38.250000,38.450001,33.392250,202520
2016-02-25,39.200001,39.200001,37.500000,37.750000,32.784328,172858
2016-02-26,38.200001,38.400002,36.500000,36.650002,31.829027,290732
2016-02-29,36.700001,37.450001,35.650002,35.950001,31.221106,304785
2016-03-01,36.099998,39.000000,36.099998,38.599998,33.522518,334378
2016-03-02,39.000000,40.200001,39.000000,39.700001,34.477821,363611
2016-03-03,40.000000,42.900002,39.799999,42.650002,37.039783,763758
2016-03-04,42.900002,43.400002,41.750000,42.099998,36.562126,503316
2016-03-08,42.049999,44.500000,42.049999,43.599998,37.864815,714264
2016-03-09,43.000000,43.200001,42.049999,42.900002,37.256893,341768
2016-03-10,42.799999,44.299999,42.799999,43.400002,37.691124,375456
2016-03-11,43.049999,43.599998,41.599998,41.950001,36.431862,258325
2016-03-14,42.500000,43.400002,41.400002,41.799999,36.301590,234024
