Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,267.750000,274.100006,266.000000,266.700012,256.649384,54026
2016-01-04,262.049988,275.850006,262.049988,273.850006,263.529907,1181452
2016-01-05,275.700012,284.000000,272.149994,281.299988,270.699158,2448893
2016-01-06,286.000000,294.450012,282.100006,284.450012,273.730438,422498
2016-01-07,282.000000,291.000000,275.299988,287.350006,276.521118,1807334
2016-01-08,291.000000,297.000000,287.850006,292.200012,281.188385,190222
2016-01-11,289.350006,298.950012,283.549988,287.700012,276.858002,116038
2016-01-12,287.700012,292.250000,277.500000,278.149994,267.667877,89602
2016-01-13,279.000000,282.000000,265.549988,271.049988,260.835388,105677
2016-01-14,267.399994,268.350006,263.350006,266.200012,256.168243,220471
2016-01-15,266.200012,271.549988,261.049988,262.899994,252.992569,114761
2016-01-18,261.049988,262.750000,251.649994,255.699997,246.063873,821246
2016-01-19,260.000000,264.500000,254.050003,264.399994,254.436035,167160
2016-01-20,262.000000,264.000000,250.050003,253.350006,243.802460,117394
2016-01-21,255.199997,262.000000,251.649994,261.649994,251.789627,80518
2016-01-22,264.000000,266.149994,256.500000,264.600006,254.628494,1004454
2016-01-25,265.200012,280.799988,265.200012,267.750000,257.659790,456207
2016-01-27,267.549988,269.899994,261.200012,265.049988,255.061508,82551
2016-01-28,266.000000,269.000000,260.399994,262.450012,252.559509,198812
2016-01-29,264.899994,266.000000,256.200012,262.649994,252.751999,154479
2016-02-01,264.500000,272.000000,260.600006,270.100006,259.921234,153099
2016-02-02,270.000000,273.899994,264.000000,269.600006,259.440063,251320
2016-02-03,266.250000,269.500000,265.000000,267.450012,257.371124,157823
2016-02-04,268.049988,273.850006,265.049988,269.149994,259.007019,182083
2016-02-05,270.000000,275.000000,266.000000,272.850006,262.567596,209861
2016-02-08,274.649994,274.649994,267.100006,268.250000,258.140961,94168
2016-02-09,269.899994,272.399994,262.149994,265.250000,255.253983,64985
2016-02-10,265.250000,268.750000,262.000000,267.700012,257.611694,42795
2016-02-11,266.549988,267.299988,257.750000,262.399994,252.511383,934106
2016-02-12,262.250000,269.899994,257.950012,267.399994,257.322968,2756204
2016-02-15,269.899994,276.899994,264.000000,265.049988,255.061508,258348
2016-02-16,268.399994,268.450012,260.049988,263.600006,253.666199,759260
2016-02-17,264.799988,266.000000,259.299988,263.350006,253.425583,44641
2016-02-18,268.950012,268.950012,260.100006,261.799988,251.934021,31747
2016-02-19,262.350006,269.899994,258.299988,267.500000,257.419189,39087
2016-02-22,268.000000,270.000000,264.899994,267.649994,257.563538,42968
2016-02-23,267.000000,272.700012,261.200012,265.149994,255.157761,129563
2016-02-24,268.850006,269.700012,263.549988,266.149994,256.120056,562390
2016-02-25,269.350006,269.350006,262.000000,265.049988,255.061508,599399
2016-02-26,265.049988,293.750000,262.100006,268.700012,258.573975,411666
2016-02-29,268.700012,269.950012,262.000000,269.250000,259.103241,126110
2016-03-01,271.000000,275.000000,267.950012,274.200012,263.866730,2265998
2016-03-02,274.399994,279.299988,272.100006,274.649994,264.299744,101483
2016-03-03,275.250000,283.000000,275.250000,281.200012,270.602875,233251
2016-03-04,281.200012,288.000000,281.000000,282.649994,271.998230,139976
2016-03-08,285.000000,285.000000,273.750000,275.149994,264.780945,130998
2016-03-09,277.799988,280.700012,275.250000,277.350006,266.898041,111283
2016-03-10,278.000000,279.899994,273.000000,275.100006,264.732819,120187
2016-03-11,280.000000,281.000000,276.750000,277.600006,267.138611,306017
2016-03-14,280.799988,287.200012,277.350006,281.799988,271.180267,130489
2016-03-15,283.899994,283.899994,278.000000,278.250000,267.764099,37243
2016-03-16,279.799988,280.000000,275.299988,278.750000,268.245239,129017
2016-03-17,279.000000,280.750000,271.500000,275.950012,265.550812,243660
2016-03-18,277.500000,283.049988,271.500000,278.950012,268.437744,1295829
2016-03-21,279.000000,282.000000,274.000000,275.299988,264.925262,191195
2016-03-22,275.049988,277.649994,273.299988,274.049988,263.722351,399718
2016-03-23,274.200012,276.350006,272.500000,275.000000,264.636566,643598
2016-03-28,274.049988,277.000000,272.000000,276.149994,265.743195,140512
2016-03-29,276.149994,282.250000,273.200012,279.950012,269.400055,1116671
2016-03-30,282.200012,284.850006,277.500000,281.750000,271.132141,69733
2016-03-31,291.000000,298.649994,279.899994,280.600006,270.025574,696507
2016-04-01,277.200012,286.500000,277.200012,280.049988,269.496246,202760
2016-04-04,281.700012,284.799988,280.200012,282.399994,271.757690,53854
2016-04-05,282.950012,284.399994,280.200012,280.700012,270.121765,98347
2016-04-06,282.950012,283.500000,280.000000,281.100006,270.506653,67025
2016-04-07,281.450012,283.000000,280.000000,281.899994,271.276550,36988
2016-04-08,282.000000,283.000000,280.750000,282.149994,271.517151,80241
2016-04-11,281.600006,282.950012,279.149994,280.350006,269.784973,33034
2016-04-12,281.049988,285.000000,281.000000,281.850006,271.228455,34276
2016-04-13,282.750000,294.549988,282.049988,291.950012,280.947845,292172
2016-04-18,294.000000,316.600006,294.000000,304.399994,292.928589,873060
2016-04-20,305.000000,315.750000,302.000000,304.149994,292.688080,409645
2016-04-21,306.000000,308.649994,298.049988,299.850006,288.550049,90024
2016-04-22,299.850006,302.000000,293.950012,295.649994,284.508362,75986
2016-04-25,297.000000,299.799988,288.200012,289.899994,278.975037,77835
2016-04-26,292.399994,296.000000,290.000000,292.399994,281.380798,203055
2016-04-27,292.350006,300.149994,292.100006,295.899994,284.748932,109352
2016-04-28,306.000000,309.700012,290.000000,291.450012,280.466644,506934
2016-04-29,293.750000,294.899994,283.200012,285.600006,274.837067,239017
2016-05-02,287.399994,294.399994,285.250000,291.649994,280.659088,103835
2016-05-03,292.000000,296.750000,289.049988,290.049988,279.119354,96134
2016-05-04,287.500000,299.000000,287.500000,293.750000,282.679993,621721
2016-05-05,296.899994,298.799988,291.250000,293.649994,282.583771,85873
2016-05-06,296.000000,297.799988,293.149994,294.200012,283.113037,1090656
2016-05-09,295.149994,299.899994,291.500000,295.450012,284.315948,160116
2016-05-10,294.000000,304.500000,292.600006,299.799988,288.501953,284246
2016-05-11,295.200012,300.000000,295.200012,297.399994,286.192383,65473
2016-05-12,297.399994,300.000000,297.399994,299.299988,288.020813,57676
2016-05-13,299.000000,299.750000,296.049988,296.799988,285.615021,42085
2016-05-16,298.000000,300.000000,296.600006,297.500000,286.288666,86545
2016-05-17,299.000000,301.500000,294.899994,295.700012,284.556519,112478
2016-05-18,295.500000,297.000000,290.000000,292.100006,281.092133,51609
2016-05-19,294.000000,294.649994,288.049988,289.250000,278.349548,51419
2016-05-20,290.000000,292.899994,285.049988,290.649994,279.696777,66653
2016-05-23,289.600006,290.799988,285.600006,287.600006,276.761719,258461
2016-05-24,289.200012,291.000000,285.350006,288.450012,277.579712,448429
2016-05-25,290.700012,291.649994,288.600006,289.799988,278.878784,125371
2016-05-26,289.549988,294.899994,289.500000,293.799988,282.728088,233839
2016-05-27,294.500000,296.500000,290.100006,294.899994,283.786591,389453
2016-05-30,296.000000,299.600006,291.250000,298.250000,287.010376,562500
2016-05-31,298.549988,299.799988,291.450012,292.250000,281.236511,470770
2016-06-01,294.850006,296.799988,292.000000,292.549988,281.525208,173892
2016-06-02,292.100006,298.649994,291.100006,295.899994,284.748932,74552
2016-06-03,296.049988,302.600006,294.100006,295.850006,284.700836,106991
2016-06-06,297.850006,299.500000,294.149994,297.950012,286.721649,52034
2016-06-07,298.049988,298.950012,293.799988,295.250000,284.123383,191655
