Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,924.000000,935.400024,921.099976,927.049988,856.493469,242647
2016-01-04,921.000000,933.000000,905.049988,914.799988,845.175781,213714
2016-01-05,914.200012,921.950012,892.000000,898.000000,829.654358,158961
2016-01-06,900.000000,915.000000,892.099976,905.750000,836.814514,288723
2016-01-07,897.000000,900.000000,874.000000,889.450012,821.755127,266817
2016-01-08,896.599976,908.000000,850.099976,899.900024,831.409790,176504
2016-01-11,891.849976,912.799988,885.000000,900.650024,832.102661,207686
2016-01-12,902.900024,908.900024,890.000000,894.299988,826.236023,120864
2016-01-13,897.000000,904.799988,845.400024,870.549988,804.293579,239812
2016-01-14,862.000000,876.950012,842.200012,862.849976,797.179565,159019
2016-01-15,869.000000,873.000000,830.000000,833.349976,769.924744,117091
2016-01-18,830.000000,834.000000,780.000000,814.450012,752.463257,205544
2016-01-19,818.000000,831.000000,808.049988,824.849976,762.071716,139300
2016-01-20,796.400024,831.750000,795.000000,825.900024,763.041870,217882
2016-01-21,838.000000,847.000000,808.000000,820.400024,757.960388,105414
2016-01-22,832.000000,837.500000,821.000000,830.900024,767.661255,125004
2016-01-25,839.950012,845.000000,830.000000,838.750000,774.913879,63982
2016-01-27,847.099976,854.000000,820.000000,844.250000,779.995239,76008
2016-01-28,846.000000,846.000000,831.000000,838.700012,774.867676,39393
2016-01-29,844.750000,859.000000,840.000000,854.599976,789.557434,79048
2016-02-01,847.000000,885.000000,847.000000,871.250000,804.940247,118567
2016-02-02,871.000000,875.599976,837.500000,843.500000,779.302246,73668
2016-02-03,834.500000,834.500000,809.950012,813.400024,751.493164,100759
2016-02-04,818.000000,822.000000,807.349976,814.700012,752.694275,214543
2016-02-05,800.000000,819.900024,785.049988,814.750000,752.740417,249840
2016-02-08,814.000000,833.700012,803.400024,816.099976,753.987671,55265
2016-02-09,813.000000,816.849976,797.000000,806.049988,744.702576,128016
2016-02-10,806.000000,815.900024,796.950012,802.450012,741.376587,104332
2016-02-11,805.000000,807.849976,743.000000,764.099976,705.945313,129495
2016-02-12,765.099976,771.000000,725.000000,753.549988,696.198303,222758
2016-02-15,757.099976,790.950012,752.000000,758.250000,700.540527,86177
2016-02-16,765.000000,766.799988,738.000000,740.250000,683.910522,127242
2016-02-17,748.000000,751.000000,725.000000,747.599976,690.701111,72809
2016-02-18,754.900024,762.000000,736.000000,740.500000,684.141479,126535
2016-02-19,745.000000,760.000000,740.000000,747.250000,690.377808,54510
2016-02-22,753.750000,813.000000,745.000000,793.799988,733.384949,219592
2016-02-23,811.200012,819.700012,775.400024,789.349976,729.273499,207015
2016-02-24,790.000000,793.950012,770.000000,780.049988,720.681335,139769
2016-02-25,780.950012,788.700012,765.099976,771.799988,713.059326,67195
2016-02-26,781.000000,784.700012,758.000000,770.349976,711.719604,89135
2016-02-29,769.900024,843.750000,754.000000,813.700012,751.770325,804139
2016-03-01,820.000000,827.900024,802.000000,804.549988,743.316772,243834
2016-03-02,811.900024,836.700012,808.200012,820.599976,758.145264,195263
2016-03-03,824.000000,827.299988,812.400024,819.650024,757.267517,122859
2016-03-04,823.000000,857.049988,816.000000,839.950012,776.022522,226292
2016-03-08,847.500000,867.650024,840.000000,851.650024,786.832031,185790
2016-03-09,848.950012,848.950012,820.000000,829.250000,766.136841,204328
2016-03-10,835.000000,875.000000,832.549988,851.700012,786.878235,235802
2016-03-11,849.000000,851.700012,835.099976,842.650024,778.516968,90361
2016-03-14,848.750000,863.799988,844.200012,860.549988,795.054626,150893
2016-03-15,860.549988,864.000000,842.799988,846.200012,781.796814,57271
2016-03-16,849.700012,852.000000,824.000000,829.950012,766.783569,120997
2016-03-17,837.000000,847.250000,818.599976,820.799988,758.329895,108106
2016-03-18,826.000000,834.000000,808.049988,816.849976,754.680603,123908
2016-03-21,825.799988,848.000000,821.000000,844.400024,780.133850,176878
2016-03-22,857.650024,876.700012,841.200012,847.599976,783.090210,562101
2016-03-23,848.400024,859.000000,845.000000,850.200012,785.492371,131091
2016-03-28,853.000000,853.000000,829.900024,832.750000,769.370422,145315
2016-03-29,832.750000,843.950012,815.000000,823.099976,760.454895,145762
2016-03-30,830.000000,845.700012,830.000000,833.349976,769.924744,97809
2016-03-31,839.700012,849.000000,832.150024,836.650024,772.973633,94692
2016-04-01,839.599976,845.650024,831.000000,834.000000,770.525269,69052
2016-04-04,841.000000,847.750000,830.099976,831.650024,768.354187,103530
2016-04-05,827.000000,837.500000,819.099976,822.349976,759.761963,68872
2016-04-06,829.650024,839.000000,819.000000,831.099976,767.846069,91427
2016-04-07,833.700012,839.000000,824.000000,825.400024,762.579895,84206
2016-04-08,828.000000,829.849976,813.099976,815.799988,753.710510,83212
2016-04-11,823.299988,824.500000,813.000000,819.049988,756.713135,113531
2016-04-12,819.400024,824.450012,816.099976,818.150024,755.881653,113906
2016-04-13,824.900024,852.799988,823.599976,835.400024,771.818726,502852
