Date,Open,High,Low,Close,Adj Close,Volume
2016-07-01,540.000000,548.950012,518.000000,520.299988,457.512421,20001438
2016-07-04,523.500000,533.900024,521.299988,531.049988,466.965179,3591938
2016-07-05,530.000000,532.500000,516.250000,517.500000,455.050385,1611597
2016-07-07,518.750000,520.599976,504.549988,506.200012,445.113983,1050990
2016-07-08,506.399994,510.750000,498.549988,502.500000,441.860474,1306333
2016-07-11,508.000000,511.750000,502.000000,503.399994,442.651886,963350
2016-07-12,505.399994,506.000000,495.100006,496.750000,436.804382,790935
2016-07-13,497.500000,504.250000,492.649994,500.250000,439.881989,835625
2016-07-14,500.899994,509.950012,498.000000,506.549988,445.421722,676085
2016-07-15,507.450012,513.900024,502.049988,506.799988,445.641602,801549
2016-07-18,507.799988,511.799988,503.100006,509.899994,448.367523,500134
2016-07-19,510.100006,514.200012,508.000000,509.450012,447.971802,306063
2016-07-20,510.100006,512.750000,509.000000,510.100006,448.543396,436612
2016-07-21,510.049988,513.750000,502.450012,503.899994,443.091522,376728
2016-07-22,504.799988,509.750000,504.000000,508.100006,446.784698,246857
2016-07-25,508.450012,509.450012,503.149994,504.549988,443.663086,209098
2016-07-26,506.000000,507.250000,497.700012,499.399994,439.134613,203104
2016-07-27,498.399994,503.950012,496.600006,498.000000,437.903534,208083
2016-07-28,499.700012,511.250000,496.000000,506.350006,445.245941,653293
2016-07-29,507.000000,515.599976,506.200012,508.799988,447.400238,544200
2016-08-01,509.000000,515.000000,504.000000,512.349976,450.521820,1819762
2016-08-02,514.849976,521.950012,514.000000,519.400024,456.721100,1016034
2016-08-03,519.000000,523.950012,509.100006,511.350006,449.642548,461560
2016-08-04,513.500000,518.500000,509.950012,517.000000,454.610718,369454
2016-08-05,517.950012,522.000000,514.049988,519.549988,456.852936,417478
2016-08-08,522.000000,532.400024,521.000000,530.299988,466.305725,657734
2016-08-09,530.250000,547.299988,527.549988,540.299988,475.098907,1274819
2016-08-10,542.000000,542.000000,532.000000,535.099976,470.526489,399445
2016-08-11,534.599976,538.450012,529.599976,532.500000,468.240204,209485
2016-08-12,534.700012,539.700012,533.000000,536.849976,472.065247,219502
2016-08-16,536.900024,540.000000,534.150024,537.099976,472.285034,351340
2016-08-17,537.250000,551.099976,537.099976,549.349976,483.056824,881986
2016-08-18,551.000000,573.400024,550.950012,570.900024,502.006287,1206667
2016-08-19,573.400024,582.000000,563.549988,577.349976,507.677887,749894
2016-08-22,580.700012,594.799988,575.000000,591.549988,520.164307,1282012
2016-08-23,593.950012,603.000000,565.099976,580.450012,510.403870,1419004
2016-08-24,580.000000,598.000000,579.950012,595.900024,523.989441,416093
2016-08-25,598.000000,598.000000,585.000000,586.750000,515.943542,273017
2016-08-26,590.000000,598.000000,589.950012,596.299988,524.341064,292354
2016-08-29,598.000000,615.000000,596.299988,613.900024,539.817261,640981
2016-08-30,616.599976,650.000000,616.000000,641.849976,564.394409,940134
2016-08-31,645.000000,661.400024,640.000000,652.250000,573.539368,872126
2016-09-01,654.500000,658.000000,631.549988,636.150024,559.382202,849646
2016-09-02,635.400024,649.950012,612.000000,635.299988,558.634766,1048848
2016-09-06,640.000000,654.700012,635.500000,651.849976,573.187561,398256
2016-09-07,655.900024,656.000000,640.549988,647.000000,568.922852,284368
2016-09-08,650.000000,653.000000,645.500000,649.349976,570.989258,146259
2016-09-09,648.000000,653.900024,641.299988,643.700012,566.021118,210462
2016-09-12,635.000000,635.000000,617.250000,619.950012,545.137146,275224
2016-09-14,622.500000,638.849976,622.500000,631.349976,555.161438,264287
2016-09-15,621.000000,622.900024,606.500000,609.950012,542.791931,226065
2016-09-16,612.250000,619.000000,601.200012,605.650024,538.965332,174090
2016-09-19,609.799988,615.000000,606.150024,607.900024,540.967651,100918
2016-09-20,609.400024,609.400024,598.000000,602.700012,536.340210,111000
2016-09-21,604.700012,606.700012,601.450012,602.950012,536.562622,81843
2016-09-22,612.000000,621.150024,607.000000,613.799988,546.217957,232404
2016-09-23,618.000000,627.799988,616.099976,619.900024,551.646362,362475
2016-09-26,622.400024,624.299988,617.549988,622.049988,553.559753,171555
2016-09-27,625.000000,636.950012,622.150024,634.799988,564.905762,231825
2016-09-28,637.000000,664.950012,635.500000,661.599976,588.755127,963282
2016-09-29,667.700012,679.950012,639.099976,647.200012,575.940552,970935
2016-09-30,654.599976,666.500000,650.349976,660.150024,587.464722,364893
2016-10-03,668.099976,674.900024,666.700012,669.500000,595.785156,308161
2016-10-04,673.799988,731.900024,664.299988,722.049988,642.549133,1339659
2016-10-05,722.000000,722.000000,695.049988,698.450012,621.547729,494612
2016-10-06,703.000000,708.750000,691.549988,698.700012,621.770203,685208
2016-10-07,702.599976,705.700012,697.000000,703.200012,625.774719,178621
2016-10-10,706.099976,725.000000,703.200012,716.900024,637.966187,454819
2016-10-13,718.000000,718.000000,689.299988,691.349976,615.229431,384721
2016-10-14,696.950012,729.900024,694.000000,725.150024,645.307983,562782
2016-10-17,729.900024,774.000000,729.099976,758.849976,675.297363,720761
2016-10-18,763.400024,766.250000,747.000000,755.500000,672.316284,333380
2016-10-19,759.799988,767.000000,751.000000,760.299988,676.587708,252187
2016-10-20,763.000000,765.799988,753.400024,759.099976,675.519836,222318
2016-10-21,762.400024,803.250000,756.450012,789.500000,702.572693,472430
2016-10-24,793.299988,797.500000,786.000000,791.150024,704.041077,306697
2016-10-25,790.000000,794.599976,766.099976,769.099976,684.418823,305433
2016-10-26,765.250000,785.000000,762.049988,764.700012,680.503296,212184
2016-10-27,764.700012,768.900024,748.000000,752.849976,669.957947,204834
2016-10-28,757.700012,774.349976,754.400024,759.799988,676.142761,425564
2016-11-01,773.500000,780.000000,767.349976,774.500000,689.224182,148947
2016-11-02,752.000000,765.150024,752.000000,758.200012,674.718994,90938
2016-11-03,758.000000,767.450012,751.200012,755.599976,672.405212,73935
2016-11-04,752.099976,758.900024,712.049988,719.349976,640.146423,251873
2016-11-07,733.500000,737.799988,704.049988,708.849976,630.802612,162941
2016-11-08,713.000000,722.450012,699.000000,715.400024,636.631348,186133
2016-11-09,635.099976,740.000000,635.099976,728.400024,648.200073,270403
2016-11-10,742.000000,758.900024,740.000000,747.500000,665.197083,137893
2016-11-11,755.000000,767.150024,742.000000,747.299988,665.018982,236564
2016-11-15,747.299988,753.450012,730.250000,744.349976,662.393799,106195
2016-11-16,753.599976,769.950012,724.750000,733.599976,652.827515,184775
2016-11-17,735.549988,777.950012,735.549988,770.400024,685.575745,263875
2016-11-18,774.900024,781.000000,743.000000,748.900024,666.442993,301226
2016-11-21,758.950012,764.000000,735.000000,741.000000,659.412659,133055
2016-11-22,745.250000,756.099976,730.599976,736.750000,655.630737,94191
2016-11-23,743.849976,746.650024,728.000000,730.900024,650.424744,97277
2016-11-24,731.400024,742.000000,724.750000,735.700012,654.696289,104570
2016-11-25,747.950012,771.900024,740.000000,770.549988,685.709106,188861
2016-11-28,774.950012,794.900024,761.250000,771.099976,686.198547,256254
2016-11-29,805.000000,828.000000,771.000000,778.250000,692.561401,1291736
2016-11-30,780.200012,783.700012,764.200012,769.150024,684.463257,483822
2016-12-01,771.000000,775.500000,742.500000,746.549988,664.351624,264603
2016-12-02,746.000000,748.049988,730.099976,734.250000,653.405945,228108
2016-12-05,742.400024,748.900024,736.000000,743.599976,661.726379,134351
2016-12-06,764.849976,769.700012,750.000000,751.200012,668.489685,232711
2016-12-07,752.849976,754.849976,742.549988,745.950012,663.817688,70823
2016-12-08,753.049988,756.799988,748.099976,750.049988,667.466309,66343
2016-12-09,752.900024,767.000000,746.049988,754.250000,671.203918,217063
2016-12-12,751.400024,754.700012,744.000000,746.950012,664.707642,113477
2016-12-13,745.000000,764.400024,741.000000,760.400024,676.676819,183665
2016-12-14,758.500000,764.700012,747.000000,751.250000,668.534180,133973
2016-12-15,747.700012,766.900024,745.000000,763.250000,679.212952,180210
2016-12-16,767.000000,797.000000,764.250000,784.200012,697.856201,519978
2016-12-19,784.799988,795.000000,778.000000,782.650024,696.476929,244212
2016-12-20,783.799988,788.750000,780.400024,784.750000,698.345703,90395
2016-12-21,789.650024,789.900024,770.150024,777.099976,691.537964,106355
2016-12-22,771.099976,774.150024,760.150024,769.549988,684.819336,61069
2016-12-23,768.000000,770.000000,761.000000,763.849976,679.746826,49162
2016-12-26,762.000000,780.000000,750.000000,776.750000,691.226563,106687
2016-12-27,779.000000,787.000000,770.000000,773.400024,688.245361,88748
2016-12-28,771.049988,782.000000,767.700012,775.950012,690.514771,66834
2016-12-29,779.700012,786.799988,776.000000,783.200012,696.966370,54357
2016-12-30,783.000000,789.849976,776.500000,787.849976,701.104248,164106
2017-01-02,788.650024,813.150024,788.650024,803.950012,715.431763,160701
2017-01-03,805.150024,833.000000,804.150024,822.700012,732.117188,335970
2017-01-04,829.000000,861.500000,825.500000,840.250000,747.734985,556945
2017-01-05,847.950012,854.900024,840.250000,851.599976,757.835083,170926
2017-01-06,857.000000,857.000000,836.799988,840.849976,748.268860,86941
2017-01-09,845.000000,850.000000,840.500000,848.200012,754.809570,58480
2017-01-10,849.799988,851.000000,842.000000,842.849976,750.048523,66646
2017-01-11,843.599976,851.299988,841.400024,844.049988,751.116516,83668
2017-01-12,845.000000,847.950012,838.000000,840.799988,748.224304,66987
2017-01-13,840.299988,844.950012,834.450012,842.500000,749.737061,48967
2017-01-16,842.500000,844.000000,836.000000,839.150024,746.755981,27609
2017-01-17,840.000000,840.000000,833.099976,837.099976,744.931763,61719
2017-01-18,840.000000,855.000000,831.250000,852.400024,758.547180,105668
2017-01-19,856.000000,869.200012,854.049988,865.250000,769.982178,115055
2017-01-20,862.099976,862.950012,841.650024,851.049988,757.345825,56402
2017-01-23,854.950012,869.450012,847.099976,864.099976,768.958862,62897
2017-01-24,864.099976,886.000000,859.000000,875.650024,779.237244,114634
2017-01-25,882.799988,888.000000,871.549988,874.650024,778.347351,61038
2017-01-27,872.250000,887.000000,871.000000,873.150024,777.012451,165856
2017-01-30,873.150024,878.049988,859.849976,872.349976,776.300598,85951
2017-01-31,870.900024,874.950012,852.049988,854.349976,760.282349,74551
2017-02-01,855.000000,887.000000,849.000000,884.450012,787.068359,218532
2017-02-02,880.049988,882.950012,869.049988,872.349976,776.300598,55981
2017-02-03,873.049988,887.000000,870.049988,873.400024,777.234924,81815
2017-02-06,879.000000,910.000000,876.150024,906.299988,806.512512,784973
2017-02-07,911.000000,948.799988,905.099976,930.700012,828.226013,392038
2017-02-08,931.450012,931.450012,907.500000,921.150024,819.727539,317887
2017-02-09,924.000000,955.500000,916.099976,921.400024,819.949951,275425
2017-02-10,921.400024,934.799988,916.000000,919.650024,818.392639,263137
2017-02-13,935.150024,940.000000,917.099976,921.599976,820.127869,409621
2017-02-14,921.900024,925.599976,910.000000,916.250000,815.366943,128074
2017-02-15,913.049988,938.000000,911.200012,914.299988,813.631592,351602
2017-02-16,917.049988,925.000000,895.849976,900.900024,801.707031,347764
2017-02-17,901.799988,907.000000,851.299988,861.450012,773.469116,455295
2017-02-20,869.200012,882.950012,866.099976,871.950012,782.896667,290227
2017-02-21,879.299988,883.650024,876.049988,881.549988,791.516296,121155
2017-02-22,884.400024,884.400024,871.450012,874.349976,785.051575,144950
2017-02-23,876.700012,877.049988,861.299988,863.549988,775.354675,317066
2017-02-27,863.549988,879.700012,856.200012,876.849976,787.296326,192007
2017-02-28,871.000000,884.400024,869.299988,873.849976,784.602661,180070
2017-03-01,874.700012,879.450012,870.549988,873.549988,784.333374,82337
2017-03-02,876.849976,889.000000,870.099976,879.900024,790.034851,135775
2017-03-03,874.799988,877.900024,859.000000,864.099976,775.848511,142354
2017-03-06,871.900024,871.900024,847.099976,849.650024,762.874268,185451
2017-03-07,860.049988,866.049988,851.049988,858.549988,770.865295,222629
2017-03-08,857.400024,867.000000,850.000000,856.450012,768.979797,76739
2017-03-09,855.000000,862.900024,850.549988,853.299988,766.151367,55456
2017-03-10,859.900024,859.900024,847.150024,850.450012,763.592590,51370
2017-03-14,866.000000,868.000000,852.000000,855.250000,767.902344,68885
2017-03-15,856.650024,856.849976,848.000000,849.650024,762.874268,63908
2017-03-16,853.000000,856.000000,844.000000,846.799988,760.315247,127901
2017-03-17,851.900024,865.000000,847.900024,859.799988,771.987610,98259
2017-03-20,868.799988,894.250000,854.950012,883.250000,793.042603,286108
2017-03-21,888.650024,907.700012,886.150024,901.549988,809.473633,232084
2017-03-22,892.500000,905.000000,889.000000,893.450012,802.200867,93246
2017-03-23,893.099976,907.000000,885.099976,891.450012,800.405151,121490
2017-03-24,891.599976,901.450012,873.099976,891.599976,800.539856,165245
2017-03-27,894.400024,901.000000,880.549988,896.200012,804.669983,85387
2017-03-28,896.000000,904.000000,888.900024,899.049988,807.229004,113676
2017-03-29,899.000000,901.000000,891.099976,898.900024,807.094299,119864
2017-03-30,894.250000,900.000000,891.150024,895.150024,803.727295,112305
2017-03-31,895.950012,897.000000,886.299988,895.400024,803.951721,131170
2017-04-03,899.900024,903.000000,890.549988,893.900024,802.604797,84291
2017-04-05,893.700012,894.450012,883.000000,884.099976,793.805847,79801
2017-04-06,884.950012,900.000000,880.000000,895.700012,804.221069,85297
2017-04-07,894.900024,894.900024,882.000000,885.000000,794.613953,79621
2017-04-10,886.000000,902.000000,886.000000,899.150024,807.318726,105028
2017-04-11,899.099976,953.700012,898.450012,935.450012,839.911438,486974
2017-04-12,940.950012,963.000000,935.349976,948.000000,851.179626,287064
2017-04-13,950.000000,957.000000,946.000000,950.849976,853.738525,97605
2017-04-17,949.799988,981.500000,946.849976,979.200012,879.193115,219931
2017-04-18,987.049988,994.000000,970.599976,975.700012,876.050659,126378
2017-04-19,971.799988,1006.000000,953.000000,1001.299988,899.036072,251179
2017-04-20,1020.000000,1036.650024,1015.000000,1019.900024,915.736389,243364
2017-04-21,1026.800049,1027.000000,994.099976,1003.599976,901.101074,96941
2017-04-24,1007.849976,1020.000000,1000.000000,1007.250000,904.378357,62102
2017-04-25,1010.000000,1021.799988,1003.000000,1014.349976,910.753174,166076
