Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,96.849998,96.900002,94.000000,95.900002,93.405388,136712
2016-01-04,95.800003,98.199997,93.000000,94.449997,91.993111,172174
2016-01-05,95.050003,97.699997,94.650002,96.550003,94.038483,91947
2016-01-06,97.599998,97.599998,92.250000,93.900002,91.457405,108817
2016-01-07,92.550003,93.300003,90.000000,91.400002,89.022446,162981
2016-01-08,91.099998,94.500000,91.099998,93.050003,90.629517,51913
2016-01-11,93.000000,95.500000,90.150002,93.500000,91.067810,67247
2016-01-12,93.599998,95.500000,91.150002,92.099998,89.704231,54015
2016-01-13,94.449997,94.849998,89.099998,92.900002,90.483437,121504
2016-01-14,91.050003,92.349998,88.800003,91.599998,89.217232,31443
2016-01-15,91.699997,93.900002,88.699997,90.349998,87.999748,40610
2016-01-18,91.949997,92.500000,85.150002,86.599998,84.347305,77264
2016-01-19,85.800003,90.000000,85.800003,88.050003,85.759583,36562
2016-01-20,83.800003,89.000000,83.800003,87.199997,84.931694,33543
2016-01-21,87.349998,89.949997,87.050003,89.150002,86.830963,23179
2016-01-22,89.900002,91.800003,89.000000,90.800003,88.438049,27285
2016-01-25,91.650002,93.750000,90.800003,92.500000,90.093826,42035
2016-01-27,92.800003,93.449997,91.349998,92.800003,90.386024,16296
2016-01-28,92.849998,93.599998,91.000000,92.849998,90.434731,24885
2016-01-29,94.000000,94.000000,90.099998,92.300003,89.899017,32543
2016-02-01,91.550003,95.650002,91.550003,94.150002,91.700912,30226
2016-02-02,95.400002,95.849998,93.099998,94.900002,92.431404,47389
2016-02-03,93.599998,96.699997,92.000000,94.599998,92.139206,51747
2016-02-04,94.250000,95.599998,92.199997,94.949997,92.480095,30167
2016-02-05,93.150002,95.000000,91.800003,93.800003,91.360016,83995
2016-02-08,94.250000,95.000000,92.500000,94.349998,91.895699,30219
2016-02-09,94.000000,97.400002,91.099998,96.199997,93.697571,200574
2016-02-10,96.000000,96.000000,92.400002,93.800003,91.360016,64717
2016-02-11,95.000000,95.000000,87.250000,89.550003,87.220566,56149
2016-02-12,92.900002,92.900002,88.000000,91.349998,88.973740,27090
2016-02-15,91.500000,93.000000,90.199997,92.300003,89.899017,23395
2016-02-16,93.900002,93.900002,90.199997,92.300003,89.899017,24038
