Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,68.000000,69.199997,67.050003,68.949997,59.538013,542860
2016-01-04,68.000000,68.900002,65.250000,66.199997,57.163399,391990
2016-01-05,66.000000,67.699997,66.000000,66.599998,57.508804,219863
2016-01-06,66.900002,70.800003,66.099998,68.699997,59.322136,1704398
2016-01-07,68.000000,68.000000,66.199997,67.050003,57.897373,987449
2016-01-08,66.300003,68.449997,66.300003,66.800003,57.681503,475371
2016-01-11,66.599998,68.400002,64.900002,67.949997,58.674515,385590
2016-01-12,68.000000,69.349998,67.300003,68.150002,58.847221,604577
2016-01-13,69.000000,69.000000,63.099998,66.900002,57.767853,840990
2016-01-14,64.050003,70.900002,64.050003,68.900002,59.494843,1406661
2016-01-15,69.199997,70.449997,65.099998,66.000000,56.990700,598937
2016-01-18,66.300003,68.800003,62.650002,64.050003,55.306889,869816
2016-01-19,64.599998,66.199997,62.450001,64.650002,55.824986,440993
2016-01-20,64.699997,65.000000,61.849998,62.849998,54.270691,417661
2016-01-21,63.950001,66.000000,62.500000,63.099998,54.486561,618266
2016-01-22,64.099998,67.300003,63.500000,66.449997,57.379276,616054
2016-01-25,66.900002,67.900002,64.500000,64.949997,56.084030,308278
2016-01-27,66.000000,66.000000,64.099998,64.400002,55.609108,141846
2016-01-28,64.500000,65.699997,64.349998,64.650002,55.824986,160265
2016-01-29,64.650002,65.699997,64.349998,65.250000,56.343082,176064
2016-02-01,65.300003,66.000000,64.500000,64.800003,55.954514,158328
2016-02-02,65.000000,65.449997,60.299999,61.700001,53.277672,390016
2016-02-03,61.200001,62.250000,58.400002,60.000000,51.809727,324550
2016-02-04,61.900002,61.900002,59.250000,60.400002,52.155128,242930
2016-02-05,60.400002,64.050003,59.599998,62.799999,54.227516,332023
2016-02-08,63.000000,65.500000,62.500000,63.000000,54.400215,470232
2016-02-09,62.400002,64.500000,60.599998,61.450001,53.061798,314703
2016-02-10,61.450001,61.900002,59.000000,59.599998,51.464329,206494
2016-02-11,59.650002,59.849998,55.099998,56.049999,48.398922,242866
2016-02-12,56.000000,57.799999,51.950001,57.000000,49.219242,445179
2016-02-15,61.000000,62.200001,59.400002,60.799999,52.500526,701751
2016-02-16,61.650002,62.500000,58.250000,58.700001,50.687187,249372
2016-02-17,59.000000,61.150002,57.299999,60.099998,51.896076,262720
2016-02-18,60.900002,61.250000,59.299999,59.799999,51.637032,191251
2016-02-19,58.400002,60.299999,58.400002,59.099998,51.032581,346505
2016-02-22,59.849998,60.000000,59.000000,59.549999,51.421154,118555
2016-02-23,59.900002,59.900002,54.000000,54.299999,46.887806,618344
2016-02-24,54.400002,55.799999,54.049999,55.599998,48.010349,413807
2016-02-25,55.799999,56.200001,54.650002,56.000000,48.355743,207486
2016-02-26,56.750000,56.900002,54.450001,55.000000,47.492252,174775
2016-02-29,55.200001,58.400002,54.049999,57.599998,49.737339,370352
2016-03-01,57.150002,60.400002,57.150002,59.849998,51.680202,366552
2016-03-02,61.000000,61.000000,56.250000,57.250000,49.435116,405014
2016-03-03,57.299999,60.750000,56.799999,60.299999,52.068779,587907
2016-03-04,62.700001,63.500000,60.099998,60.700001,52.414173,1084677
2016-03-08,61.200001,62.099998,59.599998,59.950001,51.766556,538316
2016-03-09,59.799999,59.799999,57.900002,58.500000,50.514488,281706
2016-03-10,60.000000,60.099998,58.299999,58.549999,50.557659,469901
2016-03-11,58.150002,59.750000,57.500000,57.750000,49.866863,474457
2016-03-14,58.200001,58.650002,57.500000,57.799999,49.910042,200013
2016-03-15,57.950001,58.099998,56.450001,56.700001,48.960197,267236
2016-03-16,56.900002,57.250000,55.000000,55.450001,47.880825,459627
2016-03-17,56.049999,58.299999,56.049999,57.900002,49.996387,692484
2016-03-18,58.500000,58.799999,56.299999,57.150002,49.348770,1286661
2016-03-21,56.599998,58.099998,56.599998,57.150002,49.348770,473873
2016-03-22,57.599998,60.099998,57.150002,59.400002,51.291634,566243
2016-03-23,59.500000,64.650002,58.950001,63.849998,55.134190,2916291
2016-03-28,64.000000,64.000000,60.700001,61.849998,53.407196,644598
2016-03-29,62.099998,64.949997,59.849998,64.599998,55.781807,746736
2016-03-30,65.199997,68.300003,64.900002,67.800003,58.544998,1480513
2016-03-31,68.250000,68.400002,66.349998,67.400002,58.199593,431009
2016-04-01,66.800003,69.599998,66.400002,69.199997,59.753887,696460
2016-04-04,69.500000,69.699997,67.099998,68.000000,58.717693,269071
2016-04-05,67.900002,68.500000,65.699997,66.400002,57.336102,179346
2016-04-06,66.500000,70.000000,66.050003,69.000000,59.581188,731183
2016-04-07,69.449997,71.599998,68.050003,70.000000,60.444679,694044
2016-04-08,70.000000,72.300003,69.699997,71.650002,61.869453,1153849
2016-04-11,72.000000,73.050003,67.449997,68.099998,58.804043,863165
2016-04-12,69.000000,69.199997,63.299999,64.949997,56.084030,1859306
2016-04-13,66.599998,67.400002,65.500000,67.099998,57.940548,1008262
2016-04-18,67.300003,68.099998,66.300003,67.050003,57.897373,861640
2016-04-20,66.800003,67.849998,65.599998,66.099998,57.077049,360388
2016-04-21,66.699997,71.550003,66.000000,70.250000,60.660564,2596675
2016-04-22,69.300003,70.500000,68.500000,68.750000,59.365314,337437
2016-04-25,69.349998,71.000000,69.150002,70.199997,60.617378,935613
2016-04-26,70.099998,70.900002,68.550003,69.099998,59.667534,278908
2016-04-27,69.050003,70.750000,67.550003,70.199997,60.617378,766092
2016-04-28,70.400002,70.800003,68.500000,68.900002,59.494843,264522
2016-04-29,68.099998,69.300003,67.150002,67.599998,58.372299,219415
2016-05-02,67.500000,69.849998,67.500000,69.400002,59.926586,340542
2016-05-03,69.400002,70.349998,68.250000,68.449997,59.106262,163053
2016-05-04,67.250000,71.000000,67.250000,69.550003,60.056114,697662
2016-05-05,69.599998,71.099998,67.199997,67.449997,58.242771,603716
2016-05-06,67.400002,68.150002,66.150002,67.550003,58.329124,149417
2016-05-09,69.900002,70.250000,67.750000,68.050003,58.760868,303901
2016-05-10,68.400002,69.599998,67.849998,68.849998,59.451660,375840
2016-05-11,69.000000,73.500000,69.000000,71.949997,62.128490,3759018
2016-05-12,72.599998,73.599998,67.699997,69.400002,59.926586,7442094
2016-05-13,69.000000,71.300003,68.099998,69.349998,59.883408,2148699
2016-05-16,68.699997,69.750000,67.699997,68.099998,58.804043,887674
2016-05-17,68.099998,69.300003,67.750000,67.849998,58.588169,547741
2016-05-18,67.750000,68.250000,66.900002,67.250000,58.070076,484175
2016-05-19,66.900002,67.699997,65.500000,65.800003,56.818008,528348
2016-05-20,66.000000,66.300003,64.400002,64.699997,55.868156,333339
2016-05-23,65.699997,67.000000,64.900002,65.400002,56.472603,756349
2016-05-24,65.250000,65.949997,64.099998,64.750000,55.911331,396883
2016-05-25,65.250000,65.900002,64.550003,64.800003,55.954514,290814
2016-05-26,65.199997,67.599998,64.199997,67.000000,57.854198,426607
2016-05-27,67.199997,69.199997,66.650002,67.550003,58.329124,987095
2016-05-30,67.699997,67.849998,66.550003,66.849998,57.724670,245898
2016-05-31,66.849998,68.250000,66.500000,67.849998,58.588169,378643
2016-06-01,69.099998,69.099998,67.699997,68.050003,58.760868,1917175
2016-06-02,67.500000,68.000000,66.849998,67.150002,57.983727,260879
2016-06-03,67.300003,68.000000,66.800003,67.199997,58.026890,349866
2016-06-06,67.400002,68.000000,67.000000,67.650002,58.415470,273537
2016-06-07,68.000000,68.800003,67.199997,68.000000,58.717693,313849
2016-06-08,67.699997,68.400002,67.400002,67.550003,58.329124,210004
2016-06-09,68.000000,68.300003,67.050003,67.300003,58.113247,539809
2016-06-10,67.500000,67.800003,66.750000,67.250000,58.070076,291106
2016-06-13,67.250000,67.250000,66.400002,66.599998,57.508804,207978
2016-06-14,66.599998,67.250000,65.599998,65.800003,56.818008,338788
2016-06-15,66.050003,67.099998,65.550003,65.949997,56.947525,558192
2016-06-16,65.949997,66.400002,65.400002,65.750000,56.774830,172771
2016-06-17,66.099998,66.500000,64.599998,64.750000,55.911331,399606
2016-06-20,64.449997,65.699997,64.300003,64.800003,55.954514,411210
2016-06-21,65.000000,66.900002,65.000000,65.750000,56.774830,519145
2016-06-22,65.800003,66.349998,65.300003,65.599998,56.645306,199650
2016-06-23,65.599998,66.449997,65.349998,66.000000,56.990700,279690
2016-06-24,64.849998,64.849998,63.000000,64.199997,55.436409,384446
2016-06-27,64.599998,66.449997,64.500000,65.699997,56.731651,410426
2016-06-28,66.000000,66.500000,65.400002,65.599998,56.645306,153359
2016-06-29,66.000000,66.449997,65.650002,66.099998,57.077049,402819
2016-06-30,66.000000,68.400002,66.000000,68.000000,58.717693,897550
2016-07-01,68.250000,69.250000,67.550003,67.949997,58.674515,595904
2016-07-04,68.000000,68.699997,67.449997,67.900002,58.631348,304319
2016-07-05,68.099998,70.800003,67.599998,69.449997,59.969761,1195706
2016-07-07,71.000000,71.150002,68.800003,69.550003,60.056114,969181
2016-07-08,69.699997,69.949997,68.050003,68.349998,59.019917,198992
2016-07-11,69.099998,69.250000,67.900002,68.150002,58.847221,310949
2016-07-12,68.550003,70.000000,67.599998,68.099998,58.804043,446388
2016-07-13,68.599998,72.699997,68.599998,71.699997,61.912628,3042755
2016-07-14,71.900002,73.500000,71.699997,72.900002,62.948818,1168978
2016-07-15,73.000000,73.250000,70.150002,70.550003,60.919613,400160
