Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,859.000000,884.000000,850.900024,880.000000,860.775452,37519
2016-01-04,876.000000,876.000000,828.099976,832.849976,814.655273,82037
2016-01-05,830.000000,842.349976,819.000000,821.950012,803.993530,42597
2016-01-06,830.650024,836.049988,802.299988,811.400024,793.674133,94734
2016-01-07,812.000000,830.000000,785.150024,819.250000,801.352478,46038
2016-01-08,819.250000,848.400024,809.849976,844.450012,826.002014,57451
2016-01-11,825.599976,836.349976,818.000000,823.599976,805.607483,36526
2016-01-12,819.950012,827.099976,816.299988,820.000000,802.086121,49565
2016-01-13,821.549988,868.000000,821.549988,836.849976,818.568176,68868
2016-01-14,834.000000,834.000000,800.000000,808.650024,790.984070,81818
2016-01-15,815.250000,836.700012,788.700012,796.200012,778.806274,48552
2016-01-18,791.250000,805.000000,765.000000,800.049988,782.571960,107740
2016-01-19,783.000000,799.349976,783.000000,792.950012,775.627075,40806
2016-01-20,793.900024,805.049988,779.849976,800.549988,783.061035,25401
2016-01-21,800.549988,812.500000,786.599976,803.400024,785.848755,31694
2016-01-22,810.000000,810.000000,784.500000,794.950012,777.583435,130064
2016-01-25,810.000000,810.000000,790.200012,800.000000,782.523071,218956
2016-01-27,808.000000,808.000000,788.349976,802.150024,784.626221,132104
2016-01-28,804.150024,828.000000,756.099976,804.900024,787.315979,480027
2016-01-29,801.150024,804.000000,772.000000,793.950012,776.605225,161902
2016-02-01,803.000000,803.000000,775.000000,789.400024,772.154785,172338
2016-02-02,783.000000,805.500000,760.500000,768.599976,751.809021,13829
2016-02-03,760.299988,772.950012,745.000000,769.250000,752.444885,96986
2016-02-04,795.000000,795.000000,761.000000,782.099976,765.013977,44383
2016-02-05,790.950012,799.900024,777.200012,782.950012,765.845520,82664
2016-02-08,785.000000,792.000000,773.200012,780.700012,763.644592,104305
2016-02-09,768.000000,776.799988,762.900024,768.650024,751.858032,32186
2016-02-10,761.250000,773.950012,756.049988,766.650024,749.901672,51320
2016-02-11,758.500000,764.000000,744.799988,749.700012,733.321899,346942
2016-02-12,745.099976,749.650024,713.700012,723.349976,707.547729,291679
2016-02-15,727.250000,753.000000,727.250000,734.250000,718.209412,34695
2016-02-16,735.000000,764.200012,716.000000,756.250000,739.728760,49426
2016-02-17,752.000000,752.000000,724.500000,729.799988,713.856750,133919
2016-02-18,743.700012,747.349976,727.049988,741.000000,724.811951,87339
2016-02-19,736.000000,736.000000,718.049988,730.549988,714.590210,34265
2016-02-22,722.000000,741.150024,722.000000,738.549988,722.415405,6592
2016-02-23,731.250000,738.400024,722.000000,727.150024,711.264587,307195
2016-02-24,729.849976,737.000000,709.000000,724.900024,709.063721,16559
2016-02-25,716.049988,727.950012,702.000000,710.849976,695.320618,55696
2016-02-26,714.099976,729.900024,695.000000,716.849976,701.189514,171178
2016-02-29,710.000000,725.000000,695.049988,700.099976,684.805420,149638
2016-03-01,703.250000,723.650024,688.099976,711.200012,695.662964,78633
2016-03-02,719.950012,741.000000,718.000000,735.049988,718.991943,412535
2016-03-03,738.750000,749.900024,729.000000,738.299988,722.170959,511901
2016-03-04,741.299988,785.000000,738.000000,770.849976,754.009949,278942
2016-03-08,768.000000,841.599976,760.900024,828.849976,810.742798,246840
2016-03-09,823.000000,823.000000,776.150024,785.250000,768.095215,252570
