Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,780.799988,782.799988,772.450012,778.299988,660.768433,7890
2016-01-04,780.000000,796.000000,760.349976,771.349976,654.867981,6042
2016-01-05,770.150024,775.500000,765.349976,767.900024,651.938965,8339
2016-01-06,774.950012,774.950012,762.099976,764.400024,648.967468,17858
2016-01-07,760.549988,765.000000,745.150024,748.000000,635.044006,13388
2016-01-08,750.000000,760.000000,750.000000,756.299988,642.090698,5152
2016-01-11,750.099976,764.400024,747.099976,760.099976,645.316772,8264
2016-01-12,760.099976,766.849976,757.250000,763.349976,648.076050,8826
2016-01-13,760.599976,767.799988,734.099976,747.450012,634.577087,14903
2016-01-14,740.000000,747.450012,737.549988,741.500000,629.525574,12066
2016-01-15,744.849976,747.799988,723.150024,727.400024,617.554871,13577
2016-01-18,722.299988,723.500000,705.000000,706.700012,599.980774,15366
2016-01-19,707.000000,720.000000,705.349976,715.849976,607.749023,12215
2016-01-20,716.000000,716.000000,700.000000,702.549988,596.457458,13544
2016-01-21,706.000000,709.000000,696.000000,700.150024,594.419922,6798
2016-01-22,700.099976,710.349976,700.099976,707.849976,600.957153,6490
2016-01-25,709.950012,719.000000,709.049988,714.799988,606.857605,4382
2016-01-27,715.000000,735.549988,715.000000,719.849976,611.145020,11952
2016-01-28,724.750000,735.000000,718.000000,729.150024,619.040588,9462
2016-01-29,736.450012,738.200012,721.099976,722.500000,613.394836,8292
2016-02-01,725.000000,726.500000,713.000000,716.650024,608.428284,8021
2016-02-02,720.000000,721.799988,709.000000,711.099976,603.716309,3680
2016-02-03,712.950012,713.700012,702.000000,704.299988,597.943237,3865
2016-02-04,702.500000,729.750000,687.000000,689.549988,585.420593,14202
2016-02-05,695.000000,710.799988,687.049988,701.200012,595.311340,10904
2016-02-08,703.000000,706.250000,685.549988,697.250000,591.957825,14773
2016-02-09,699.000000,699.000000,689.000000,690.299988,586.057373,5212
2016-02-10,695.000000,695.000000,685.000000,685.200012,581.727539,5844
2016-02-11,685.200012,690.000000,665.099976,669.950012,568.780457,13790
2016-02-12,677.000000,677.000000,620.000000,630.599976,535.372681,29524
2016-02-15,634.000000,652.549988,634.000000,649.000000,550.994080,9403
2016-02-16,649.000000,651.500000,632.000000,636.849976,540.678894,6500
2016-02-17,644.500000,645.000000,623.950012,643.150024,546.027588,14300
2016-02-18,643.500000,652.000000,640.150024,650.150024,551.970398,7174
2016-02-19,655.000000,657.000000,643.099976,650.599976,552.352478,5788
2016-02-22,646.200012,657.799988,642.099976,648.150024,550.272461,5844
2016-02-23,651.799988,651.799988,644.400024,646.549988,548.914063,2642
2016-02-24,648.000000,649.000000,642.200012,647.200012,549.465942,2599
2016-02-25,646.799988,649.000000,631.349976,632.599976,537.070679,14055
2016-02-26,638.099976,648.950012,635.000000,642.599976,545.560547,7406
2016-02-29,647.799988,665.849976,645.000000,653.250000,554.602295,31717
2016-03-01,650.099976,671.000000,646.400024,662.500000,562.455505,9109
2016-03-02,665.549988,682.700012,665.549988,669.750000,568.610596,8908
2016-03-03,674.799988,675.000000,665.200012,670.400024,569.162476,3067
2016-03-04,672.799988,676.799988,664.500000,667.700012,566.870239,10549
2016-03-08,670.799988,674.000000,660.099976,663.400024,563.219604,18580
2016-03-09,666.700012,666.700012,653.000000,658.000000,558.635010,9194
2016-03-10,660.599976,662.200012,655.150024,659.250000,559.696289,2988
2016-03-11,664.950012,664.950012,654.099976,657.200012,557.955811,10902
2016-03-14,656.299988,664.250000,645.000000,649.400024,551.333740,13600
2016-03-15,650.000000,651.000000,638.150024,640.200012,543.523010,13621
2016-03-16,643.950012,648.000000,638.000000,644.900024,547.513245,4284
2016-03-17,645.200012,649.799988,640.099976,641.549988,544.669128,5759
2016-03-18,643.200012,650.000000,640.099976,643.849976,546.621765,6608
2016-03-21,644.000000,648.950012,630.000000,633.500000,537.834778,17816
2016-03-22,630.000000,648.000000,630.000000,640.349976,543.650330,7249
2016-03-23,645.900024,649.799988,639.250000,645.049988,547.640625,7906
2016-03-28,649.849976,650.099976,640.000000,640.549988,543.820190,9696
2016-03-29,635.500000,639.549988,625.099976,635.099976,539.193176,13790
2016-03-30,637.000000,648.349976,636.750000,643.500000,546.324646,6307
2016-03-31,640.000000,649.000000,640.000000,641.500000,544.626648,4146
2016-04-01,649.000000,649.950012,640.950012,648.299988,550.399841,2549
2016-04-04,649.000000,653.000000,647.500000,649.900024,551.758240,27866
2016-04-05,653.799988,654.950012,648.500000,649.349976,551.291260,9109
2016-04-06,650.049988,653.700012,645.000000,646.099976,548.531982,7164
2016-04-07,646.000000,650.000000,645.000000,645.900024,548.362244,8541
2016-04-08,655.000000,655.000000,643.500000,645.900024,548.362244,10751
2016-04-11,644.049988,649.500000,640.299988,644.750000,547.385925,5464
2016-04-12,645.549988,650.099976,644.500000,649.299988,551.248779,7709
2016-04-13,653.400024,658.000000,648.000000,649.500000,551.418640,25643
2016-04-18,656.000000,656.000000,648.000000,652.849976,554.262695,31886
2016-04-20,656.000000,687.000000,651.700012,683.150024,579.987122,84518
2016-04-21,691.900024,691.900024,677.000000,680.200012,577.482605,19650
2016-04-22,674.500000,683.200012,670.049988,676.250000,574.129089,7657
2016-04-25,678.000000,678.000000,665.000000,665.799988,565.257080,4821
2016-04-26,667.799988,685.900024,661.549988,673.349976,571.666992,21695
2016-04-27,676.400024,684.000000,670.000000,675.849976,573.789429,9924
2016-04-28,678.549988,680.500000,670.049988,672.349976,570.817993,5855
2016-04-29,675.400024,675.400024,667.099976,668.799988,567.804138,5003
2016-05-02,674.000000,675.799988,665.049988,670.599976,569.332275,8611
2016-05-03,670.000000,674.650024,667.500000,667.700012,566.870239,7827
2016-05-04,667.700012,673.950012,665.500000,669.549988,568.440857,15499
2016-05-05,671.450012,675.000000,668.650024,669.599976,568.483215,9775
2016-05-06,666.000000,672.000000,666.000000,667.900024,567.040039,7536
2016-05-09,670.000000,674.599976,666.000000,670.849976,569.544495,7044
2016-05-10,667.250000,680.000000,667.250000,675.849976,573.789429,15600
2016-05-11,674.500000,674.900024,668.000000,671.849976,570.393494,7862
2016-05-12,674.950012,678.000000,670.099976,673.799988,572.049072,9791
2016-05-13,680.200012,697.000000,675.099976,682.049988,579.053223,67032
2016-05-16,688.000000,769.000000,685.000000,725.099976,615.602173,347108
2016-05-17,726.099976,740.700012,716.099976,721.750000,612.758057,63380
2016-05-18,713.049988,727.000000,709.000000,712.349976,604.777588,58057
2016-05-19,712.049988,719.950012,701.000000,706.549988,599.853394,11356
2016-05-20,700.900024,712.000000,692.099976,705.349976,598.834595,13322
2016-05-23,708.500000,716.000000,698.700012,703.150024,596.966980,9043
2016-05-24,707.750000,719.799988,702.000000,711.799988,604.310669,18572
2016-05-25,713.799988,721.000000,712.000000,713.150024,605.456787,12260
2016-05-26,716.000000,729.950012,715.049988,721.799988,612.800537,24454
2016-05-27,718.250000,725.099976,711.000000,714.750000,606.815125,11289
2016-05-30,717.700012,729.950012,712.000000,726.250000,616.578552,10360
2016-05-31,726.099976,748.500000,726.049988,733.099976,622.394104,35916
2016-06-01,736.950012,737.500000,722.049988,724.299988,614.922974,12046
2016-06-02,726.349976,732.000000,716.650024,720.750000,611.909119,7117
2016-06-03,722.049988,729.150024,718.000000,721.799988,612.800537,8899
2016-06-06,721.750000,729.950012,720.049988,727.599976,617.724670,7336
2016-06-07,725.700012,731.950012,723.500000,729.099976,618.998169,5851
2016-06-08,730.049988,747.000000,729.400024,733.750000,622.945923,11069
2016-06-09,735.000000,741.799988,725.500000,727.299988,617.469971,8972
2016-06-10,727.049988,737.000000,723.099976,725.900024,616.281433,6355
2016-06-13,720.000000,724.000000,705.849976,707.400024,600.575134,13914
2016-06-14,710.099976,710.099976,696.500000,698.450012,592.976685,13049
2016-06-15,700.000000,712.000000,697.049988,700.750000,594.929260,13781
2016-06-16,698.250000,703.900024,692.099976,693.900024,589.113770,12966
2016-06-17,698.000000,699.500000,692.049988,694.650024,589.750549,15810
2016-06-20,694.799988,698.799988,690.000000,696.900024,591.660767,4130
2016-06-21,694.150024,699.500000,691.500000,696.700012,591.490906,4192
2016-06-22,697.950012,709.000000,695.000000,700.000000,594.292603,7691
2016-06-23,699.049988,705.000000,694.000000,702.950012,596.797119,5962
2016-06-24,694.000000,695.000000,686.299988,692.450012,587.882690,10842
2016-06-27,692.049988,705.000000,691.000000,701.849976,595.863159,4331
2016-06-28,699.049988,704.000000,695.099976,696.950012,591.703125,4107
2016-06-29,701.299988,705.900024,698.500000,700.900024,595.056702,10725
2016-06-30,703.950012,707.799988,701.000000,705.500000,598.962036,6481
2016-07-01,707.849976,714.000000,700.099976,710.849976,603.504089,14866
2016-07-04,710.000000,720.700012,710.000000,712.000000,604.480408,9873
2016-07-05,717.500000,717.500000,707.000000,710.950012,603.588989,12292
2016-07-07,713.799988,714.000000,704.900024,707.799988,600.914673,8042
2016-07-08,709.700012,711.750000,703.049988,704.450012,598.070557,3919
2016-07-11,708.799988,716.000000,705.150024,706.950012,600.193115,17201
2016-07-12,708.000000,711.750000,706.000000,708.450012,601.466553,14097
2016-07-13,709.900024,710.000000,697.250000,697.750000,592.382324,14592
2016-07-14,696.000000,707.500000,696.000000,700.849976,595.014221,6691
2016-07-15,701.950012,703.950012,698.000000,699.049988,593.486023,4395
2016-07-18,702.450012,706.750000,701.000000,701.250000,595.353821,7099
2016-07-19,701.799988,702.900024,698.000000,700.000000,594.292603,6383
2016-07-20,698.099976,704.000000,698.049988,699.799988,594.122803,14629
2016-07-21,716.849976,738.000000,716.849976,722.299988,613.225037,42644
2016-07-22,726.000000,733.049988,723.000000,728.599976,618.573608,24028
2016-07-25,732.700012,743.849976,726.000000,728.599976,618.573608,29530
2016-07-26,729.000000,731.000000,708.549988,710.799988,603.461609,28168
2016-07-27,713.950012,714.000000,699.549988,703.000000,596.839539,20238
2016-07-28,705.799988,709.200012,701.000000,703.400024,597.179138,23392
2016-07-29,706.200012,714.799988,702.000000,703.599976,597.348938,14973
2016-08-01,705.450012,711.049988,700.000000,700.549988,594.759521,18996
2016-08-02,705.950012,706.049988,700.000000,702.450012,596.372620,10406
2016-08-03,705.299988,705.299988,698.000000,700.750000,594.929260,11289
2016-08-04,703.500000,703.549988,696.299988,699.099976,593.528442,7844
2016-08-05,701.849976,706.799988,696.799988,701.400024,595.481140,8213
2016-08-08,704.900024,718.200012,704.900024,716.450012,608.258484,9615
2016-08-09,719.000000,721.700012,706.599976,709.349976,602.230591,8183
2016-08-10,712.000000,713.700012,700.049988,701.900024,595.905701,7750
2016-08-11,707.349976,707.349976,699.099976,700.799988,594.971741,6346
2016-08-12,703.599976,709.000000,700.099976,705.750000,599.174255,5610
2016-08-16,705.000000,711.250000,702.900024,704.349976,597.985657,7293
2016-08-17,706.799988,714.500000,705.000000,710.450012,603.164551,16112
2016-08-18,707.599976,725.500000,707.599976,721.299988,612.376038,22086
2016-08-19,718.500000,744.150024,718.500000,734.450012,623.540283,46786
2016-08-22,737.000000,748.000000,731.200012,735.299988,624.261902,17434
2016-08-23,740.049988,754.799988,736.000000,741.500000,629.525574,28127
2016-08-24,744.299988,747.900024,733.200012,735.650024,624.559082,12603
2016-08-25,738.549988,741.349976,730.500000,734.450012,623.540283,16102
2016-08-26,737.150024,737.200012,725.099976,728.500000,618.488770,3598
2016-08-29,731.400024,734.000000,718.299988,722.349976,613.267456,9862
2016-08-30,716.400024,727.900024,713.000000,719.849976,611.145020,7408
2016-08-31,721.599976,725.000000,715.000000,724.250000,614.880554,6322
2016-09-01,725.500000,725.500000,713.299988,715.150024,607.154785,10229
2016-09-02,718.049988,720.000000,709.599976,714.150024,606.305786,6452
2016-09-06,726.299988,745.599976,726.299988,731.150024,620.738586,17201
2016-09-07,734.950012,740.000000,731.549988,735.250000,624.219421,18905
2016-09-08,738.700012,739.549988,728.000000,731.950012,621.417786,7062
2016-09-09,732.799988,740.000000,726.000000,736.099976,624.941101,42864
2016-09-12,734.750000,735.000000,725.000000,726.599976,616.875610,20473
2016-09-14,729.950012,732.299988,725.000000,728.500000,618.488770,5127
2016-09-15,729.950012,733.299988,726.000000,727.650024,617.767151,6139
2016-09-16,730.500000,733.500000,725.099976,728.750000,618.700989,10138
2016-09-19,731.599976,731.599976,720.150024,723.150024,613.946655,8175
2016-09-20,724.799988,733.000000,722.950012,725.950012,616.323853,8114
2016-09-21,728.000000,733.000000,723.950012,726.150024,616.493652,6108
2016-09-22,729.049988,730.000000,723.400024,727.750000,617.851990,20686
2016-09-23,728.799988,728.799988,718.299988,719.250000,610.635681,7118
2016-09-26,722.000000,724.799988,716.000000,717.200012,608.895203,10355
