Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,552.900024,559.950012,552.250000,555.500000,537.176025,104742
2016-01-04,555.450012,564.000000,550.200012,557.599976,539.206665,735318
2016-01-05,559.299988,571.000000,554.250000,567.599976,548.876831,355348
2016-01-06,568.500000,570.799988,561.500000,562.900024,544.331848,406843
2016-01-07,562.000000,562.400024,554.000000,556.700012,538.336365,293971
2016-01-08,562.000000,564.000000,554.650024,557.150024,538.771545,189052
2016-01-11,556.900024,561.950012,549.500000,551.849976,533.646362,144125
2016-01-12,551.250000,556.849976,541.549988,546.049988,528.037659,970716
2016-01-13,549.000000,551.900024,536.650024,549.450012,531.325500,265835
2016-01-14,548.900024,559.000000,541.450012,556.950012,538.578125,1166449
2016-01-15,558.000000,561.900024,553.000000,555.950012,537.611023,574215
2016-01-18,552.000000,554.750000,535.049988,539.450012,521.655396,539567
2016-01-19,543.900024,544.150024,531.599976,539.750000,521.945374,354872
2016-01-20,535.099976,537.950012,528.500000,534.750000,517.110352,653418
2016-01-21,540.000000,543.200012,529.250000,530.250000,512.758850,483747
2016-01-22,536.000000,545.000000,534.000000,540.200012,522.380676,317478
2016-01-25,548.000000,548.000000,538.400024,544.049988,526.103638,247305
2016-01-27,548.849976,565.450012,545.099976,563.549988,544.960388,776367
2016-01-28,569.000000,575.900024,554.099976,556.799988,538.433105,383603
2016-01-29,561.900024,571.799988,556.049988,566.250000,547.571411,205511
2016-02-01,580.000000,580.000000,566.849976,569.750000,550.955811,391725
2016-02-02,569.900024,585.849976,568.150024,570.250000,551.439331,671437
2016-02-03,569.400024,574.799988,558.000000,567.000000,548.296631,200595
2016-02-04,574.900024,586.500000,568.000000,582.450012,563.236938,368771
2016-02-05,585.500000,598.000000,585.000000,596.950012,577.258667,449355
2016-02-08,598.700012,613.000000,596.700012,601.000000,581.175049,605569
2016-02-09,595.000000,599.750000,573.549988,576.400024,557.386536,532768
2016-02-10,579.000000,595.900024,571.000000,588.250000,568.845581,672319
2016-02-11,589.900024,594.000000,574.799988,580.000000,560.867737,565676
2016-02-12,582.900024,591.000000,568.200012,582.750000,563.526978,462041
2016-02-15,589.000000,599.799988,586.099976,589.549988,570.102783,557280
2016-02-16,585.500000,595.000000,576.349976,579.500000,560.384277,397790
2016-02-17,587.000000,603.000000,580.650024,600.500000,580.691528,820916
2016-02-18,609.000000,624.900024,607.900024,621.049988,600.563599,1088265
2016-02-19,619.950012,631.000000,618.200012,626.250000,605.592102,589737
2016-02-22,626.000000,648.000000,626.000000,635.849976,614.875488,870344
2016-02-23,637.000000,638.549988,609.000000,612.200012,592.005615,771830
2016-02-24,611.599976,615.400024,603.200012,605.549988,585.574951,1207094
2016-02-25,609.000000,609.000000,589.049988,600.200012,580.401367,597649
2016-02-26,619.000000,619.000000,579.000000,582.000000,562.801758,546098
