Date,Open,High,Low,Close,Adj Close,Volume
2020-03-30,680.000000,714.000000,680.000000,714.000000,712.334473,29010
2020-03-31,749.700012,749.700012,749.700012,749.700012,747.951172,15930
2020-04-01,787.150024,787.150024,787.150024,787.150024,785.313843,25057
2020-04-03,798.799988,817.000000,781.099976,790.000000,788.157166,141804
2020-04-07,795.099976,818.000000,781.099976,790.650024,788.805725,39744
2020-04-08,802.000000,808.000000,788.000000,790.000000,788.157166,9633
2020-04-09,807.000000,807.000000,790.049988,800.000000,798.133850,14654
2020-04-13,800.000000,805.000000,790.049988,799.599976,797.734741,25051
2020-04-15,800.000000,804.900024,791.099976,793.099976,791.249939,29165
2020-04-16,791.500000,798.900024,786.000000,788.000000,786.161865,76614
2020-04-17,788.000000,800.000000,787.250000,792.000000,790.152527,214812
2020-04-20,793.000000,807.900024,790.000000,793.099976,791.249939,30483
2020-04-21,803.950012,803.950012,786.049988,788.049988,786.211731,74484
2020-04-22,784.099976,800.000000,784.099976,793.349976,791.499329,21366
2020-04-23,792.049988,803.900024,792.049988,800.049988,798.183716,18607
2020-04-24,796.849976,803.900024,796.099976,802.849976,800.977173,6562
2020-04-27,803.900024,808.900024,799.049988,802.049988,800.179016,5578
2020-04-28,806.799988,807.000000,801.099976,805.650024,803.770691,10418
2020-04-29,803.000000,811.900024,800.099976,809.099976,807.212585,6160
2020-04-30,813.950012,815.099976,800.000000,801.450012,799.580505,36263
2020-05-04,805.900024,808.000000,790.000000,790.950012,789.104980,255704
2020-05-05,790.950012,798.000000,790.950012,794.700012,792.846252,33019
2020-05-06,789.049988,798.900024,789.049988,795.500000,793.644348,21000
2020-05-07,792.349976,799.000000,790.250000,795.150024,793.295166,202236
2020-05-08,794.950012,806.000000,793.599976,798.150024,796.288147,16353
2020-05-11,800.049988,806.849976,800.000000,803.750000,801.875061,6922
2020-05-12,806.000000,809.000000,801.549988,806.049988,804.169739,22239
2020-05-13,810.000000,812.950012,804.299988,811.150024,809.257874,24663
2020-05-14,808.000000,833.349976,805.650024,817.099976,815.193909,8982
2020-05-15,818.250000,828.849976,811.500000,818.400024,816.490906,35587
2020-05-18,832.950012,832.950012,815.500000,819.950012,818.037292,9141
2020-05-19,829.950012,829.950012,805.500000,818.799988,816.890015,7918
2020-05-20,818.950012,820.049988,814.250000,817.099976,815.193909,4878
2020-05-21,818.049988,820.000000,811.750000,812.650024,810.754333,3045
2020-05-22,812.000000,816.000000,810.049988,813.849976,811.951538,15265
2020-05-26,816.799988,822.000000,811.099976,816.200012,814.296082,2436
2020-05-27,816.250000,826.000000,813.549988,825.000000,823.075500,14221
2020-05-28,815.099976,829.000000,809.250000,824.950012,823.025635,35006
2020-05-29,815.099976,824.650024,815.099976,817.250000,815.343567,91717
2020-06-01,817.200012,857.650024,817.200012,824.000000,822.077820,29646
2020-06-02,834.900024,839.049988,828.000000,831.000000,829.061523,72463
2020-06-03,831.500000,839.900024,831.500000,837.200012,835.247070,18590
2020-06-04,840.000000,842.349976,835.150024,836.400024,834.448975,38232
2020-06-05,837.200012,839.900024,835.099976,836.299988,834.349182,38884
2020-06-08,840.000000,840.000000,835.299988,838.000000,836.045227,22385
2020-06-09,837.599976,839.950012,837.500000,839.250000,837.292297,19984
2020-06-10,841.000000,841.000000,836.150024,838.150024,836.194885,22769
2020-06-11,838.250000,844.799988,837.549988,839.549988,837.591553,14655
2020-06-12,836.200012,841.849976,836.099976,838.549988,836.593872,16963
2020-06-15,835.049988,842.599976,835.049988,839.500000,837.541687,17284
2020-06-16,837.549988,848.900024,837.549988,839.349976,837.392029,3520
2020-06-17,840.500000,844.000000,836.500000,837.900024,835.945496,8706
2020-06-18,842.849976,843.000000,836.349976,837.700012,835.745911,16358
2020-06-19,836.200012,844.000000,835.049988,836.500000,834.548706,32676
2020-06-22,841.000000,843.000000,836.500000,838.650024,836.693665,26834
2020-06-23,841.500000,845.950012,838.000000,842.650024,840.684387,17543
2020-06-24,844.849976,847.299988,840.250000,841.900024,839.936157,7196
2020-06-25,841.000000,846.750000,841.000000,841.650024,839.686768,11849
2020-06-26,846.950012,846.950012,838.000000,840.000000,838.040527,43945
2020-06-29,837.299988,844.849976,837.299988,841.000000,839.038208,11869
2020-06-30,842.799988,843.849976,840.049988,840.250000,838.289917,8675
2020-07-01,841.799988,844.599976,838.049988,840.099976,838.140259,8923
2020-07-02,844.900024,844.950012,839.200012,840.200012,838.240051,21181
2020-07-03,843.250000,845.450012,842.000000,842.950012,840.983704,12355
2020-07-06,845.000000,869.900024,843.099976,849.750000,847.767822,40513
2020-07-07,853.000000,855.000000,849.500000,851.500000,849.513733,11206
2020-07-08,847.049988,859.950012,837.049988,841.049988,839.088074,259562
2020-07-09,844.200012,848.500000,840.049988,844.150024,842.180847,116807
2020-07-10,846.450012,849.000000,844.450012,846.599976,844.625122,9472
2020-07-13,854.000000,855.000000,847.250000,850.049988,848.067078,49531
2020-07-14,854.750000,854.750000,846.150024,850.299988,848.316528,18296
2020-07-15,850.000000,858.000000,847.049988,855.049988,853.055359,58827
2020-07-16,857.950012,857.950012,854.000000,855.400024,853.404663,39786
2020-07-17,856.000000,862.750000,845.200012,859.400024,857.395325,103534
2020-07-20,862.450012,864.450012,856.349976,862.150024,860.138916,24981
2020-07-21,861.950012,869.000000,861.299988,868.299988,866.274475,140691
2020-07-22,879.000000,919.000000,862.049988,871.799988,869.766357,623643
2020-07-23,876.500000,887.049988,870.000000,881.299988,879.244202,239358
2020-07-24,875.450012,894.950012,871.250000,889.299988,887.225525,121704
2020-07-27,901.900024,925.000000,860.200012,872.049988,870.015747,584073
2020-07-28,876.950012,889.250000,871.000000,883.599976,881.538818,99262
