Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,91.250000,97.000000,91.250000,95.199997,84.675850,3795086
2016-01-04,94.500000,95.599998,91.150002,92.349998,82.140900,1302745
2016-01-05,93.050003,100.800003,92.400002,98.150002,87.299728,4478018
2016-01-06,99.199997,100.949997,93.000000,97.599998,86.810532,2836533
2016-01-07,95.699997,96.000000,92.099998,92.849998,82.585632,1151619
2016-01-08,93.199997,96.900002,93.199997,95.500000,84.942680,1360253
2016-01-11,94.500000,95.400002,92.699997,94.000000,83.608505,840352
2016-01-12,94.449997,95.199997,90.599998,91.800003,81.651703,895175
2016-01-13,93.400002,94.099998,84.000000,88.599998,78.805458,1318269
2016-01-14,86.000000,93.800003,84.400002,87.150002,77.515755,1997027
2016-01-15,88.000000,90.900002,81.699997,82.949997,73.780052,1098132
2016-01-18,80.349998,83.750000,75.099998,76.449997,67.998619,1436860
2016-01-19,78.000000,80.449997,76.250000,79.199997,70.444611,731752
2016-01-20,77.050003,78.900002,75.250000,78.050003,69.421738,600732
2016-01-21,79.000000,80.800003,77.250000,78.650002,69.955414,507509
2016-01-22,80.650002,85.000000,79.099998,81.000000,72.045616,868194
2016-01-25,82.650002,84.800003,81.500000,82.300003,73.201912,671681
2016-01-27,83.400002,84.400002,81.699997,83.650002,74.402664,748107
2016-01-28,83.050003,87.199997,82.650002,85.750000,76.270523,953455
2016-01-29,85.949997,99.000000,85.949997,97.250000,86.499222,6135938
2016-02-01,98.000000,100.400002,96.150002,97.300003,86.543694,3299222
2016-02-02,96.300003,101.500000,93.050003,95.099998,84.586899,3049962
2016-02-03,93.500000,93.699997,88.449997,89.599998,79.694908,1871130
2016-02-04,91.300003,95.050003,88.400002,90.150002,80.184113,1442263
2016-02-05,90.650002,93.750000,89.699997,92.150002,81.963013,989741
2016-02-08,92.550003,94.000000,90.699997,91.199997,81.118034,861446
2016-02-09,89.099998,91.199997,88.550003,90.150002,80.184113,532143
2016-02-10,89.949997,90.300003,86.500000,87.900002,78.182846,562768
2016-02-11,88.400002,88.400002,80.000000,80.650002,71.734322,799100
2016-02-12,81.449997,81.949997,75.349998,80.849998,71.912201,788055
2016-02-15,83.050003,87.000000,83.050003,84.750000,75.381065,625670
2016-02-16,85.349998,86.199997,80.250000,80.949997,72.001152,394409
2016-02-17,80.800003,82.800003,77.250000,81.550003,72.534828,450997
2016-02-18,83.400002,85.000000,80.250000,80.750000,71.823273,663362
2016-02-19,80.050003,81.650002,78.650002,79.699997,70.889336,616012
2016-02-22,80.000000,81.650002,79.449997,79.750000,70.933800,567807
2016-02-23,80.050003,80.300003,78.599998,78.849998,70.133301,348093
2016-02-24,78.000000,79.199997,77.250000,77.599998,69.021477,353858
2016-02-25,78.000000,78.400002,74.050003,74.949997,66.664429,603592
2016-02-26,75.550003,77.699997,70.199997,73.199997,65.107895,843787
2016-02-29,73.500000,74.949997,71.000000,72.050003,64.085030,589342
2016-03-01,72.900002,78.250000,72.500000,77.599998,69.021477,790848
2016-03-02,78.599998,80.650002,78.500000,79.150002,70.400146,553687
2016-03-03,79.900002,83.300003,79.300003,82.400002,73.290863,902992
2016-03-04,82.599998,84.300003,80.800003,82.099998,73.024025,755899
2016-03-08,82.250000,84.199997,80.449997,81.900002,72.846138,711178
2016-03-09,81.000000,83.250000,80.750000,82.000000,72.935066,473855
2016-03-10,82.800003,83.599998,81.099998,81.599998,72.579300,412490
2016-03-11,82.000000,85.800003,81.699997,84.050003,74.758461,1314155
2016-03-14,84.250000,86.000000,83.150002,83.849998,74.580559,749060
2016-03-15,84.000000,85.349998,81.599998,83.300003,74.091370,581729
2016-03-16,83.599998,85.250000,82.199997,84.349998,75.025291,690186
2016-03-17,84.750000,87.300003,83.349998,83.699997,75.904953,1120767
2016-03-18,84.099998,85.150002,83.050003,83.550003,75.768929,393201
2016-03-21,83.949997,84.699997,82.800003,84.000000,76.177017,362248
2016-03-22,84.550003,88.199997,83.699997,87.099998,78.988304,1258731
2016-03-23,88.000000,88.800003,85.099998,86.250000,78.217468,995203
2016-03-28,86.199997,86.300003,83.150002,83.699997,75.904953,476326
2016-03-29,83.400002,86.900002,82.900002,86.349998,78.308151,664935
2016-03-30,87.699997,90.400002,87.000000,88.699997,80.439293,1101377
2016-03-31,89.000000,91.000000,86.949997,89.199997,80.892731,707085
2016-04-01,90.000000,92.949997,89.300003,91.400002,82.887848,1164788
2016-04-04,92.199997,92.300003,90.000000,90.949997,82.479752,448221
2016-04-05,90.900002,90.900002,87.099998,87.949997,79.759148,433491
2016-04-06,89.400002,89.400002,86.949997,88.000000,79.804497,439479
2016-04-07,88.650002,93.199997,88.199997,90.699997,82.253036,1276742
2016-04-08,90.000000,94.000000,90.000000,92.500000,83.885399,656314
2016-04-11,93.250000,94.800003,92.300003,93.699997,84.973633,642949
2016-04-12,94.150002,95.000000,93.099998,93.550003,84.837616,414986
2016-04-13,94.500000,94.500000,91.349998,91.699997,83.159904,509619
2016-04-18,91.349998,93.900002,91.050003,93.050003,84.384186,489057
2016-04-20,94.000000,96.199997,91.550003,95.099998,86.243256,1052659
2016-04-21,95.500000,96.000000,92.150002,92.949997,84.293488,471995
2016-04-22,93.050003,95.400002,92.199997,94.599998,85.789818,293606
2016-04-25,94.800003,95.250000,92.599998,93.599998,84.882950,235139
2016-04-26,93.599998,96.000000,93.550003,95.750000,86.832726,700996
2016-04-27,96.599998,96.900002,94.599998,95.400002,86.515320,940353
2016-04-28,96.099998,97.699997,95.050003,96.949997,87.920967,825559
2016-04-29,97.000000,98.699997,96.000000,97.349998,88.283707,831851
2016-05-02,97.300003,97.449997,95.500000,97.099998,88.056992,658798
