Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,680.900024,687.700012,675.000000,678.549988,673.045715,156422
2016-01-04,679.500000,687.500000,674.400024,680.849976,675.326965,191869
2016-01-05,682.500000,714.799988,682.500000,705.000000,699.281067,1031019
2016-01-06,707.950012,718.400024,704.150024,706.099976,700.372131,523678
2016-01-07,700.000000,710.000000,685.599976,704.650024,698.934021,342284
2016-01-08,710.000000,733.000000,703.049988,704.599976,698.884338,1073709
2016-01-11,700.000000,719.500000,690.500000,709.650024,703.893372,468967
2016-01-12,711.799988,724.799988,706.349976,710.099976,704.339722,541136
2016-01-13,718.000000,727.500000,708.400024,710.900024,705.133240,896825
2016-01-14,703.400024,716.849976,695.299988,710.950012,705.182861,291269
2016-01-15,717.599976,724.000000,705.000000,710.250000,704.488525,491685
2016-01-18,714.799988,719.599976,682.150024,708.799988,703.050293,227866
2016-01-19,715.000000,723.000000,710.000000,711.000000,705.232483,357549
2016-01-20,705.700012,719.599976,702.750000,712.000000,706.224304,334633
2016-01-21,717.000000,723.799988,710.000000,710.900024,705.133240,379106
2016-01-22,716.950012,740.000000,695.000000,714.549988,708.753662,648494
2016-01-25,722.000000,729.900024,716.000000,719.849976,714.010620,299681
2016-01-27,724.000000,729.000000,719.000000,722.700012,716.837646,361913
2016-01-28,720.950012,727.900024,720.000000,723.150024,717.283875,228267
2016-01-29,724.950012,734.900024,723.500000,724.150024,718.275818,887330
2016-02-01,730.700012,734.849976,725.000000,728.950012,723.036804,262694
2016-02-02,729.950012,734.000000,727.799988,729.200012,723.284790,272551
2016-02-03,726.799988,729.000000,721.200012,725.549988,719.664429,381657
2016-02-04,732.000000,733.900024,724.500000,726.200012,720.309204,175758
2016-02-05,731.000000,731.000000,718.049988,727.099976,721.201843,183030
2016-02-08,726.950012,733.599976,723.299988,726.950012,721.053040,170490
2016-02-09,724.799988,729.000000,711.250000,724.150024,718.275818,122803
2016-02-10,724.700012,731.950012,715.500000,721.700012,715.845642,100393
2016-02-11,724.750000,730.000000,683.250000,697.000000,691.346069,229492
2016-02-12,710.049988,720.000000,681.000000,710.299988,704.538208,278952
2016-02-15,715.000000,725.000000,715.000000,720.400024,714.556213,191530
2016-02-16,720.200012,727.000000,715.000000,719.950012,714.109924,150939
2016-02-17,723.400024,724.950012,714.000000,723.099976,717.234314,127693
2016-02-18,724.900024,744.799988,721.299988,724.849976,718.970093,391898
2016-02-19,724.500000,739.000000,719.049988,723.849976,717.978149,246442
2016-02-22,728.000000,734.900024,712.900024,716.650024,710.836731,258468
2016-02-23,721.250000,722.700012,697.250000,709.849976,704.091736,245484
2016-02-24,714.299988,714.299988,701.000000,704.599976,698.884338,228905
2016-02-25,704.400024,714.900024,704.400024,709.250000,703.496643,270140
2016-02-26,709.450012,718.799988,703.000000,707.099976,701.364014,447383
2016-02-29,706.000000,714.400024,701.000000,707.950012,702.207214,352091
2016-03-01,707.000000,714.000000,701.900024,705.299988,699.578674,325944
2016-03-02,709.000000,719.400024,698.349976,703.750000,698.041260,417566
2016-03-03,703.950012,715.799988,696.299988,698.900024,693.230652,612070
2016-03-04,704.900024,712.849976,696.349976,698.900024,693.230652,455371
2016-03-08,699.000000,703.900024,690.599976,695.450012,689.808655,234454
2016-03-09,694.349976,699.700012,676.400024,682.250000,676.715637,232273
2016-03-10,684.650024,692.000000,681.200012,687.900024,682.319885,186978
2016-03-11,686.099976,688.849976,661.599976,665.799988,660.399048,220914
2016-03-14,670.750000,673.849976,655.000000,659.250000,653.902222,213397
2016-03-15,660.000000,668.000000,645.950012,648.900024,643.636169,341203
2016-03-16,650.500000,653.000000,562.000000,569.650024,565.029114,1776765
2016-03-17,572.099976,600.000000,572.099976,576.500000,571.823547,1107236
2016-03-18,581.000000,638.299988,581.000000,601.900024,597.017395,3189376
2016-03-21,599.000000,620.500000,597.000000,610.099976,605.150879,741067
2016-03-22,609.000000,623.900024,603.500000,611.250000,606.291626,654883
2016-03-23,613.750000,617.450012,600.599976,602.500000,597.612488,316906
2016-03-28,602.549988,610.000000,591.349976,596.400024,591.562073,194988
2016-03-29,595.049988,609.000000,584.950012,590.549988,586.644836,271966
2016-03-30,594.000000,609.700012,593.900024,604.099976,600.105225,291898
2016-03-31,607.000000,629.950012,602.000000,621.099976,616.992798,320864
2016-04-01,621.000000,627.849976,612.150024,621.250000,617.141846,214924
2016-04-04,624.000000,629.900024,620.000000,623.500000,619.377014,169184
2016-04-05,622.200012,643.900024,617.799988,634.500000,630.304199,399153
2016-04-06,639.700012,640.900024,621.049988,624.049988,619.923279,153536
2016-04-07,624.049988,627.799988,598.049988,599.849976,595.883301,225732
2016-04-08,600.000000,602.900024,585.200012,591.599976,587.687866,281457
2016-04-11,592.099976,619.799988,592.099976,605.549988,601.545654,434480
2016-04-12,608.150024,614.099976,590.599976,593.250000,589.326904,321133
2016-04-13,602.200012,605.799988,592.650024,594.849976,590.916382,264192
2016-04-18,599.000000,599.900024,592.799988,595.400024,591.462769,152377
2016-04-20,597.000000,600.900024,586.000000,588.099976,584.211060,270147
2016-04-21,604.000000,604.799988,584.099976,586.849976,582.969177,188997
2016-04-22,586.500000,586.500000,571.500000,572.400024,568.614929,267184
2016-04-25,572.349976,574.500000,548.099976,550.549988,546.909302,290611
2016-04-26,550.900024,574.400024,527.750000,566.150024,562.406250,513508
2016-04-27,569.750000,584.349976,565.299988,573.000000,569.210815,313710
2016-04-28,576.599976,584.000000,571.049988,578.849976,575.022156,310167
2016-04-29,575.000000,597.849976,575.000000,592.049988,588.134888,475459
2016-05-02,585.000000,599.000000,585.000000,592.799988,588.879944,307832
2016-05-03,596.400024,603.849976,593.000000,598.500000,594.542236,240766
2016-05-04,596.000000,596.200012,565.500000,571.400024,567.621460,208983
2016-05-05,575.900024,579.650024,562.500000,568.049988,564.293640,220907
2016-05-06,567.900024,577.000000,563.599976,566.099976,562.356445,138139
2016-05-09,566.599976,575.750000,566.549988,571.150024,567.373108,137579
2016-05-10,571.150024,573.799988,562.700012,565.250000,561.512085,177326
2016-05-11,560.099976,564.950012,548.849976,560.849976,557.141235,170697
2016-05-12,560.849976,589.799988,560.849976,583.200012,579.343506,344617
2016-05-13,586.400024,586.400024,568.250000,573.049988,569.260498,209141
2016-05-16,568.549988,574.900024,556.000000,560.000000,556.296814,203130
2016-05-17,564.000000,574.000000,551.099976,569.299988,565.535339,313059
2016-05-18,566.000000,570.700012,561.200012,563.549988,559.823425,156094
2016-05-19,561.000000,566.950012,556.200012,559.200012,555.502197,138027
2016-05-20,561.599976,564.950012,548.700012,551.849976,548.200745,185350
2016-05-23,554.849976,564.900024,545.000000,557.799988,554.111389,189401
2016-05-24,561.400024,568.900024,548.549988,554.599976,550.932495,347780
2016-05-25,560.900024,562.950012,555.049988,556.799988,553.117981,112953
2016-05-26,556.049988,560.000000,554.000000,555.700012,552.025330,158091
2016-05-27,554.250000,560.950012,550.250000,552.650024,548.995483,232879
2016-05-30,554.750000,566.299988,554.349976,560.150024,556.445862,235319
2016-05-31,562.400024,586.000000,555.500000,573.650024,569.856628,477845
2016-06-01,578.000000,586.250000,561.150024,563.950012,560.220703,251255
2016-06-02,563.599976,564.200012,551.049988,553.250000,549.591431,274829
2016-06-03,558.000000,559.349976,520.000000,523.950012,520.485229,463594
2016-06-06,523.099976,534.799988,485.000000,487.399994,484.176910,948426
2016-06-07,490.000000,503.700012,476.500000,500.600006,497.289642,778932
2016-06-08,501.750000,509.000000,491.100006,494.649994,491.378937,676467
2016-06-09,499.000000,500.000000,489.049988,491.250000,488.001465,360424
2016-06-10,490.049988,495.899994,487.500000,490.200012,486.958405,293334
2016-06-13,487.899994,490.899994,475.000000,476.299988,473.150330,415321
2016-06-14,484.000000,495.200012,471.000000,473.899994,470.766174,364454
2016-06-15,474.549988,478.000000,469.500000,471.899994,468.779419,200183
2016-06-16,472.000000,472.000000,453.049988,459.000000,455.964722,397581
2016-06-17,463.000000,463.000000,448.000000,451.700012,448.713013,406136
2016-06-20,442.700012,489.000000,436.100006,467.149994,464.060822,1317208
2016-06-21,467.899994,478.700012,462.399994,473.750000,470.617218,858030
2016-06-22,469.399994,474.100006,455.649994,458.850006,455.815765,1038624
2016-06-23,458.600006,467.500000,450.000000,455.549988,452.537567,813706
2016-06-24,436.000000,439.950012,421.049988,426.149994,423.331970,545413
