Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,313.799988,319.200012,306.799988,316.200012,294.851624,32201
2016-01-04,318.000000,320.750000,311.000000,316.350006,294.991516,59105
2016-01-05,318.500000,319.450012,311.899994,312.950012,291.821045,16026
2016-01-06,312.000000,319.500000,312.000000,315.549988,294.245453,27392
2016-01-07,309.000000,314.950012,306.399994,309.649994,288.743805,33487
2016-01-08,310.549988,313.450012,305.149994,308.049988,287.251862,33868
2016-01-11,307.899994,317.850006,304.000000,306.100006,285.433502,127175
2016-01-12,304.399994,308.000000,292.700012,298.450012,278.300049,56310
2016-01-13,304.899994,309.750000,298.000000,300.350006,280.071747,114499
2016-01-14,298.049988,302.899994,293.250000,299.200012,278.999390,83649
2016-01-15,302.250000,302.250000,289.149994,291.399994,271.725952,58025
2016-01-18,294.000000,294.500000,285.000000,287.399994,267.996063,37465
2016-01-19,288.000000,292.350006,285.500000,288.500000,269.021790,34213
2016-01-20,285.350006,287.500000,280.000000,285.649994,266.364197,31508
2016-01-21,286.000000,290.000000,282.000000,283.299988,264.172882,26063
2016-01-22,286.000000,289.799988,283.100006,284.750000,265.524963,28363
2016-01-25,288.799988,293.750000,286.799988,290.049988,270.467133,197333
2016-01-27,292.000000,292.750000,287.000000,287.399994,267.996063,65801
2016-01-28,287.049988,290.000000,287.000000,288.000000,268.555511,17241
2016-01-29,285.350006,292.000000,284.000000,289.100006,269.581268,19737
2016-02-01,285.299988,292.049988,285.299988,290.000000,270.420502,236999
2016-02-02,290.000000,300.450012,289.200012,296.250000,276.248566,31589
2016-02-03,294.000000,296.000000,287.000000,288.350006,268.881897,30191
2016-02-04,296.500000,296.500000,287.000000,290.000000,270.420502,33257
2016-02-05,290.000000,290.950012,284.100006,285.149994,265.897949,27335
2016-02-08,276.149994,279.500000,265.000000,268.850006,250.698471,150670
2016-02-09,268.850006,270.950012,265.250000,267.450012,249.392990,113408
2016-02-10,261.500000,265.899994,260.000000,262.850006,245.103561,29578
