Date,Open,High,Low,Close,Adj Close,Volume
2018-06-27,265.000000,265.000000,251.750000,251.750000,245.616989,28655
2018-06-28,239.199997,239.199997,239.199997,239.199997,233.372726,1780
2018-06-29,227.250000,227.250000,227.250000,227.250000,221.713852,101313
2018-07-02,215.899994,215.899994,215.899994,215.899994,210.640335,696
2018-07-03,205.149994,205.149994,205.149994,205.149994,200.152222,834
2018-07-04,194.899994,194.899994,194.899994,194.899994,190.151932,1894
2018-07-05,185.199997,185.199997,185.199997,185.199997,180.688232,1875
2018-07-06,175.949997,175.949997,175.949997,175.949997,171.663589,3198
2018-07-09,167.199997,167.199997,167.199997,167.199997,163.126740,8281
2018-07-10,158.850006,175.550003,158.850006,166.000000,161.955978,574528
2018-07-11,159.399994,162.949997,149.399994,149.399994,145.760376,393685
2018-07-12,141.300003,144.899994,134.500000,136.600006,133.272232,704888
2018-07-13,137.250000,150.250000,137.250000,150.250000,146.589676,570800
2018-07-16,155.000000,165.250000,155.000000,165.250000,161.224258,494446
2018-07-17,169.500000,172.000000,154.100006,169.550003,165.419510,251155
2018-07-18,169.000000,179.699997,166.699997,170.750000,166.590286,161900
2018-07-19,170.000000,176.000000,166.000000,169.699997,165.565842,179532
2018-07-20,170.000000,173.000000,167.000000,167.649994,163.565796,106738
2018-07-23,163.000000,171.750000,160.000000,168.050003,163.956039,37910
2018-07-24,164.100006,170.250000,164.100006,166.149994,162.102341,38636
2018-07-25,164.000000,169.000000,149.550003,159.399994,155.516769,46386
2018-07-26,156.300003,168.699997,156.300003,166.750000,162.687714,60215
2018-07-27,168.000000,172.750000,162.300003,167.250000,163.175537,71244
2018-07-30,165.000000,177.000000,165.000000,174.850006,170.590408,67290
2018-07-31,180.000000,181.399994,175.100006,177.199997,172.883133,51408
2018-08-01,176.250000,194.899994,176.250000,194.899994,190.151932,141201
2018-08-02,206.000000,214.350006,192.000000,199.850006,194.981354,488572
2018-08-03,201.699997,209.800003,189.899994,209.800003,204.688950,361084
2018-08-06,220.250000,220.250000,216.250000,220.250000,214.884369,92267
2018-08-07,231.250000,231.250000,210.100006,217.250000,211.957458,278392
2018-08-08,219.000000,221.550003,211.000000,213.399994,208.201248,62660
2018-08-09,210.100006,224.050003,210.100006,224.050003,218.591812,34210
2018-08-10,235.000000,235.250000,226.949997,235.250000,229.518967,67086
2018-08-13,243.000000,247.000000,239.000000,247.000000,240.982712,113726
2018-08-14,259.350006,259.350006,259.350006,259.350006,253.031830,3473
2018-08-16,272.299988,272.299988,272.299988,272.299988,265.666351,6901
2018-08-17,285.899994,285.899994,285.899994,285.899994,278.935028,2893
2018-08-20,300.149994,300.149994,286.399994,300.149994,292.837860,427703
2018-08-21,310.000000,315.149994,302.000000,315.149994,307.472443,243057
2018-08-23,329.950012,330.899994,299.399994,330.899994,322.838776,462076
2018-08-24,347.399994,347.399994,336.600006,347.399994,338.936798,82847
2018-08-27,364.750000,364.750000,360.200012,364.750000,355.864136,83031
2018-08-28,382.950012,382.950012,370.250000,382.950012,373.620758,87979
2018-08-29,402.049988,402.049988,363.850006,366.399994,357.473938,672044
2018-08-30,362.700012,382.000000,350.250000,370.500000,361.474060,162787
2018-08-31,352.000000,372.899994,352.000000,352.049988,343.473541,229410
2018-09-03,337.549988,352.049988,337.549988,349.850006,341.327118,114834
2018-09-04,349.950012,360.950012,340.149994,346.399994,337.961151,69077
2018-09-05,347.049988,348.299988,329.100006,330.850006,322.790009,94770
2018-09-06,330.200012,337.000000,317.649994,322.000000,314.155579,61032
2018-09-07,312.600006,338.100006,307.100006,338.100006,329.863373,422291
2018-09-10,354.899994,355.000000,321.200012,322.600006,314.740967,260330
2018-09-11,306.500000,315.000000,306.500000,306.500000,299.033203,227416
2018-09-12,300.000000,321.799988,293.700012,321.799988,313.960480,136090
2018-09-14,328.000000,329.500000,306.250000,323.100006,315.228821,89396
2018-09-17,319.000000,322.899994,306.950012,314.100006,306.448059,63214
2018-09-18,314.000000,318.399994,298.399994,299.250000,291.959808,51070
2018-09-19,303.049988,314.200012,284.299988,299.850006,292.545227,582555
2018-09-21,303.399994,309.799988,284.899994,285.350006,278.398438,184047
2018-09-24,290.000000,290.000000,271.100006,271.299988,264.690704,88179
2018-09-25,271.100006,278.000000,257.750000,262.500000,256.105103,78442
2018-09-26,265.250000,275.600006,262.549988,275.600006,268.885986,41892
2018-09-27,280.000000,289.350006,276.000000,287.000000,280.008240,70782
2018-09-28,292.000000,297.950012,272.649994,272.649994,266.007813,105948
2018-10-01,265.049988,277.000000,259.049988,272.049988,265.422424,30459
2018-10-03,271.049988,285.649994,271.049988,285.649994,278.691132,49276
2018-10-04,275.000000,299.299988,275.000000,294.600006,287.423126,64611
2018-10-05,287.049988,294.049988,279.899994,279.950012,273.130005,31846
2018-10-08,278.049988,288.000000,266.000000,268.299988,261.763824,38992
2018-10-09,274.000000,274.049988,255.000000,265.750000,259.275940,23869
2018-10-10,263.600006,279.000000,263.600006,279.000000,272.203125,40030
2018-10-11,265.049988,292.950012,265.049988,292.950012,285.813324,105970
2018-10-12,305.950012,307.549988,302.149994,307.549988,300.057617,23987
2018-10-15,319.000000,322.899994,312.750000,322.799988,314.936066,131336
2018-10-16,338.899994,338.899994,319.000000,322.299988,314.448273,48698
2018-10-17,318.350006,335.000000,306.200012,306.700012,299.228333,45110
2018-10-19,297.100006,307.100006,292.200012,297.950012,290.691498,42811
2018-10-22,308.799988,308.799988,295.000000,296.000000,288.789001,89978
2018-10-23,285.799988,310.799988,285.000000,302.649994,295.276978,29769
2018-10-24,309.950012,314.850006,295.000000,300.549988,293.228119,14459
2018-10-25,308.000000,308.000000,295.000000,297.700012,290.447571,92969
2018-10-26,290.000000,301.500000,290.000000,294.850006,287.667023,22798
2018-10-29,309.549988,309.549988,301.049988,309.549988,302.008850,48665
2018-10-30,310.100006,325.000000,303.000000,312.299988,304.691864,154439
2018-10-31,313.100006,327.899994,305.000000,324.500000,316.594696,156000
2018-11-01,324.450012,324.450012,313.149994,315.399994,307.716400,71334
2018-11-02,318.250000,322.000000,303.000000,304.600006,297.179474,98272
2018-11-05,310.000000,310.000000,298.000000,299.500000,292.203705,15169
2018-11-06,304.899994,307.049988,294.000000,297.049988,289.813416,19974
2018-11-07,303.950012,307.950012,298.100006,302.299988,294.935486,11185
2018-11-09,304.000000,317.399994,296.750000,315.700012,308.009094,150623
2018-11-12,316.000000,319.799988,299.950012,300.799988,293.472046,52197
2018-11-13,300.850006,306.850006,290.000000,302.399994,295.033081,29721
2018-11-14,304.850006,307.000000,299.649994,302.850006,295.472107,9177
2018-11-15,300.049988,305.100006,298.399994,299.600006,292.301300,8051
2018-11-16,302.750000,305.799988,299.000000,301.000000,293.667175,115888
2018-11-19,295.000000,304.850006,295.000000,301.350006,294.008636,7305
2018-11-20,299.000000,301.950012,297.100006,299.350006,292.057404,6214
2018-11-21,295.000000,301.950012,295.000000,298.149994,290.886597,17029
2018-11-22,302.850006,302.899994,292.100006,296.049988,288.837738,34268
2018-11-26,301.850006,302.049988,293.000000,293.399994,286.252350,14437
2018-11-27,292.100006,305.950012,290.899994,298.250000,290.984192,22623
2018-11-28,299.600006,303.000000,297.000000,299.649994,292.350067,8080
2018-11-29,300.250000,302.350006,290.549988,293.600006,286.447449,39957
2018-11-30,293.600006,305.000000,293.299988,299.049988,291.764648,74973
2018-12-03,299.049988,303.600006,297.000000,300.049988,292.740295,23494
2018-12-04,298.950012,301.299988,292.149994,294.700012,287.520691,12241
2018-12-05,292.000000,293.950012,280.000000,281.549988,274.691040,32904
2018-12-06,281.149994,283.649994,270.500000,273.200012,266.544464,13839
2018-12-07,284.350006,284.350006,266.000000,267.350006,260.836945,12050
2018-12-10,276.350006,278.000000,259.200012,265.000000,258.544189,21988
2018-12-11,256.000000,269.049988,256.000000,264.350006,257.910034,46630
2018-12-12,262.299988,269.950012,262.299988,265.049988,258.592987,33347
2018-12-13,270.000000,285.000000,270.000000,281.799988,274.934906,60049
2018-12-14,284.000000,290.000000,271.500000,273.350006,266.690796,71345
2018-12-17,287.750000,300.649994,276.250000,289.649994,282.593658,249232
2018-12-18,287.299988,294.399994,284.000000,285.799988,278.837433,43729
2018-12-19,287.799988,292.399994,285.100006,290.350006,283.276642,32680
2018-12-20,290.200012,297.200012,288.000000,295.600006,288.398743,147608
2018-12-21,293.049988,315.899994,289.500000,304.500000,297.081909,94916
2018-12-24,314.399994,314.399994,295.350006,299.600006,292.301300,28000
2018-12-26,301.799988,308.350006,292.000000,301.250000,293.911133,31385
2018-12-27,304.950012,308.000000,299.250000,301.700012,294.350159,14200
2018-12-28,301.950012,305.250000,300.200012,303.700012,296.301422,25033
2018-12-31,302.950012,313.000000,301.750000,310.200012,302.643066,26368
2019-01-01,310.000000,312.700012,304.000000,309.299988,301.764954,10196
2019-01-02,308.000000,309.500000,304.500000,305.299988,297.862427,6453
2019-01-03,304.000000,312.950012,301.549988,303.600006,296.203857,5923
2019-01-04,303.149994,312.899994,298.100006,307.700012,300.203979,18269
2019-01-07,303.500000,322.950012,303.500000,313.850006,306.204132,46296
2019-01-08,315.000000,318.000000,309.000000,310.950012,303.374786,20803
2019-01-09,310.100006,315.899994,310.000000,310.600006,303.033295,24862
2019-01-10,310.000000,323.000000,309.000000,319.399994,311.618927,44236
2019-01-11,320.950012,321.000000,314.750000,316.500000,308.789581,21336
2019-01-14,317.049988,348.149994,315.000000,343.250000,334.887939,258666
2019-01-15,342.899994,346.100006,334.850006,339.049988,330.790222,132271
2019-01-16,341.600006,341.600006,331.600006,335.399994,327.229156,40163
2019-01-17,334.000000,341.200012,332.549988,338.000000,329.765808,55834
2019-01-18,337.950012,340.000000,332.250000,334.250000,326.107147,33210
2019-01-21,334.250000,340.899994,334.250000,338.049988,329.814575,52606
2019-01-22,338.049988,349.700012,335.200012,345.799988,337.375793,77773
2019-01-23,340.549988,346.950012,340.500000,345.750000,337.326996,23810
2019-01-24,344.950012,379.950012,342.600006,368.000000,359.034973,132469
2019-01-25,368.950012,398.799988,346.000000,353.350006,344.741882,90098
2019-01-28,342.000000,355.000000,335.000000,347.250000,338.790436,66614
2019-01-29,344.000000,379.500000,340.299988,375.250000,366.108337,137705
2019-01-30,372.000000,380.950012,366.549988,370.799988,361.766754,27165
2019-01-31,374.500000,407.850006,360.350006,388.700012,379.230682,814194
2019-02-01,392.000000,396.399994,374.049988,376.100006,366.937653,60837
2019-02-04,380.000000,385.399994,371.149994,378.399994,369.181610,239524
2019-02-05,382.000000,386.750000,359.799988,371.899994,362.839935,51552
2019-02-06,371.899994,374.000000,363.600006,369.000000,360.010620,35849
2019-02-07,369.000000,389.649994,365.000000,375.950012,366.791290,250257
2019-02-08,379.000000,388.399994,374.899994,378.200012,368.986481,35563
2019-02-11,378.100006,381.450012,373.100006,375.100006,365.961975,25457
2019-02-12,373.299988,385.000000,371.000000,378.350006,369.132843,29087
2019-02-14,374.100006,378.450012,374.100006,375.049988,365.913177,12517
2019-02-15,384.000000,384.000000,364.149994,368.549988,359.571533,31965
2019-02-18,367.850006,374.000000,364.500000,369.399994,360.400879,14334
2019-02-19,360.000000,380.000000,360.000000,375.200012,366.059570,14228
2019-02-20,375.200012,377.750000,370.000000,371.549988,362.498474,17588
2019-02-21,372.899994,380.200012,371.000000,374.700012,365.571777,43776
2019-02-22,374.700012,377.000000,370.549988,371.049988,362.010620,139470
2019-02-25,370.399994,378.899994,370.000000,375.500000,366.352234,36825
2019-02-26,375.100006,376.450012,363.049988,370.350006,361.327728,104985
2019-02-27,370.450012,375.700012,366.100006,372.149994,363.083893,46207
2019-02-28,374.250000,376.000000,370.000000,370.049988,361.035004,28891
2019-03-01,375.000000,409.700012,375.000000,386.000000,376.596436,183512
2019-03-05,389.000000,396.750000,382.000000,389.250000,379.767273,55884
2019-03-06,382.500000,399.000000,382.500000,385.950012,376.547668,61552
2019-03-07,385.950012,391.000000,378.200012,380.299988,371.035309,30430
2019-03-08,380.299988,386.000000,375.000000,378.600006,369.376770,348220
2019-03-11,387.000000,405.000000,380.049988,393.100006,383.523499,116662
2019-03-12,395.000000,406.000000,392.049988,393.299988,383.718567,57256
2019-03-13,400.000000,432.000000,394.200012,421.200012,410.938934,133951
2019-03-14,449.899994,461.000000,436.100006,438.149994,427.475983,206960
2019-03-15,441.600006,450.000000,430.549988,436.350006,425.719849,101979
2019-03-18,442.450012,451.899994,436.000000,441.850006,431.085846,46344
2019-03-19,441.700012,459.000000,439.500000,448.100006,437.183624,76973
2019-03-20,451.000000,454.200012,444.200012,446.250000,435.378693,23324
2019-03-22,446.500000,448.049988,441.000000,444.700012,433.866425,18972
2019-03-25,440.100006,445.350006,428.500000,431.500000,420.988007,34267
2019-03-26,436.000000,445.000000,425.250000,431.700012,421.183136,51384
2019-03-27,435.200012,439.899994,412.000000,416.500000,406.353455,82298
2019-03-28,416.049988,429.899994,413.000000,415.899994,405.768036,41194
2019-04-01,422.000000,472.000000,422.000000,448.799988,437.866547,171701
2019-04-02,448.000000,452.000000,387.000000,434.200012,423.622223,70713
2019-04-03,435.000000,442.000000,431.000000,433.000000,422.451477,18943
2019-04-04,426.000000,437.750000,426.000000,433.200012,422.646606,17353
2019-04-05,435.000000,442.000000,423.000000,427.549988,417.134216,432620
2019-04-08,430.000000,444.700012,427.799988,435.649994,425.036896,49374
2019-04-09,440.000000,440.000000,433.000000,435.049988,424.451508,16365
2019-04-10,434.000000,437.200012,425.600006,427.000000,416.597656,23812
2019-04-11,426.450012,432.799988,418.149994,420.450012,410.207214,29510
2019-04-12,421.000000,425.149994,415.000000,416.850006,406.694885,31864
2019-04-15,416.000000,423.100006,412.000000,416.200012,406.060730,18091
2019-04-16,419.750000,419.799988,412.000000,414.450012,404.353363,19362
2019-04-18,416.000000,416.000000,408.549988,411.899994,401.865479,16151
2019-04-22,410.200012,410.200012,396.549988,404.200012,394.353088,29745
2019-04-23,398.200012,406.799988,398.100006,400.049988,390.304169,6579
2019-04-24,406.100006,406.100006,397.000000,400.799988,391.035889,5987
2019-04-25,401.049988,413.000000,400.000000,403.200012,393.377472,14851
2019-04-26,400.000000,407.049988,393.000000,396.000000,386.352814,21233
2019-04-30,392.000000,393.950012,379.000000,383.799988,374.450043,34022
2019-05-02,383.799988,393.750000,378.850006,384.850006,375.474487,13928
2019-05-03,385.950012,386.450012,376.600006,379.250000,370.010895,12481
2019-05-06,376.299988,424.950012,375.000000,421.899994,411.621887,224196
2019-05-07,425.899994,442.000000,425.850006,438.450012,427.768707,306671
2019-05-08,438.000000,453.950012,430.149994,449.799988,438.842163,98385
2019-05-09,452.500000,464.000000,449.500000,460.950012,449.720581,88103
2019-05-10,461.899994,474.350006,427.299988,431.100006,420.597778,200958
2019-05-13,415.000000,428.799988,415.000000,425.600006,415.231750,23914
2019-05-14,423.950012,448.799988,423.799988,441.350006,430.598053,23749
2019-05-15,440.000000,447.549988,440.000000,443.049988,432.256653,17968
2019-05-16,445.850006,460.000000,432.149994,442.100006,431.329773,199445
2019-05-17,440.000000,445.000000,421.000000,425.250000,414.890289,35678
2019-05-20,449.899994,449.899994,429.500000,431.399994,420.890411,52374
2019-05-21,430.000000,435.000000,420.100006,422.500000,412.207275,14117
