Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,208.949997,213.725006,207.574997,208.850006,207.224533,235254
2016-01-04,213.000000,213.000000,202.500000,207.300003,205.686600,448884
2016-01-05,209.000000,218.000000,207.500000,211.000000,209.357788,445716
2016-01-06,212.500000,215.000000,207.625000,209.625000,207.993500,404482
2016-01-07,207.500000,208.000000,202.500000,204.675003,203.082031,415134
2016-01-08,205.875000,212.100006,202.500000,203.024994,201.444855,206744
2016-01-11,202.475006,206.524994,199.000000,203.925003,202.337860,227658
2016-01-12,203.774994,206.000000,200.000000,201.875000,200.303818,130440
2016-01-13,204.949997,204.949997,192.500000,202.524994,200.948746,419392
2016-01-14,198.000000,204.500000,192.000000,197.074997,195.541168,395246
2016-01-15,199.850006,200.975006,189.500000,191.649994,190.158401,120456
2016-01-18,191.750000,195.725006,180.375000,184.800003,183.361710,300452
2016-01-19,182.774994,191.449997,182.774994,187.375000,185.916656,834438
2016-01-20,185.500000,186.074997,177.899994,179.899994,178.499817,217498
2016-01-21,182.850006,193.500000,180.074997,184.375000,182.940002,290852
2016-01-22,192.500000,206.000000,186.000000,197.449997,195.913239,1234800
2016-01-25,201.800003,202.000000,196.000000,198.449997,196.905472,148502
2016-01-27,198.500000,199.500000,191.050003,193.250000,191.745926,127744
2016-01-28,192.375000,202.149994,191.925003,201.524994,199.956528,239598
2016-01-29,203.500000,204.899994,199.500000,201.100006,199.534836,162300
2016-02-01,201.074997,203.000000,197.399994,199.824997,198.269760,160812
2016-02-02,198.699997,205.750000,198.475006,201.000000,199.435608,555820
2016-02-03,198.899994,199.750000,192.375000,193.524994,192.018799,102676
2016-02-04,196.500000,198.800003,186.975006,189.675003,188.198776,89194
2016-02-05,190.449997,202.000000,187.024994,200.000000,198.443405,195258
2016-02-08,200.000000,201.250000,195.850006,196.500000,194.970642,81602
2016-02-09,192.050003,194.500000,189.500000,192.125000,190.629700,111250
2016-02-10,189.250000,193.000000,185.100006,187.324997,185.867050,219664
2016-02-11,187.500000,190.475006,182.750000,187.899994,186.437576,148992
2016-02-12,187.524994,189.000000,183.699997,187.899994,186.437576,106634
2016-02-15,189.449997,193.500000,189.449997,191.024994,189.538239,92084
2016-02-16,191.699997,192.500000,186.925003,187.800003,186.338348,63844
2016-02-17,189.225006,191.500000,184.500000,190.500000,189.017349,65952
2016-02-18,189.500000,192.500000,189.500000,190.750000,189.265411,55608
2016-02-19,189.975006,192.274994,189.975006,191.399994,189.910339,38640
2016-02-22,191.500000,199.975006,191.000000,198.350006,196.806244,107038
2016-02-23,198.274994,198.274994,189.500000,190.800003,189.315018,93244
2016-02-24,189.500000,191.000000,184.774994,185.100006,183.659363,69904
2016-02-25,186.925003,192.750000,185.875000,191.225006,189.736710,177996
2016-02-26,194.500000,202.500000,193.100006,201.574997,200.006149,412978
2016-02-29,202.000000,204.000000,190.550003,197.750000,196.210922,274250
2016-03-01,198.000000,202.500000,195.524994,201.000000,199.435608,105310
2016-03-02,205.000000,207.000000,195.750000,196.300003,194.772217,333852
2016-03-03,199.449997,203.000000,191.475006,196.074997,194.548950,298716
2016-03-04,197.399994,197.425003,191.649994,193.175003,191.671524,260296
2016-03-08,193.949997,198.925003,193.925003,196.399994,194.871414,164040
2016-03-09,196.500000,199.399994,195.024994,197.449997,195.913239,567690
2016-03-10,199.399994,201.199997,197.050003,198.399994,196.855850,223434
2016-03-11,201.449997,202.500000,199.149994,199.949997,198.393784,302834
2016-03-14,200.949997,202.000000,198.250000,200.875000,199.311600,127636
2016-03-15,198.500000,200.199997,197.000000,198.500000,196.955078,106758
2016-03-16,199.000000,199.350006,195.600006,196.949997,195.417145,69180
2016-03-17,198.975006,199.000000,194.399994,195.725006,194.695953,86980
2016-03-18,194.625000,206.000000,191.175003,202.425003,201.360733,1076418
2016-03-21,201.850006,204.324997,197.149994,199.125000,198.078079,73406
2016-03-22,199.125000,201.850006,193.524994,194.375000,193.353043,145106
2016-03-23,195.000000,196.949997,189.175003,191.149994,190.145004,226862
2016-03-28,192.500000,193.975006,188.000000,189.399994,188.404190,161760
2016-03-29,192.000000,192.000000,185.500000,188.425003,187.434341,176790
2016-03-30,190.000000,193.500000,188.524994,192.725006,191.711746,842728
2016-03-31,193.875000,195.000000,189.750000,192.625000,191.612244,244094
2016-04-01,192.350006,195.250000,189.000000,189.725006,188.727509,250274
2016-04-04,191.524994,192.399994,183.250000,184.475006,183.505112,319494
2016-04-05,185.024994,187.375000,174.500000,175.175003,174.253998,733846
2016-04-06,176.475006,181.324997,176.475006,180.774994,179.824554,164196
2016-04-07,181.675003,184.975006,181.250000,183.625000,182.659576,1160766
2016-04-08,183.274994,187.500000,182.199997,183.750000,182.783920,184024
2016-04-11,183.800003,185.574997,179.000000,179.899994,178.954147,222218
2016-04-12,181.725006,182.600006,179.125000,179.500000,178.556274,167704
2016-04-13,181.000000,183.475006,177.449997,178.350006,177.412308,1191042
2016-04-18,179.500000,193.925003,179.050003,190.324997,189.324356,2255576
2016-04-20,191.274994,193.550003,184.350006,187.975006,186.986710,316528
2016-04-21,190.000000,190.300003,183.649994,184.199997,183.231537,175664
2016-04-22,184.475006,189.250000,184.125000,186.425003,185.444855,237408
2016-04-25,188.000000,189.750000,184.574997,185.100006,184.126816,141532
2016-04-26,187.699997,190.000000,186.000000,189.225006,188.230118,351822
2016-04-27,193.524994,196.300003,190.250000,194.274994,193.253571,1366914
2016-04-28,194.949997,199.000000,193.574997,195.524994,194.497009,729710
2016-04-29,196.699997,197.250000,191.600006,194.425003,193.402802,458754
2016-05-02,195.000000,197.000000,192.149994,193.899994,192.880554,1212048
2016-05-03,194.949997,196.350006,190.500000,191.850006,190.841339,197678
2016-05-04,191.850006,192.250000,186.524994,187.250000,186.265503,320198
2016-05-05,187.699997,190.000000,183.750000,184.425003,183.455368,288186
2016-05-06,185.000000,189.399994,184.250000,185.949997,184.972351,95742
2016-05-09,187.975006,188.500000,184.250000,185.774994,184.798264,150518
2016-05-10,187.000000,187.000000,180.824997,181.850006,180.893906,330462
2016-05-11,180.274994,187.425003,180.000000,183.800003,182.833664,959500
2016-05-12,184.399994,191.199997,183.500000,190.100006,189.100540,1299168
2016-05-13,188.100006,196.649994,188.100006,192.475006,191.463058,548670
2016-05-16,193.975006,196.175003,191.774994,195.524994,194.497009,195116
2016-05-17,196.000000,198.000000,194.000000,196.449997,195.417130,189312
2016-05-18,196.000000,199.000000,194.274994,198.524994,197.481216,239498
2016-05-19,198.800003,198.800003,190.750000,193.050003,192.035019,103104
2016-05-20,194.425003,194.750000,190.500000,191.399994,190.393692,74022
2016-05-23,193.125000,194.250000,188.300003,188.850006,187.857101,59166
2016-05-24,191.375000,191.375000,184.000000,185.550003,184.574448,177720
2016-05-25,188.000000,189.000000,183.550003,185.600006,184.624207,137810
2016-05-26,186.250000,188.725006,184.550003,185.800003,184.823135,179712
2016-05-27,187.175003,198.500000,185.600006,192.800003,191.786331,393114
2016-05-30,194.000000,197.500000,193.000000,196.300003,195.267944,223456
2016-05-31,196.500000,197.500000,194.350006,194.925003,193.900162,89622
2016-06-01,195.524994,196.875000,192.600006,193.399994,192.383163,81088
2016-06-02,192.500000,194.949997,191.800003,193.350006,192.333450,44020
2016-06-03,194.725006,194.750000,190.500000,193.850006,192.830826,86636
2016-06-06,193.500000,197.500000,192.000000,192.524994,191.512772,197390
2016-06-07,193.975006,195.000000,191.000000,191.475006,190.468307,70040
2016-06-08,192.000000,193.475006,189.875000,191.600006,190.592651,67362
2016-06-09,193.449997,193.449997,188.000000,189.274994,188.279861,86070
2016-06-10,188.125000,192.600006,188.125000,191.574997,190.567780,101692
2016-06-13,191.750000,192.500000,190.050003,191.774994,190.766724,64054
2016-06-14,192.949997,202.350006,191.524994,198.024994,196.983856,540584
2016-06-15,199.250000,201.399994,196.500000,199.800003,198.749542,266558
2016-06-16,199.199997,199.199997,192.199997,195.975006,194.944641,102844
2016-06-17,196.975006,199.500000,196.550003,198.175003,197.133087,116476
2016-06-20,197.000000,201.750000,195.500000,200.250000,199.197174,140884
2016-06-21,200.824997,207.199997,198.824997,204.475006,203.399948,454720
2016-06-22,204.000000,205.250000,200.024994,202.425003,201.360733,173550
2016-06-23,200.050003,202.000000,199.000000,200.125000,199.072830,61700
2016-06-24,198.449997,204.949997,190.774994,201.899994,200.838470,194104
2016-06-27,197.600006,208.399994,197.600006,203.324997,202.255997,349352
2016-06-28,203.649994,205.399994,200.699997,201.675003,200.614685,160732
2016-06-29,202.449997,206.000000,201.750000,203.949997,202.877716,157310
2016-06-30,203.899994,206.225006,200.000000,201.125000,200.067566,135156
2016-07-01,202.375000,204.250000,200.649994,203.000000,201.932709,100646
2016-07-04,202.250000,219.500000,202.250000,217.774994,216.630035,1331300
2016-07-05,218.524994,229.300003,215.250000,217.225006,216.082932,808408
2016-07-07,218.475006,219.199997,212.050003,212.774994,211.656311,180676
2016-07-08,213.500000,216.000000,208.750000,214.425003,213.297638,169856
2016-07-11,215.500000,219.449997,213.550003,217.000000,215.859100,498922
2016-07-12,215.699997,217.949997,213.199997,214.475006,213.347397,107402
2016-07-13,214.975006,215.600006,211.100006,212.175003,211.059464,78078
2016-07-14,212.500000,213.850006,208.725006,210.300003,209.194336,113150
2016-07-15,211.850006,212.175003,203.824997,204.649994,203.574020,225304
2016-07-18,205.500000,210.975006,205.500000,206.550003,205.464035,130210
2016-07-19,208.449997,208.975006,205.149994,208.100006,207.005890,56770
2016-07-20,209.300003,212.699997,208.649994,210.899994,209.791168,126926
2016-07-21,212.175003,218.500000,212.175003,214.524994,213.397095,364752
2016-07-22,219.500000,219.925003,207.500000,212.225006,211.109222,1248482
2016-07-25,212.975006,217.500000,211.250000,212.425003,211.308151,202184
2016-07-26,213.350006,214.449997,209.000000,209.750000,208.647232,142980
2016-07-27,210.500000,211.375000,201.600006,207.725006,206.632874,132550
2016-07-28,207.975006,210.324997,207.500000,208.425003,207.329178,91348
2016-07-29,209.350006,213.000000,207.800003,208.949997,207.851425,111150
2016-08-01,209.475006,212.000000,207.300003,207.850006,206.757217,106454
2016-08-02,208.699997,209.500000,203.100006,203.824997,202.753357,104580
2016-08-03,204.925003,207.000000,202.625000,204.300003,203.225876,61666
2016-08-04,203.850006,206.899994,203.500000,206.199997,205.115875,107370
2016-08-05,207.574997,211.175003,206.000000,208.800003,207.702209,82936
2016-08-08,211.000000,217.500000,208.250000,208.899994,207.801666,295162
2016-08-09,212.399994,213.449997,208.500000,209.475006,208.373672,54366
2016-08-10,210.850006,211.625000,205.750000,206.725006,205.638123,70696
2016-08-11,207.425003,217.449997,205.500000,210.949997,209.840912,2896912
2016-08-12,210.949997,212.350006,206.125000,206.800003,205.712723,199594
2016-08-16,207.250000,208.375000,205.500000,206.250000,205.165619,81346
