Date,Open,High,Low,Close,Adj Close,Volume
2019-12-12,58.750000,62.799999,53.049999,55.950001,55.950001,251414527
2019-12-13,55.400002,55.400002,51.099998,52.000000,52.000000,40886357
2019-12-16,52.000000,59.650002,51.250000,58.450001,58.450001,75723164
2019-12-17,60.349998,61.099998,57.500000,58.650002,58.650002,59177594
2019-12-18,58.549999,58.900002,56.750000,57.799999,57.799999,16440516
2019-12-19,57.099998,59.400002,56.650002,59.099998,59.099998,16846660
2019-12-20,58.799999,59.700001,57.599998,58.099998,58.099998,9016461
2019-12-23,57.750000,58.599998,56.200001,56.400002,56.400002,6044590
2019-12-24,56.500000,56.950001,55.299999,55.549999,55.549999,5209932
2019-12-26,55.549999,55.900002,53.200001,53.599998,53.599998,6485440
2019-12-27,53.900002,55.400002,53.150002,53.549999,53.549999,8207009
2019-12-30,53.400002,54.700001,53.299999,54.049999,54.049999,5161631
2019-12-31,54.000000,54.799999,53.750000,53.849998,53.849998,2608305
2020-01-01,53.849998,54.200001,52.900002,53.049999,53.049999,3369319
2020-01-02,53.299999,57.250000,52.900002,55.599998,55.599998,10788226
2020-01-03,55.599998,56.200001,54.650002,54.900002,54.900002,3802527
2020-01-06,54.799999,54.799999,53.000000,53.200001,53.200001,2878675
2020-01-07,53.500000,54.299999,53.250000,53.599998,53.599998,2223498
2020-01-08,52.700001,54.400002,52.099998,54.049999,54.049999,2992351
2020-01-09,55.000000,55.000000,52.900002,53.150002,53.150002,5424010
2020-01-10,53.299999,53.750000,51.799999,52.200001,52.200001,4962166
2020-01-13,52.250000,53.000000,52.250000,52.549999,52.549999,2490710
2020-01-14,52.849998,53.500000,52.299999,52.549999,52.549999,2848871
2020-01-15,52.900002,52.900002,51.599998,51.700001,51.700001,4121422
2020-01-16,51.950001,52.950001,51.200001,51.500000,51.500000,3698950
2020-01-17,51.700001,51.900002,50.299999,50.400002,50.400002,4884518
2020-01-20,50.750000,50.799999,48.599998,49.049999,49.049999,4565526
2020-01-21,49.250000,50.599998,48.349998,49.950001,49.950001,4427125
2020-01-22,50.799999,52.900002,49.750000,51.349998,51.349998,7374048
2020-01-23,52.000000,54.200001,52.000000,53.599998,53.599998,14228890
2020-01-24,54.000000,55.299999,53.700001,54.799999,54.799999,6737755
2020-01-27,55.000000,55.950001,54.000000,54.599998,54.599998,4975971
2020-01-28,54.599998,56.250000,54.500000,55.049999,55.049999,5831800
2020-01-29,55.500000,55.750000,54.799999,54.900002,54.900002,2661337
2020-01-30,54.900002,56.000000,53.849998,55.450001,55.450001,3154683
2020-01-31,56.099998,56.400002,55.549999,55.799999,55.799999,3129732
2020-02-03,53.500000,54.250000,53.000000,53.250000,53.250000,1987363
2020-02-04,53.900002,54.500000,53.400002,54.049999,54.049999,2223160
2020-02-05,53.700001,57.799999,53.599998,56.250000,56.250000,6277829
2020-02-06,56.200001,58.200001,55.799999,56.750000,56.750000,4033152
2020-02-07,56.849998,56.900002,55.750000,55.950001,55.950001,1442427
2020-02-10,55.799999,55.950001,54.500000,54.950001,54.950001,1347813
2020-02-11,55.099998,55.950001,54.099998,54.950001,54.950001,2048203
2020-02-12,55.000000,55.299999,54.099998,54.299999,54.299999,1554938
2020-02-13,54.049999,55.150002,53.599998,54.700001,54.700001,1947090
2020-02-14,55.000000,55.500000,54.099998,54.500000,54.500000,1393438
2020-02-17,54.000000,54.450001,53.200001,53.500000,53.500000,1305086
2020-02-18,53.049999,53.500000,52.200001,52.799999,52.799999,1124779
2020-02-19,53.000000,53.900002,52.900002,53.049999,53.049999,2178575
2020-02-20,52.799999,53.599998,52.450001,53.250000,53.250000,1351336
2020-02-24,53.000000,53.200001,51.500000,51.650002,51.650002,1453779
2020-02-25,51.650002,52.150002,50.849998,51.150002,51.150002,1422367
2020-02-26,51.000000,51.250000,49.150002,49.849998,49.849998,2892356
2020-02-27,50.000000,50.000000,48.650002,49.549999,49.549999,1753310
2020-02-28,48.000000,48.799999,47.000000,48.400002,48.400002,2657101
2020-03-02,50.500000,50.900002,48.250000,48.700001,48.700001,2200495
2020-03-03,48.700001,49.700001,48.000000,48.799999,48.799999,1485021
2020-03-04,48.750000,50.000000,46.500000,49.099998,49.099998,2324931
2020-03-05,49.500000,50.200001,48.500000,49.849998,49.849998,1102893
2020-03-06,46.000000,47.000000,39.900002,44.400002,44.400002,3685026
2020-03-09,42.000000,42.849998,40.099998,40.799999,40.799999,2999073
2020-03-11,41.000000,42.750000,40.500000,41.299999,41.299999,1915840
2020-03-12,37.000000,39.700001,37.000000,38.700001,38.700001,3275828
2020-03-13,32.500000,43.000000,31.000000,41.299999,41.299999,4106623
2020-03-16,39.799999,41.849998,38.099998,39.500000,39.500000,2766265
2020-03-17,39.500000,40.500000,36.049999,36.849998,36.849998,2678737
2020-03-18,37.500000,38.450001,31.549999,31.950001,31.950001,4902990
2020-03-19,30.500000,31.299999,28.700001,30.049999,30.049999,2967208
2020-03-20,30.700001,31.200001,29.000000,29.400000,29.400000,3789663
2020-03-23,27.000000,28.650000,25.000000,25.400000,25.400000,2705682
2020-03-24,26.000000,27.400000,23.600000,24.100000,24.100000,1780301
2020-03-25,23.600000,25.000000,23.100000,24.350000,24.350000,1513021
2020-03-26,24.450001,26.750000,24.450001,26.750000,26.750000,2052369
2020-03-27,29.400000,29.400000,27.700001,28.750000,28.750000,3251037
2020-03-30,26.750000,27.650000,25.900000,27.200001,27.200001,904089
2020-03-31,27.299999,28.500000,26.750000,27.299999,27.299999,3597692
2020-04-01,27.299999,28.299999,26.500000,27.450001,27.450001,795708
2020-04-03,27.600000,28.850000,25.100000,27.600000,27.600000,2753391
2020-04-07,29.000000,29.100000,27.600000,28.400000,28.400000,963772
2020-04-08,28.150000,29.450001,27.049999,28.400000,28.400000,953425
2020-04-09,28.799999,29.350000,28.299999,28.900000,28.900000,1370582
2020-04-13,29.500000,29.700001,28.000000,28.549999,28.549999,1084086
2020-04-15,28.000000,28.950001,27.900000,28.049999,28.049999,1122894
2020-04-16,27.950001,28.850000,27.500000,28.600000,28.600000,891463
2020-04-17,29.950001,31.450001,29.200001,30.950001,30.950001,2718954
2020-04-20,33.500000,34.000000,31.000000,33.549999,33.549999,3970218
2020-04-21,32.700001,32.700001,30.200001,30.900000,30.900000,1580430
2020-04-22,30.000000,30.799999,29.250000,29.950001,29.950001,1501763
2020-04-23,30.650000,30.900000,30.000000,30.500000,30.500000,1620668
2020-04-24,30.200001,30.200001,28.850000,29.000000,29.000000,1538374
2020-04-27,29.000000,29.700001,28.000000,28.100000,28.100000,2132504
2020-04-28,28.700001,29.000000,28.000000,28.900000,28.900000,1122272
2020-04-29,29.200001,30.000000,28.799999,29.049999,29.049999,1893489
2020-04-30,29.500000,29.799999,29.049999,29.350000,29.350000,1381536
2020-05-04,28.049999,28.450001,27.150000,27.450001,27.450001,1922369
2020-05-05,27.750000,28.150000,26.350000,26.500000,26.500000,1964439
2020-05-06,26.600000,27.049999,26.000000,26.900000,26.900000,1018167
2020-05-07,26.900000,27.400000,26.400000,26.799999,26.799999,613104
2020-05-08,27.000000,27.799999,26.500000,26.650000,26.650000,611333
2020-05-11,26.950001,26.950001,26.299999,26.549999,26.549999,633304
2020-05-12,26.500000,26.549999,25.900000,26.350000,26.350000,664740
2020-05-13,28.900000,28.900000,27.250000,27.950001,27.950001,1716302
2020-05-14,28.500000,28.600000,27.450001,27.700001,27.700001,1198916
2020-05-15,28.299999,28.299999,26.100000,27.299999,27.299999,529495
2020-05-18,27.299999,27.500000,25.600000,26.150000,26.150000,919240
2020-05-19,26.299999,27.000000,26.200001,26.549999,26.549999,668800
2020-05-20,28.000000,28.250000,27.150000,27.549999,27.549999,2286542
2020-05-21,27.549999,27.799999,26.799999,26.900000,26.900000,693326
2020-05-22,27.049999,27.400000,26.299999,26.650000,26.650000,1210205
2020-05-26,26.950001,26.950001,26.049999,26.250000,26.250000,733913
2020-05-27,26.350000,26.549999,26.100000,26.450001,26.450001,710391
2020-05-28,26.950001,28.000000,26.750000,27.100000,27.100000,1550527
2020-05-29,27.100000,27.100000,26.299999,26.850000,26.850000,761551
2020-06-01,27.500000,27.900000,27.100000,27.500000,27.500000,1170549
2020-06-02,27.950001,28.350000,27.250000,28.150000,28.150000,1422099
2020-06-03,28.450001,29.250000,28.200001,28.500000,28.500000,2086618
2020-06-04,28.400000,28.750000,27.650000,27.900000,27.900000,821757
2020-06-05,28.400000,28.450001,27.850000,28.250000,28.250000,1950463
2020-06-08,29.000000,32.500000,28.799999,30.850000,30.850000,6515073
2020-06-09,31.200001,32.200001,29.600000,30.049999,30.049999,5271533
2020-06-10,29.549999,30.799999,29.549999,30.549999,30.549999,1994738
2020-06-11,30.850000,31.250000,29.900000,30.100000,30.100000,2847126
2020-06-12,27.200001,29.700001,27.000000,29.500000,29.500000,2342588
2020-06-15,29.900000,30.200001,28.799999,29.049999,29.049999,1384274
2020-06-16,29.900000,30.100000,27.900000,28.000000,28.000000,1876771
2020-06-17,28.350000,28.400000,27.500000,28.049999,28.049999,841033
2020-06-18,28.049999,28.650000,28.000000,28.500000,28.500000,863024
2020-06-19,28.799999,29.900000,28.700001,29.450001,29.450001,2256856
2020-06-22,29.900000,30.400000,29.600000,30.049999,30.049999,2393560
2020-06-23,30.350000,30.650000,30.049999,30.400000,30.400000,1452323
2020-06-24,31.000000,31.200001,29.549999,29.799999,29.799999,2543683
2020-06-25,29.200001,30.950001,29.049999,30.200001,30.200001,1471686
2020-06-26,30.700001,30.950001,30.000000,30.500000,30.500000,2184903
2020-06-29,30.400000,30.400000,29.350000,29.700001,29.700001,1045718
2020-06-30,29.900000,30.250000,29.500000,29.850000,29.850000,868511
2020-07-01,29.950001,30.299999,29.549999,30.049999,30.049999,1167143
2020-07-02,30.299999,30.700001,29.850000,30.200001,30.200001,1145253
2020-07-03,30.450001,30.750000,30.200001,30.299999,30.299999,1264574
2020-07-06,30.299999,30.950001,30.250000,30.799999,30.799999,1683149
2020-07-07,31.000000,36.950001,30.549999,36.950001,36.950001,15621741
2020-07-08,38.400002,43.150002,36.500000,39.250000,39.250000,27937203
2020-07-09,40.000000,42.500000,40.000000,40.849998,40.849998,8449414
2020-07-10,40.400002,40.500000,38.750000,39.099998,39.099998,3098552
2020-07-13,39.200001,39.450001,36.150002,36.799999,36.799999,2885414
2020-07-14,36.099998,36.250000,34.500000,34.900002,34.900002,1945195
2020-07-15,35.799999,37.950001,34.900002,35.500000,35.500000,2657219
2020-07-16,36.299999,36.750000,34.900002,36.099998,36.099998,1454002
2020-07-17,36.700001,37.000000,36.000000,36.200001,36.200001,1180675
2020-07-20,36.799999,36.849998,36.000000,36.150002,36.150002,1296450
2020-07-21,36.500000,36.750000,36.000000,36.099998,36.099998,1266663
2020-07-22,35.799999,37.400002,35.000000,35.950001,35.950001,1983224
2020-07-23,36.000000,36.500000,35.750000,35.950001,35.950001,961283
2020-07-24,35.750000,35.900002,35.049999,35.299999,35.299999,975817
2020-07-27,35.500000,35.750000,34.150002,34.200001,34.200001,1575955
2020-07-28,34.900002,34.900002,33.500000,34.599998,34.599998,1334175
2020-07-29,34.599998,35.849998,34.099998,35.049999,35.049999,917580
2020-07-30,35.400002,35.500000,33.700001,34.000000,34.000000,1069135
2020-07-31,34.400002,34.950001,33.299999,34.400002,34.400002,1059521
2020-08-03,33.000000,34.250000,31.000000,32.799999,32.799999,2056170
2020-08-04,32.799999,33.799999,31.799999,33.000000,33.000000,2463973
2020-08-05,33.250000,33.799999,33.000000,33.500000,33.500000,1005381
2020-08-06,33.849998,34.299999,33.150002,33.599998,33.599998,1022906
2020-08-07,33.799999,37.000000,33.750000,36.250000,36.250000,2928664
2020-08-10,35.900002,36.250000,34.549999,35.099998,35.099998,1765772
2020-08-11,35.000000,35.349998,34.500000,35.049999,35.049999,1247523
2020-08-12,34.900002,35.549999,34.500000,35.099998,35.099998,752782
