Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,636.000000,644.000000,614.049988,617.349976,614.104858,26961
2016-01-04,624.000000,630.000000,578.200012,584.500000,581.427551,32305
2016-01-05,585.000000,593.500000,575.000000,579.349976,576.304688,12609
2016-01-06,580.000000,587.849976,560.099976,565.849976,562.875549,20313
2016-01-07,560.000000,560.000000,525.150024,541.849976,539.001709,30704
2016-01-08,541.849976,557.000000,540.000000,548.750000,545.865417,24671
2016-01-11,547.000000,585.000000,525.200012,579.150024,576.105774,20750
2016-01-12,584.799988,619.900024,580.500000,585.099976,582.024414,125300
2016-01-13,593.700012,593.750000,538.000000,551.599976,548.700500,14788
2016-01-14,541.049988,544.500000,529.950012,543.549988,540.692810,8666
2016-01-15,559.650024,559.700012,523.000000,527.500000,524.727234,9751
2016-01-18,524.000000,550.000000,524.000000,537.950012,535.122253,11791
2016-01-19,527.150024,580.000000,527.150024,564.049988,561.084961,21162
2016-01-20,547.299988,564.000000,540.000000,553.750000,550.839233,11660
2016-01-21,563.950012,566.000000,550.000000,563.349976,560.388672,21164
2016-01-22,558.000000,576.000000,542.250000,548.650024,545.766052,3599
2016-01-25,557.900024,557.900024,540.000000,545.450012,542.582825,2960
2016-01-27,546.000000,557.849976,540.099976,552.400024,549.496277,3305
2016-01-28,552.950012,570.000000,541.500000,561.549988,558.598206,2877
2016-01-29,560.599976,610.000000,554.049988,599.150024,596.000549,15660
2016-02-01,607.150024,615.000000,570.099976,572.150024,569.142517,3344
2016-02-02,583.900024,598.799988,563.549988,572.299988,569.291626,5288
2016-02-03,576.000000,576.000000,556.000000,571.150024,568.147766,2677
2016-02-04,576.000000,576.049988,564.200012,569.799988,566.804810,2268
2016-02-05,560.049988,580.000000,560.049988,565.849976,562.875549,1123
2016-02-08,569.950012,588.900024,567.900024,581.349976,578.294128,8239
2016-02-09,560.000000,576.599976,559.950012,573.650024,570.634644,5919
2016-02-10,565.000000,566.000000,539.849976,541.549988,538.703369,10112
2016-02-11,535.000000,543.799988,496.000000,501.000000,498.366486,103795
2016-02-12,500.049988,514.950012,499.000000,501.000000,498.366486,36255
2016-02-15,501.000000,520.000000,488.600006,510.500000,507.816528,4135
