,239
Returns,30.4
Semi Deviation,11.627553482998906
Sortino Ratio,2.306590121405552
ASIANPAINT Weight,0.7409729134311471
BAJFINANCE Weight,5.0553013435125385
BAJAJFINSV Weight,10.330340166919703
BRITANNIA Weight,8.13231211400601
DIVISLAB Weight,0.09474967903496247
GRASIM Weight,0.9121137243178655
HCLTECH Weight,1.0952561585469387
HDFCBANK Weight,2.937687142392255
HINDALCO Weight,0.005610988238774638
HINDUNILVR Weight,0.18807658799489554
ICICIBANK Weight,1.456906826484149
INFY Weight,0.028191674812956074
JSWSTEEL Weight,0.3658134673892496
LT Weight,0.33846709946822473
NESTLEIND Weight,47.64435474748865
POWERGRID Weight,0.12724989755043856
RELIANCE Weight,0.0006095216148627866
TCS Weight,0.01655589476815679
TATACONSUM Weight,0.04647256207270002
TATASTEEL Weight,3.8102748765532524
TECHM Weight,0.1494032298239457
TITAN Weight,15.966947678888346
ULTRACEMCO Weight,0.1199165905116035
WIPRO Weight,0.43641511417836837
