,number,value,datetime_start,datetime_complete,duration,params_iterations,params_swarm_size,state
0,0,2.275199167106036,2022-03-31 21:22:43.251853,2022-03-31 21:23:25.071181,0 days 00:00:41.819328000,377.53423545262837,96.03366309014764,COMPLETE
1,1,2.3371051231497804,2022-03-31 21:23:25.086835,2022-03-31 21:23:49.833611,0 days 00:00:24.746776000,413.3793074617596,54.65998395160342,COMPLETE
2,2,2.1484141127817975,2022-03-31 21:23:49.833611,2022-03-31 21:24:03.778795,0 days 00:00:13.945184000,495.3579117334505,25.257324007267577,COMPLETE
3,3,2.258428657274788,2022-03-31 21:24:03.778795,2022-03-31 21:24:38.251945,0 days 00:00:34.473150000,422.34753208176147,74.37274683386116,COMPLETE
4,4,2.2574564538063098,2022-03-31 21:24:38.251945,2022-03-31 21:24:53.336418,0 days 00:00:15.084473000,258.80063190887927,52.450400506392114,COMPLETE
5,5,2.327299550981781,2022-03-31 21:24:53.352043,2022-03-31 21:24:59.796377,0 days 00:00:06.444334000,280.4399089491316,20.092752604443394,COMPLETE
6,6,2.3124669667310322,2022-03-31 21:24:59.796377,2022-03-31 21:25:41.597029,0 days 00:00:41.800652000,389.84704422621974,97.2417172121707,COMPLETE
7,7,2.349468567787279,2022-03-31 21:25:41.597029,2022-03-31 21:26:12.250875,0 days 00:00:30.653846000,279.4225273612518,99.94731764697178,COMPLETE
8,8,2.3039781901497833,2022-03-31 21:26:12.266504,2022-03-31 21:26:30.091062,0 days 00:00:17.824558000,278.91358337642237,57.217717728141444,COMPLETE
9,9,2.287414723649785,2022-03-31 21:26:30.091062,2022-03-31 21:26:59.756674,0 days 00:00:29.665612000,302.0498801165059,87.75554663955107,COMPLETE
10,10,2.4429042654185205,2022-03-31 21:26:59.756674,2022-03-31 21:27:09.144934,0 days 00:00:09.388260000,110.43458359547589,75.49665938702755,COMPLETE
11,11,2.1305255689618,2022-03-31 21:27:09.144934,2022-03-31 21:27:18.987837,0 days 00:00:09.842903000,115.74514877477327,76.07260804289498,COMPLETE
12,12,2.2696089971622864,2022-03-31 21:27:18.987837,2022-03-31 21:27:31.406724,0 days 00:00:12.418887000,133.17775782396464,80.05290557652597,COMPLETE
13,13,2.2574564538063098,2022-03-31 21:27:31.406724,2022-03-31 21:27:44.650999,0 days 00:00:13.244275000,180.97457778887986,64.89114905011304,COMPLETE
