,Returns,Standard Deviation,Sharpe Ratio
17711,0.25247613518417983,0.1828203713125993,1.1851859485269918
12557,0.24831379050079425,0.17950819959302128,1.183866759193189
12556,0.24794831190974237,0.17948652350320513,1.1819734861929843
12555,0.24762180954052876,0.1794679175185744,1.1802767451101994
12554,0.24733099268565725,0.17945194797157657,1.1787611952764185
12553,0.24707264429970469,0.17943823792037134,1.1774114968374823
12552,0.246843676021585,0.17942646190050213,1.1762126599732856
12551,0.24664116635033737,0.17941634029919878,1.1751503012419817
12550,0.246462384886212,0.17940763376722493,1.1742108207030868
12549,0.24630480541067593,0.17940013792986412,1.173381513747621
