,number,value,datetime_start,datetime_complete,duration,params_ANTS,params_EVA_RATE,params_ITERATIONS,params_Q,state
0,0,1.371676740072205,2022-01-03 20:38:49.311008,2022-01-03 20:39:48.735726,0 days 00:00:59.424718,163,0.10028813382251317,192,0.3827016700815363,COMPLETE
1,1,1.3658691200839204,2022-01-03 20:39:48.735726,2022-01-03 20:40:06.874173,0 days 00:00:18.138447,68,0.5380253865976224,197,0.946690851889523,COMPLETE
2,2,1.3766770380958908,2022-01-03 20:40:06.874173,2022-01-03 20:52:53.001405,0 days 00:12:46.127232,459,0.9363279431495575,442,0.11562959986028772,COMPLETE
3,3,1.3900441577729754,2022-01-03 20:52:53.002402,2022-01-03 21:01:24.082680,0 days 00:08:31.080278,386,0.6217997480205143,413,0.2289486254408128,COMPLETE
4,4,1.3785401369431223,2022-01-03 21:01:24.082680,2022-01-03 21:03:46.183181,0 days 00:02:22.100501,315,0.3357696798797753,159,0.3723598511076821,COMPLETE
5,5,1.370062865302477,2022-01-03 21:03:46.183181,2022-01-03 21:04:12.523251,0 days 00:00:26.340070,207,0.37032371508760376,62,0.8563796027804036,COMPLETE
6,6,1.3872492055243388,2022-01-03 21:04:12.523251,2022-01-03 21:10:44.894804,0 days 00:06:32.371553,292,0.5256680628983347,474,0.2724098208097828,COMPLETE
7,7,1.3566210063542998,2022-01-03 21:10:44.894804,2022-01-03 21:16:15.102650,0 days 00:05:30.207846,323,0.7993965504014947,373,0.8407325348427521,COMPLETE
8,8,1.3320542673857436,2022-01-03 21:16:15.102650,2022-01-03 21:16:31.608371,0 days 00:00:16.505721,121,0.925908527006383,96,0.926760865418605,COMPLETE
9,9,1.3573515188941203,2022-01-03 21:16:31.608371,2022-01-03 21:18:26.152049,0 days 00:01:54.543678,261,0.5649754825747814,168,0.7274039046184873,COMPLETE
