,number,value,datetime_start,datetime_complete,duration,params_ANTS,params_EVA_RATE,params_ITERATIONS,params_Q,state
0,0,1.798522476803339,2022-04-14 19:19:16.633396,2022-04-14 19:22:07.504593,0 days 00:02:50.871197000,299,0.29471796101583647,186,0.6645696416262341,COMPLETE
1,1,1.813952946514777,2022-04-14 19:22:07.505514,2022-04-14 19:35:20.689429,0 days 00:13:13.183915000,426,0.05365271011352024,464,0.43529788080001974,COMPLETE
2,2,1.7730905131005839,2022-04-14 19:35:20.690349,2022-04-14 19:37:45.277321,0 days 00:02:24.586972000,494,0.7982336726978925,65,0.6344566602861886,COMPLETE
3,3,1.8155925801775055,2022-04-14 19:37:45.278225,2022-04-14 19:52:38.196324,0 days 00:14:52.918099000,506,0.16920780180148653,384,0.6608945207807607,COMPLETE
4,4,1.8020042366189464,2022-04-14 19:52:38.197201,2022-04-14 20:01:12.152278,0 days 00:08:33.955077000,519,0.13554696843689706,211,0.35436837404521226,COMPLETE
5,5,1.7632593375006855,2022-04-14 20:01:12.153211,2022-04-14 20:01:49.949695,0 days 00:00:37.796484000,210,0.6691558377423695,75,0.055655743430664484,COMPLETE
6,6,1.796654910701366,2022-04-14 20:01:49.950296,2022-04-14 20:02:11.957223,0 days 00:00:22.006927000,56,0.8799824459327655,308,0.08039914598693643,COMPLETE
7,7,1.8288624632628285,2022-04-14 20:02:11.958098,2022-04-14 20:02:20.088507,0 days 00:00:08.130409000,31,0.5377549022463715,240,0.1426741068494931,COMPLETE
8,8,1.7771555271360875,2022-04-14 20:02:20.089122,2022-04-14 20:16:50.136298,0 days 00:14:30.047176000,499,0.46914187191670953,385,0.6854746932625064,COMPLETE
9,9,1.6771548488282393,2022-04-14 20:16:50.137169,2022-04-14 20:28:41.071266,0 days 00:11:50.934097000,533,0.9364416350223019,279,0.9047823973942521,COMPLETE
10,10,1.7809768327662847,2022-04-14 20:28:41.072149,2022-04-14 20:28:47.652319,0 days 00:00:06.580170000,38,0.46227164155733563,150,0.25020788962419205,COMPLETE
11,11,1.7961645848877124,2022-04-14 20:28:47.652968,2022-04-14 20:31:43.101372,0 days 00:02:55.448404000,165,0.2803914416384197,512,0.9325937820987776,COMPLETE
12,12,1.8003291616256292,2022-04-14 20:31:43.102277,2022-04-14 20:39:31.410181,0 days 00:07:48.307904000,345,0.6240315662186015,401,0.23941042190438822,COMPLETE
13,13,1.8183894419405338,2022-04-14 20:39:31.411087,2022-04-14 20:41:01.301505,0 days 00:01:29.890418000,135,0.3666338504570478,359,0.5226859715003386,COMPLETE
14,14,1.8022881035408187,2022-04-14 20:41:01.302401,2022-04-14 20:42:10.419654,0 days 00:01:09.117253000,123,0.3972634552058826,317,0.5117737271465431,COMPLETE
15,15,1.7714730562000784,2022-04-14 20:42:10.420548,2022-04-14 20:42:10.806127,0 days 00:00:00.385579000,2,0.6329544094352622,235,0.2088422256607858,COMPLETE
