,number,value,datetime_start,datetime_complete,duration,params_iterations,params_swarm_size,state
0,0,2.364444444444444,2022-04-14 16:50:05.841127,2022-04-14 16:50:08.200665,0 days 00:00:02.359538000,131.16631608782552,32.56103793659025,COMPLETE
1,1,2.3220689655172415,2022-04-14 16:50:08.201207,2022-04-14 16:50:14.152426,0 days 00:00:05.951219000,114.51020149193296,94.73333479140149,COMPLETE
2,2,2.1446666666666667,2022-04-14 16:50:14.152976,2022-04-14 16:50:16.594044,0 days 00:00:02.441068000,120.1593664440361,36.03464631100846,COMPLETE
3,3,2.180833333333333,2022-04-14 16:50:16.594589,2022-04-14 16:50:17.785883,0 days 00:00:01.191294000,144.44695049877006,14.14643501320641,COMPLETE
4,4,2.438518518518518,2022-04-14 16:50:17.786430,2022-04-14 16:50:21.476624,0 days 00:00:03.690194000,129.87838522405133,51.411656365054796,COMPLETE
5,5,2.2978571428571426,2022-04-14 16:50:21.477478,2022-04-14 16:50:29.370026,0 days 00:00:07.892548000,159.5635366435299,90.03352253628606,COMPLETE
6,6,2.3220689655172415,2022-04-14 16:50:29.370612,2022-04-14 16:50:32.962279,0 days 00:00:03.591667000,128.633241695199,50.04477670155347,COMPLETE
7,7,2.3436363636363633,2022-04-14 16:50:32.962854,2022-04-14 16:50:37.404245,0 days 00:00:04.441391000,189.41896436496125,42.6346411216177,COMPLETE
8,8,2.1017391304347828,2022-04-14 16:50:37.404805,2022-04-14 16:50:39.996367,0 days 00:00:02.591562000,183.5129845164027,25.28316441811127,COMPLETE
9,9,2.2336,2022-04-14 16:50:39.996950,2022-04-14 16:50:41.879847,0 days 00:00:01.882897000,103.85421846714742,32.07877141361682,COMPLETE
10,10,2.2936,2022-04-14 16:50:41.880396,2022-04-14 16:50:48.194185,0 days 00:00:06.313789000,160.02519815273837,69.3135280754254,COMPLETE
11,11,2.2053846153846153,2022-04-14 16:50:48.194742,2022-04-14 16:50:52.933668,0 days 00:00:04.738926000,137.0149323807891,62.829972501532296,COMPLETE
12,12,2.3157142857142854,2022-04-14 16:50:52.934211,2022-04-14 16:50:59.265556,0 days 00:00:06.331345000,152.2361855345746,74.06038145902096,COMPLETE
13,13,2.4336,2022-04-14 16:50:59.266114,2022-04-14 16:51:03.064021,0 days 00:00:03.797907000,132.55891496985524,51.956739855543134,COMPLETE
14,14,2.28,2022-04-14 16:51:03.064564,2022-04-14 16:51:06.115158,0 days 00:00:03.050594000,101.40790654379217,54.9858184161058,COMPLETE
15,15,2.16695652173913,2022-04-14 16:51:06.115711,2022-04-14 16:51:13.322117,0 days 00:00:07.206406000,174.78834728737147,75.91384067215691,COMPLETE
16,16,2.201176470588235,2022-04-14 16:51:13.322675,2022-04-14 16:51:16.611277,0 days 00:00:03.288602000,120.22223751539396,49.04999367513445,COMPLETE
17,17,2.3683333333333336,2022-04-14 16:51:16.611819,2022-04-14 16:51:21.649672,0 days 00:00:05.037853000,144.49058157445845,63.329146541139984,COMPLETE
18,18,2.5365217391304347,2022-04-14 16:51:21.650509,2022-04-14 16:51:29.382692,0 days 00:00:07.732183000,169.4557877242187,81.67831897901262,COMPLETE
19,19,2.4570370370370367,2022-04-14 16:51:29.383242,2022-04-14 16:51:38.904002,0 days 00:00:09.520760000,198.95123667740285,87.36521899923409,COMPLETE
20,20,2.4746153846153844,2022-04-14 16:51:38.904536,2022-04-14 16:51:47.834448,0 days 00:00:08.929912000,194.70428706560978,83.2251850045168,COMPLETE
21,21,2.1163636363636362,2022-04-14 16:51:47.835010,2022-04-14 16:51:57.027414,0 days 00:00:09.192404000,195.88973186380807,85.30358255975388,COMPLETE
