,MSE,RMSE,MAE,R2,MAPE
ASIANPAINT,0.015606118922459371,0.12492445286035625,0.08997808132242763,-0.19821003354969702,20.306988345016467
BAJFINANCE,0.0035594647162234725,0.05966124970383601,0.04602957005453903,0.7683462692354881,33.77214304584965
BAJAJFINSV,0.001408326872073193,0.03752768141083583,0.027467044899005564,0.7602874414442246,27.38100410920702
BRITANNIA,0.017257886538819177,0.13136927547497237,0.12366083051406661,-0.5895945418067787,19.70483290533656
DIVISLAB,0.13285558448029305,0.36449360005395576,0.34804285948197006,-10.333981543635891,70.68905650750592
GRASIM,0.000672088510953382,0.02592466992949731,0.02230747242304259,0.9132994224176835,60.45411847308695
HCLTECH,0.07357549069484606,0.2712480243151018,0.23444685906680907,-2.906411257548884,61.080526705656894
HDFCBANK,0.006699450342654829,0.08185017008323703,0.07268933640985184,0.6356340171870563,27.209104073854217
HINDALCO,0.000499914862583231,0.022358775963438406,0.017712846865784105,0.9201513551667637,41.337168191352234
HINDUNILVR,0.004432235428328475,0.06657503607455631,0.05851824115246374,-0.6715092099620015,9.299947939680306
ICICIBANK,0.002590314734672106,0.050895134685666234,0.04352724463639426,0.6695216423718968,24.521613069584593
INFY,0.06833992555733191,0.2614190611974037,0.22887930015229915,-3.2835026579552684,61.87093632574553
JSWSTEEL,0.0009756235904979335,0.031234973835396973,0.02501069945409601,0.9092152717886589,54.86975993288099
LT,0.0014777068918980537,0.03844095331671749,0.02887581254786208,0.8294728078204701,35.81868284215018
NESTLEIND,0.027436942790082214,0.16564100576271026,0.15880566430978862,-10.570890080637213,20.648172591970273
POWERGRID,0.0013628917429762404,0.036917363705663495,0.029958872509773596,0.700526272101043,21.887578732462178
RELIANCE,0.028139587660687207,0.1677485846756604,0.15047654923225348,-0.539707117606816,28.822851065648376
TCS,0.01533829562879477,0.12384787292801912,0.09600868482769895,-0.19863254021982812,24.746475224438257
TATACONSUM,0.10963484924847308,0.3311115359640511,0.2657478605362362,-8.265187570592904,55.615491779710325
TATASTEEL,0.0009337572765680524,0.030557442245188852,0.024293766017909103,0.8506891118422403,58.20518951386925
TECHM,0.006354556165318626,0.0797154700501642,0.06701804457068362,0.33131168584535076,45.37229054197895
TITAN,0.00229139386436933,0.04786850597594759,0.03739502789339932,0.6508103529854286,22.211018588930145
ULTRACEMCO,0.0013792664664788801,0.037138476900364134,0.031538381609922984,0.8471515466036672,39.49837744385227
WIPRO,0.02410320772976762,0.15525207802077118,0.12690007549326437,-0.7607179754803357,67.8791585988855
