,number,value,datetime_start,datetime_complete,duration,params_ANTS,params_EVA_RATE,params_ITERATIONS,params_Q,state
0,0,1.2558227747146553,2022-03-28 19:32:48.631352,2022-03-28 19:33:43.996096,0 days 00:00:55.364744000,320,0.7505796379644342,55,0.8260178565170667,COMPLETE
1,1,1.3173899621983591,2022-03-28 19:33:43.996816,2022-03-28 19:33:47.578373,0 days 00:00:03.581557000,45,0.39263349867499897,69,0.3203644253717806,COMPLETE
2,2,1.3064983054675108,2022-03-28 19:33:47.578814,2022-03-28 19:33:48.311090,0 days 00:00:00.732276000,51,0.581231925614723,12,0.3879111054638895,COMPLETE
3,3,1.3503436732240566,2022-03-28 19:33:48.311506,2022-03-28 19:40:49.253303,0 days 00:07:00.941797000,300,0.21303766965103216,469,0.9838219794961618,COMPLETE
4,4,1.2922769648595613,2022-03-28 19:40:49.254089,2022-03-28 19:41:47.443365,0 days 00:00:58.189276000,184,0.3502396785387739,147,0.6707830902807912,COMPLETE
5,5,1.2360739769988187,2022-03-28 19:41:47.444059,2022-03-28 19:56:39.824671,0 days 00:14:52.380612000,476,0.9933256144259109,439,0.3269989502582606,COMPLETE
6,6,1.3168592431989292,2022-03-28 19:56:39.825464,2022-03-28 19:59:54.064803,0 days 00:03:14.239339000,387,0.6239424645668119,139,0.43797325468118853,COMPLETE
7,7,1.2983265408633022,2022-03-28 19:59:54.065564,2022-03-28 20:01:25.684356,0 days 00:01:31.618792000,136,0.9093389260384062,374,0.5019002258103735,COMPLETE
8,8,1.323834941930325,2022-03-28 20:01:25.685138,2022-03-28 20:02:26.818220,0 days 00:01:01.133082000,103,0.4389619898024735,377,0.992496927854424,COMPLETE
9,9,1.3033420921070515,2022-03-28 20:02:26.819009,2022-03-28 20:05:37.742145,0 days 00:03:10.923136000,497,0.4668382435925722,87,0.3151515123537915,COMPLETE
10,10,1.3421982280703801,2022-03-28 20:05:37.742907,2022-03-28 20:08:34.863939,0 days 00:02:57.121032000,261,0.10911303462982369,253,0.6873328243164063,COMPLETE
11,11,1.3127764865389784,2022-03-28 20:08:34.864751,2022-03-28 20:11:39.255465,0 days 00:03:04.390714000,264,0.14987965393077302,258,0.696617270173204,COMPLETE
12,12,1.2986053017927859,2022-03-28 20:11:39.256259,2022-03-28 20:20:40.684390,0 days 00:09:01.428131000,336,0.10821694552993533,499,0.9739443443390299,COMPLETE
13,13,1.3195734129326222,2022-03-28 20:20:40.685201,2022-03-28 20:22:36.682399,0 days 00:01:55.997198000,198,0.24031258459792423,262,0.831889313455837,COMPLETE
14,14,1.3256280604210948,2022-03-28 20:22:36.683198,2022-03-28 20:26:34.826758,0 days 00:03:58.143560000,263,0.258093247033968,336,0.6211636297156642,COMPLETE
15,15,1.3277989230946645,2022-03-28 20:26:34.827568,2022-03-28 20:31:15.635902,0 days 00:04:40.808334000,384,0.25524834158756254,204,0.19398452047470127,COMPLETE
16,16,1.3139416444992646,2022-03-28 20:31:15.636689,2022-03-28 20:33:42.744468,0 days 00:02:27.107779000,206,0.11012297504555248,310,0.8117644965550284,COMPLETE
17,17,1.3309258149949377,2022-03-28 20:33:42.745271,2022-03-28 20:41:04.073216,0 days 00:07:21.327945000,312,0.31239658211546856,462,0.8995680259810886,COMPLETE
18,18,1.302439841869786,2022-03-28 20:41:04.074013,2022-03-28 20:46:12.430279,0 days 00:05:08.356266000,406,0.19221365188715583,203,0.7312681081012717,COMPLETE
19,19,1.3194439397715,2022-03-28 20:46:12.431093,2022-03-28 20:50:53.968361,0 days 00:04:41.537268000,257,0.7570821681545978,414,0.5846494301833806,COMPLETE
20,20,1.325239801732404,2022-03-28 20:50:53.969163,2022-03-28 20:59:30.717482,0 days 00:08:36.748319000,431,0.5191555577488302,306,0.139188559504752,COMPLETE
21,21,1.324408170345622,2022-03-28 20:59:30.718290,2022-03-28 21:07:55.970919,0 days 00:08:25.252629000,325,0.32981701133639024,493,0.913158957157501,COMPLETE
22,22,1.3393426279353082,2022-03-28 21:07:55.971761,2022-03-28 21:14:22.561910,0 days 00:06:26.590149000,297,0.31297131394836414,442,0.9024301394042006,COMPLETE
23,23,1.3206226264895597,2022-03-28 21:14:22.562731,2022-03-28 21:20:03.146976,0 days 00:05:40.584245000,291,0.20610099530461415,402,0.7597959736608657,COMPLETE
24,24,1.3152162263561586,2022-03-28 21:20:03.147801,2022-03-28 21:24:00.556469,0 days 00:03:57.408668000,219,0.15448330894137774,454,0.9306008772240392,COMPLETE
25,25,1.3139833718264489,2022-03-28 21:24:00.557299,2022-03-28 21:30:58.497472,0 days 00:06:57.940173000,358,0.2867480455671023,343,0.8855022585807211,COMPLETE
26,26,1.3367547362766274,2022-03-28 21:30:58.498294,2022-03-28 21:33:02.281157,0 days 00:02:03.782863000,153,0.3804871532612294,422,0.7760892596027957,COMPLETE
27,27,1.309808337964743,2022-03-28 21:33:02.282008,2022-03-28 21:35:12.154574,0 days 00:02:09.872566000,239,0.17933341979697842,215,0.5154268640968226,COMPLETE
28,28,1.3543491037742326,2022-03-28 21:35:12.155385,2022-03-28 21:42:01.430276,0 days 00:06:49.274891000,294,0.10490275786202542,475,0.6542954860723027,COMPLETE
29,29,1.3080062122874514,2022-03-28 21:42:01.431097,2022-03-28 21:44:42.116046,0 days 00:02:40.684949000,351,0.1011115184036516,137,0.6258617348201573,COMPLETE
30,30,1.3215668482351828,2022-03-28 21:44:42.116856,2022-03-28 21:58:17.498314,0 days 00:13:35.381458000,438,0.21320573435280493,469,0.8308513565883641,COMPLETE
31,31,1.3361525298833847,2022-03-28 21:58:17.499133,2022-03-28 22:03:59.263629,0 days 00:05:41.764496000,300,0.16181083194798254,381,0.6754143457424259,COMPLETE
32,32,1.3231115597328782,2022-03-28 22:03:59.264427,2022-03-28 22:10:32.909443,0 days 00:06:33.645016000,287,0.2877322150513921,476,0.8569019557311439,COMPLETE
33,33,1.317907523853873,2022-03-28 22:10:32.910273,2022-03-28 22:14:47.320015,0 days 00:04:14.409742000,237,0.396502694324654,427,0.9695361233182992,COMPLETE
34,34,1.294725413021252,2022-03-28 22:14:47.320833,2022-03-28 22:21:27.483282,0 days 00:06:40.162449000,282,0.7080351776967423,500,0.7822667858930983,COMPLETE
35,35,1.331668028902064,2022-03-28 22:21:27.484067,2022-03-28 22:24:11.749417,0 days 00:02:44.265350000,178,0.10006486341642472,440,0.7375586879308537,COMPLETE
