,number,value,datetime_start,datetime_complete,duration,params_ANTS,params_EVA_RATE,params_ITERATIONS,params_Q,state
0,0,2.0937584245637786,2022-03-28 22:56:02.690466,2022-03-28 23:06:51.668590,0 days 00:10:48.978124000,359,0.0008513831069331124,525,0.04026913399486942,COMPLETE
1,1,2.081783279628735,2022-03-28 23:06:51.669658,2022-03-28 23:18:59.279787,0 days 00:12:07.610129000,487,0.5761112890310648,342,0.277331598474825,COMPLETE
2,2,2.053520056137611,2022-03-28 23:18:59.280583,2022-03-28 23:32:24.262533,0 days 00:13:24.981950000,416,0.8305915468721389,503,0.4066945952880934,COMPLETE
3,3,2.178465163394276,2022-03-28 23:32:24.263327,2022-03-28 23:35:40.911971,0 days 00:03:16.648644000,197,0.14914900968551303,443,0.883147989207216,COMPLETE
4,4,2.0673429921296953,2022-03-28 23:35:40.912914,2022-03-28 23:36:57.877719,0 days 00:01:16.964805000,117,0.6829131014600419,393,0.5624707666510127,COMPLETE
5,5,2.0823495172037108,2022-03-28 23:36:57.878504,2022-03-28 23:42:05.496678,0 days 00:05:07.618174000,232,0.7652433064668671,531,0.20056958605023478,COMPLETE
6,6,1.945694799473894,2022-03-28 23:42:05.497476,2022-03-28 23:42:50.123298,0 days 00:00:44.625822000,474,0.9622694826649816,22,0.6472010566436704,COMPLETE
7,7,2.103879967107851,2022-03-28 23:42:50.124003,2022-03-28 23:45:02.854889,0 days 00:02:12.730886000,152,0.5169426724160023,454,0.20260106548790124,COMPLETE
8,8,1.945066456037716,2022-03-28 23:45:02.855818,2022-03-28 23:57:55.311256,0 days 00:12:52.455438000,420,0.9799275243705573,473,0.5646561345973334,COMPLETE
9,9,2.0819257449222306,2022-03-28 23:57:55.312026,2022-03-29 00:19:07.383610,0 days 00:21:12.071584000,510,0.20282707884459106,549,0.9223488199485722,COMPLETE
10,10,2.0641664089692116,2022-03-29 00:19:07.384539,2022-03-29 00:19:07.690374,0 days 00:00:00.305835000,2,0.2792100300164021,193,0.977669745441291,COMPLETE
11,11,2.109277392817585,2022-03-29 00:19:07.690849,2022-03-29 00:21:23.212262,0 days 00:02:15.521413000,213,0.3755303199596366,269,0.7855240650044796,COMPLETE
12,12,2.070456344864884,2022-03-29 00:21:23.213057,2022-03-29 00:23:32.569038,0 days 00:02:09.355981000,246,0.31881614090194266,202,0.7749414208077225,COMPLETE
13,13,2.05488503189224,2022-03-29 00:23:32.569828,2022-03-29 00:24:43.517437,0 days 00:01:10.947609000,139,0.10981807474670763,277,0.7737195161237825,COMPLETE
