,181
Returns,27.400000000000002
Semi Deviation,10.73312629199899
Sortino Ratio,2.2192974676685417
ADANIPORTS Weight,0.04303766281798201
ASIANPAINT Weight,0.8424050508695666
BAJFINANCE Weight,0.0018327718663810712
BAJAJFINSV Weight,5.12642815842193
BRITANNIA Weight,1.9824479089593579
DIVISLAB Weight,15.057516454474456
GRASIM Weight,0.00925854017606523
HCLTECH Weight,0.8120174794183659
HDFCBANK Weight,6.444883375034399
HINDALCO Weight,0.0012003221576527827
HINDUNILVR Weight,0.12101765308857651
ICICIBANK Weight,0.13736682983098195
INFY Weight,0.0012238317160818864
JSWSTEEL Weight,0.978184116461662
KOTAKBANK Weight,1.8665961588888285
LT Weight,1.4324445067520823
NESTLEIND Weight,52.14432004224575
POWERGRID Weight,0.008496110788481306
RELIANCE Weight,0.5695917620128454
TCS Weight,0.0019944812494597304
TATACONSUM Weight,1.388891707151142
TATASTEEL Weight,0.015020193158961666
TECHM Weight,4.177178191985352
TITAN Weight,2.115905522296761
ULTRACEMCO Weight,0.38643959446750126
WIPRO Weight,4.334301573709364
