,number,value,datetime_start,datetime_complete,duration,params_iterations,params_swarm_size,state
0,0,1.3683015970008328,2022-03-31 20:03:30.265997,2022-03-31 20:03:34.457816,0 days 00:00:04.191819000,309.3737948185269,10.585818931962919,COMPLETE
1,1,1.3512865699322258,2022-03-31 20:03:34.462890,2022-03-31 20:03:38.881855,0 days 00:00:04.418965000,254.91993591628184,12.387263241530833,COMPLETE
2,2,1.3923249939898692,2022-03-31 20:03:38.883857,2022-03-31 20:03:52.177019,0 days 00:00:13.293162000,182.80956729955537,63.1187194329933,COMPLETE
3,3,1.342612989968352,2022-03-31 20:03:52.177019,2022-03-31 21:06:31.675078,0 days 01:02:39.498059000,402.8191160139758,25.410761652280648,COMPLETE
4,4,1.434132689205547,2022-03-31 21:06:31.675078,2022-03-31 21:07:18.665179,0 days 00:00:46.990101000,404.9849117364274,91.85301687103612,COMPLETE
5,5,1.3898927796985536,2022-03-31 21:07:18.668209,2022-03-31 21:07:23.284243,0 days 00:00:04.616034000,321.3237268841784,12.476407802714661,COMPLETE
6,6,1.3525726743898727,2022-03-31 21:07:23.284243,2022-03-31 21:07:30.008714,0 days 00:00:06.724471000,160.98319966626912,36.63833108880999,COMPLETE
7,7,1.3874801800386194,2022-03-31 21:07:30.008714,2022-03-31 21:08:08.901424,0 days 00:00:38.892710000,359.2210510612445,93.38265324964262,COMPLETE
8,8,1.4646245252623624,2022-03-31 21:08:08.904424,2022-03-31 21:08:26.058202,0 days 00:00:17.153778000,269.7488480836017,46.130013200899796,COMPLETE
9,9,1.5237206075248568,2022-03-31 21:08:26.060195,2022-03-31 21:09:06.053755,0 days 00:00:39.993560000,454.4965309583686,67.19165751052766,COMPLETE
10,10,1.4320773135898655,2022-03-31 21:09:06.055756,2022-03-31 21:09:47.676092,0 days 00:00:41.620336000,499.6026110340892,68.38677295568029,COMPLETE
11,11,1.3320576380248748,2022-03-31 21:09:47.679089,2022-03-31 21:10:02.143363,0 days 00:00:14.464274000,232.881769508894,49.911681756492214,COMPLETE
12,12,1.4544605799100907,2022-03-31 21:10:02.145366,2022-03-31 21:10:44.194111,0 days 00:00:42.048745000,485.06952929850985,70.73738052734554,COMPLETE
13,13,1.4264250306467408,2022-03-31 21:10:44.196141,2022-03-31 21:10:51.751845,0 days 00:00:07.555704000,123.58401850930562,48.23748899640361,COMPLETE
