,number,value,datetime_start,datetime_complete,duration,params_iterations,params_swarm_size,state
0,0,2.1019038988498027,2022-03-26 11:52:29.892483,2022-03-26 11:52:44.869489,0 days 00:00:14.977006000,179.20343583586538,64.26311677835389,COMPLETE
1,1,2.315788661915,2022-03-26 11:52:44.871480,2022-03-26 11:53:02.828477,0 days 00:00:17.956997000,183.75226242173272,76.795485598162,COMPLETE
2,2,2.2565652672935377,2022-03-26 11:53:02.830477,2022-03-26 11:53:18.778477,0 days 00:00:15.948000000,162.02458558314447,73.47132400845061,COMPLETE
3,3,2.1001838465594176,2022-03-26 11:53:18.780479,2022-03-26 11:53:32.996500,0 days 00:00:14.216021000,195.37860875223885,56.64241944250977,COMPLETE
4,4,2.3630766386217776,2022-03-26 11:53:32.998483,2022-03-26 11:53:45.115479,0 days 00:00:12.116996000,184.55163960446896,52.73552645787314,COMPLETE
5,5,2.117384369463262,2022-03-26 11:53:45.117481,2022-03-26 11:53:48.412488,0 days 00:00:03.295007000,185.62202521696796,13.737682691334365,COMPLETE
6,6,2.339740220092962,2022-03-26 11:53:48.414478,2022-03-26 11:54:09.369478,0 days 00:00:20.955000000,185.32609154343044,86.05247692406128,COMPLETE
7,7,2.2787565479793312,2022-03-26 11:54:09.371505,2022-03-26 11:54:20.795488,0 days 00:00:11.423983000,102.74912188103019,83.35251163335208,COMPLETE
8,8,2.082983323655573,2022-03-26 11:54:20.797481,2022-03-26 11:54:28.154478,0 days 00:00:07.356997000,156.06107444964346,36.83941255836447,COMPLETE
9,9,2.360068110797506,2022-03-26 11:54:28.156495,2022-03-26 11:54:38.141488,0 days 00:00:09.984993000,176.56829886287306,45.4986559682835,COMPLETE
10,10,2.121347968219366,2022-03-26 11:54:38.143479,2022-03-26 11:54:42.301525,0 days 00:00:04.158046000,118.29318158958608,27.055578485887068,COMPLETE
11,11,2.1991242456976194,2022-03-26 11:54:42.303479,2022-03-26 11:54:51.248480,0 days 00:00:08.945001000,166.390701391852,42.55408181599838,COMPLETE
12,12,2.0702262691685553,2022-03-26 11:54:51.250480,2022-03-26 11:54:59.818479,0 days 00:00:08.567999000,137.4121775188729,48.56233477471089,COMPLETE
13,13,2.1364613130475267,2022-03-26 11:54:59.821503,2022-03-26 11:55:07.129487,0 days 00:00:07.307984000,199.9698269273133,28.892275175610443,COMPLETE
14,14,2.167588395688859,2022-03-26 11:55:07.131481,2022-03-26 11:55:22.638487,0 days 00:00:15.507006000,140.69907573831082,96.082009656848,COMPLETE
15,15,2.20676777641531,2022-03-26 11:55:22.640480,2022-03-26 11:55:34.965509,0 days 00:00:12.325029000,170.8247909166769,57.37399637038705,COMPLETE
16,16,2.168985938174796,2022-03-26 11:55:34.967479,2022-03-26 11:55:46.565503,0 days 00:00:11.598024000,148.0561240567133,62.995256848342024,COMPLETE
17,17,2.237788029790174,2022-03-26 11:55:46.567479,2022-03-26 11:55:50.207489,0 days 00:00:03.640010000,172.89502255232384,16.4909015147485,COMPLETE
18,18,2.200663567856043,2022-03-26 11:55:50.209481,2022-03-26 11:55:57.059504,0 days 00:00:06.850023000,126.38582277196919,42.96902180697281,COMPLETE
19,19,2.272189075597863,2022-03-26 11:55:57.061481,2022-03-26 11:56:07.513486,0 days 00:00:10.452005000,190.6131219285068,48.981041640704305,COMPLETE
20,20,2.2380123844367463,2022-03-26 11:56:07.514485,2022-03-26 11:56:14.208488,0 days 00:00:06.694003000,176.19269952518468,29.332665917281822,COMPLETE
21,21,2.168985938174796,2022-03-26 11:56:14.210480,2022-03-26 11:56:36.655521,0 days 00:00:22.445041000,187.33259445893074,96.87136344972328,COMPLETE
22,22,2.1861864610786403,2022-03-26 11:56:36.657479,2022-03-26 11:56:54.424508,0 days 00:00:17.767029000,159.93807774237848,87.10180441306146,COMPLETE
23,23,2.391821678001499,2022-03-26 11:56:54.426481,2022-03-26 11:57:08.127520,0 days 00:00:13.701039000,179.10061303800157,66.8061233639171,COMPLETE
24,24,2.2045973911497927,2022-03-26 11:57:08.129479,2022-03-26 11:57:22.701486,0 days 00:00:14.572007000,176.39017235119618,64.38641106674194,COMPLETE
25,25,2.3536685896497787,2022-03-26 11:57:22.703483,2022-03-26 11:57:36.290507,0 days 00:00:13.587024000,152.74538619788007,71.73521289521226,COMPLETE
26,26,2.393564939393253,2022-03-26 11:57:36.292479,2022-03-26 11:57:47.247491,0 days 00:00:10.955012000,167.40354730694517,52.05037057624443,COMPLETE
27,27,2.224568199329791,2022-03-26 11:57:47.249480,2022-03-26 11:57:56.128480,0 days 00:00:08.879000000,166.95869855939188,51.94678699811995,COMPLETE
28,28,2.2574564538063098,2022-03-26 11:57:56.130477,2022-03-26 11:58:09.848518,0 days 00:00:13.718041000,192.71340238990246,59.62600998649738,COMPLETE
29,29,2.398853726261774,2022-03-26 11:58:09.850479,2022-03-26 11:58:25.170525,0 days 00:00:15.320046000,181.7165088595943,67.62854764380468,COMPLETE
30,30,2.339740220092962,2022-03-26 11:58:25.172481,2022-03-26 11:58:35.014491,0 days 00:00:09.842010000,146.6369483924828,68.75200535444918,COMPLETE
31,31,2.2192974676685417,2022-03-26 11:58:35.016481,2022-03-26 11:58:52.120488,0 days 00:00:17.104007000,178.8850476835293,78.03467086308525,COMPLETE
32,32,2.349734766356029,2022-03-26 11:58:52.122479,2022-03-26 11:59:07.147489,0 days 00:00:15.025010000,182.1029352415512,65.20684160804534,COMPLETE
33,33,2.1332088505347997,2022-03-26 11:59:07.149481,2022-03-26 11:59:13.891488,0 days 00:00:06.742007000,166.5227481652241,38.426280540130435,COMPLETE
34,34,2.380965182441776,2022-03-26 11:59:13.893479,2022-03-26 11:59:27.268488,0 days 00:00:13.375009000,196.87927423129796,54.83930959587266,COMPLETE
35,35,2.2379313674810395,2022-03-26 11:59:27.270480,2022-03-26 11:59:45.163486,0 days 00:00:17.893006000,199.98648846526442,77.94388835624667,COMPLETE
36,36,2.1832154616679764,2022-03-26 11:59:45.165490,2022-03-26 12:00:01.632487,0 days 00:00:16.466997000,190.25170641428514,69.32373966512264,COMPLETE
