,number,value,datetime_start,datetime_complete,duration,params_ANTS,params_EVA_RATE,params_ITERATIONS,params_Q,state
0,0,1.0996463531128018,2022-04-14 16:38:45.849987,2022-04-14 16:40:20.468835,0 days 00:01:34.618848000,364,0.9030928853334346,73,0.4387690432240626,COMPLETE
1,1,1.1712901258303756,2022-04-14 16:40:20.469780,2022-04-14 16:41:28.747448,0 days 00:01:08.277668000,170,0.3780612375288942,188,0.8498711652806319,COMPLETE
2,2,1.1270200855122987,2022-04-14 16:41:28.748372,2022-04-14 16:41:35.008270,0 days 00:00:06.259898000,24,0.6509280051152522,243,0.5046418022342325,COMPLETE
3,3,1.1268285846001793,2022-04-14 16:41:35.008884,2022-04-14 16:41:45.917377,0 days 00:00:10.908493000,63,0.7654377217490197,127,0.800611229757023,COMPLETE
4,4,1.0675020009831369,2022-04-14 16:41:45.918244,2022-04-14 16:41:57.942298,0 days 00:00:12.024054000,240,0.872475386290519,19,0.9219961243407885,COMPLETE
5,5,1.112583264921063,2022-04-14 16:41:57.942913,2022-04-14 16:42:21.850523,0 days 00:00:23.907610000,95,0.9298773898075992,158,0.18058235177902854,COMPLETE
6,6,1.1524686488587952,2022-04-14 16:42:21.851131,2022-04-14 16:49:08.896761,0 days 00:06:47.045630000,479,0.22582574935997224,194,0.562208493267429,COMPLETE
7,7,1.1399460738420648,2022-04-14 16:49:08.897649,2022-04-14 16:49:19.549525,0 days 00:00:10.651876000,66,0.1032400408219088,117,0.2554056261747534,COMPLETE
8,8,1.1262200826754802,2022-04-14 16:49:19.550157,2022-04-14 16:54:37.067474,0 days 00:05:17.517317000,295,0.5227472553410589,357,0.5767059187241225,COMPLETE
9,9,1.1372540987025581,2022-04-14 16:54:37.068399,2022-04-14 16:58:24.212440,0 days 00:03:47.144041000,260,0.3069425326092508,316,0.2866044407960907,COMPLETE
10,10,1.1471705417046496,2022-04-14 16:58:24.213355,2022-04-14 17:01:19.608126,0 days 00:02:55.394771000,173,0.516354233930627,477,0.7689977683336865,COMPLETE
11,11,1.1294847508965153,2022-04-14 17:01:19.609074,2022-04-14 17:07:04.829984,0 days 00:05:45.220910000,412,0.2942236536503566,217,0.6787810048295868,COMPLETE
12,12,1.1471962613762932,2022-04-14 17:07:04.830895,2022-04-14 17:19:04.581588,0 days 00:11:59.750693000,489,0.3157009466466172,332,0.9720069158033684,COMPLETE
13,13,1.1523998536022757,2022-04-14 17:19:04.582524,2022-04-14 17:20:05.624394,0 days 00:01:01.041870000,150,0.11133611487254674,203,0.37503464162654515,COMPLETE
14,14,1.1834628049432336,2022-04-14 17:20:05.625366,2022-04-14 17:30:14.972828,0 days 00:10:09.347462000,489,0.4337520126982719,278,0.6547765615759853,COMPLETE
15,15,1.1298926898621025,2022-04-14 17:30:14.973765,2022-04-14 17:38:41.928834,0 days 00:08:26.955069000,356,0.43794133781057243,410,0.7960866422359808,COMPLETE
16,16,1.1377722604789646,2022-04-14 17:38:41.929737,2022-04-14 17:40:43.915340,0 days 00:02:01.985603000,186,0.3993479604623343,294,0.6651721250155381,COMPLETE
17,17,1.1410662292977145,2022-04-14 17:40:43.916295,2022-04-14 17:45:17.666902,0 days 00:04:33.750607000,319,0.6455085478264398,269,0.8812231082883037,COMPLETE
18,18,1.1285020730433983,2022-04-14 17:45:17.667829,2022-04-14 17:55:49.520347,0 days 00:10:31.852518000,411,0.4221527843652376,399,0.6822842419469355,COMPLETE
19,19,1.103424354990595,2022-04-14 17:55:49.521258,2022-04-14 17:58:16.396150,0 days 00:02:26.874892000,223,0.6270622818199882,267,0.8707372089306633,COMPLETE
20,20,1.1116430103393697,2022-04-14 17:58:16.397074,2022-04-14 17:58:30.010783,0 days 00:00:13.613709000,133,0.21355576846214278,56,0.9871745749684906,COMPLETE
21,21,1.1420744219262768,2022-04-14 17:58:30.011410,2022-04-14 18:05:02.814724,0 days 00:06:32.803314000,485,0.2274589985754482,184,0.5955160801389308,COMPLETE
22,22,1.1660682780290441,2022-04-14 18:05:02.815675,2022-04-14 18:09:33.564037,0 days 00:04:30.748362000,437,0.2038961233216024,154,0.4979842132984471,COMPLETE
23,23,1.1426597993917647,2022-04-14 18:09:33.564921,2022-04-14 18:13:21.600137,0 days 00:03:48.035216000,433,0.3651317551632755,132,0.4390664605367267,COMPLETE
24,24,1.0991557890919443,2022-04-14 18:13:21.601043,2022-04-14 18:15:49.964714,0 days 00:02:28.363671000,430,0.5027435241258749,87,0.7188994267195086,COMPLETE
25,25,1.1405824773248696,2022-04-14 18:15:49.965591,2022-04-14 18:20:58.826189,0 days 00:05:08.860598000,373,0.17303877882373092,233,0.49866956055168543,COMPLETE
26,26,1.1055566441173823,2022-04-14 18:20:58.827115,2022-04-14 18:26:14.211351,0 days 00:05:15.384236000,455,0.34631342794812625,167,0.6100775726814114,COMPLETE
27,27,1.1772673860698524,2022-04-14 18:26:14.212232,2022-04-14 18:30:17.586122,0 days 00:04:03.373890000,290,0.4602363533905706,285,0.386517799124127,COMPLETE
28,28,1.151183274243174,2022-04-14 18:30:17.587020,2022-04-14 18:35:56.551649,0 days 00:05:38.964629000,300,0.45678344876865246,375,0.36540961268286526,COMPLETE
29,29,1.1166066010212434,2022-04-14 18:35:56.552581,2022-04-14 18:38:15.291565,0 days 00:02:18.738984000,203,0.5824766693658375,294,0.4006193634582914,COMPLETE
30,30,1.1635574628954908,2022-04-14 18:38:15.292494,2022-04-14 18:47:02.781840,0 days 00:08:47.489346000,346,0.5738199426805405,449,0.3062580155846897,COMPLETE
31,31,1.166152991456798,2022-04-14 18:47:02.782801,2022-04-14 18:53:26.319040,0 days 00:06:23.536239000,398,0.26895140475109525,255,0.4843281608582825,COMPLETE
32,32,1.1676525069751778,2022-04-14 18:53:26.319963,2022-04-14 18:56:40.861550,0 days 00:03:14.541587000,270,0.454858814876588,258,0.4257311170547445,COMPLETE
33,33,1.1360578158219492,2022-04-14 18:56:40.862526,2022-04-14 19:00:07.881861,0 days 00:03:27.019335000,261,0.3785763139032945,291,0.13265255557102001,COMPLETE
34,34,1.185782154169601,2022-04-14 19:00:07.882833,2022-04-14 19:00:14.577955,0 days 00:00:06.695122000,20,0.7294115559633064,335,0.4307737674393728,COMPLETE
35,35,1.1193368842617264,2022-04-14 19:00:14.578581,2022-04-14 19:00:23.325673,0 days 00:00:08.747092000,25,0.781420329691163,336,0.3409989013592856,COMPLETE
36,36,1.1308059442553418,2022-04-14 19:00:23.326296,2022-04-14 19:01:40.360824,0 days 00:01:17.034528000,118,0.7025401524751125,383,0.2159221457820609,COMPLETE
37,37,1.14491021126795,2022-04-14 19:01:40.361710,2022-04-14 19:01:40.730660,0 days 00:00:00.368950000,2,0.7912198915740024,228,0.46601058247872273,COMPLETE
38,38,1.1126645460853108,2022-04-14 19:01:40.731255,2022-04-14 19:02:24.574636,0 days 00:00:43.843381000,85,0.985433665522325,351,0.5294675758281187,COMPLETE
39,39,1.1207501774803754,2022-04-14 19:02:24.575568,2022-04-14 19:02:46.732959,0 days 00:00:22.157391000,57,0.7144504497691262,305,0.6365502799690699,COMPLETE
40,40,1.0714869123736432,2022-04-14 19:02:46.733617,2022-04-14 19:02:55.536696,0 days 00:00:08.803079000,222,0.8428101663760239,16,0.8193515277246679,COMPLETE
41,41,1.1242910886720543,2022-04-14 19:02:55.537321,2022-04-14 19:06:19.477458,0 days 00:03:23.940137000,279,0.5047577680903929,256,0.4275750126153672,COMPLETE
42,42,1.1666285819745488,2022-04-14 19:06:19.478415,2022-04-14 19:11:06.170696,0 days 00:04:46.692281000,324,0.4846938913466231,277,0.5541284132186391,COMPLETE
43,43,1.1421920648599153,2022-04-14 19:11:06.171679,2022-04-14 19:12:52.008063,0 days 00:01:45.836384000,163,0.5510562633363512,319,0.31647727906249484,COMPLETE
44,44,1.1316195808129976,2022-04-14 19:12:52.008996,2022-04-14 19:15:09.057957,0 days 00:02:17.048961000,240,0.4626675246177433,218,0.26848186703065935,COMPLETE
45,45,1.1528268386778928,2022-04-14 19:15:09.058909,2022-04-14 19:15:52.736810,0 days 00:00:43.677901000,108,0.3978955411896919,242,0.4563521579767358,COMPLETE
46,46,1.1402137008590623,2022-04-14 19:15:52.737408,2022-04-14 19:18:19.903227,0 days 00:02:27.165819000,276,0.342980493370852,187,0.7363601222465447,COMPLETE
47,47,1.1729849299575354,2022-04-14 19:18:19.904179,2022-04-14 19:18:35.290601,0 days 00:00:15.386422000,39,0.6964242478333013,342,0.41197277137051047,COMPLETE
48,48,1.1508295488253615,2022-04-14 19:18:35.291248,2022-04-14 19:18:59.718075,0 days 00:00:24.426827000,47,0.6929964010493816,429,0.2257463427213791,COMPLETE
49,49,1.0933767405057777,2022-04-14 19:18:59.718695,2022-04-14 19:19:09.388240,0 days 00:00:09.669545000,26,0.8286785721164757,351,0.9339195401833232,COMPLETE
