,MSE,RMSE,MAE,R2,MAPE
ADANIPORTS,0.0011518879141323125,0.03393947427601542,0.02391254103386112,-1.6100931249623032,3.2223679716249904
ASIANPAINT,0.0002886945388087163,0.01699101347208919,0.01374333895095752,-0.12823364012288807,2.0144236606496744
AXISBANK,0.000884538011946363,0.02974118376841048,0.018458033964459584,0.3783453744775983,6.949802128032187
BAJAJ-AUTO,0.0009114542041317029,0.03019029983507456,0.026563456087948634,0.11977058881154257,3.1778535192797004
BAJFINANCE,6.390042952495595e-05,0.007993774422946643,0.0072746845629866885,0.21088117176155485,3.203275201957197
BPCL,7.624287308732048e-05,0.008731716502917423,0.00714516607223209,-0.415355043761523,5.449758508236183
BHARTIARTL,0.000894261937858455,0.029904212710895016,0.025866411487626362,0.5239541030177062,6.404211528104617
BRITANNIA,5.7129716242300076e-05,0.007558420221335942,0.005356155370880784,-1.5692446262798563,1.970200030870271
CIPLA,0.0009593373838467211,0.03097317200169723,0.028125296746202313,-0.9907848105991093,3.4279883386504006
DIVISLAB,0.00014628558348932227,0.012094857729188974,0.010846902370875726,-1.8418849278491574,0.966908761158703
DRREDDY,0.0005014569497890862,0.022393234464656644,0.020437290157409378,-1.1324230351836642,2.208424678237438
GAIL,0.0005625500514538544,0.02371813760508726,0.023242605306875264,-6.703122419482516,17.001889916610768
GRASIM,5.266777230520565e-05,0.007257256527449313,0.007010574893542639,-1.1311789513968677,6.790017997477664
HCLTECH,0.0014728473041773285,0.03837769279382658,0.030372687391497726,0.07848483256215832,4.2777118514069885
HDFCBANK,0.0002917666917615778,0.017081179460493288,0.014170145429641512,-5.761412675577962,3.8173962310468967
HEROMOTOCO,0.0005440472224249834,0.023324819879797214,0.017263350886923354,-0.19962441488940819,2.883829591565904
HINDALCO,0.0017697628216633413,0.042068549079607456,0.032753671903037004,0.2853889029212794,6.428959085639195
HINDUNILVR,0.0004493117769149386,0.021196975654912156,0.018372758162298393,-0.9038743713548545,1.5690448008162043
HDFC,0.0008293587503148723,0.0287985893806428,0.021438202858798543,0.2116103842717395,3.8593673681996066
ICICIBANK,0.0003805892374001661,0.01950869645568781,0.015377210366004495,-0.21849146021376087,2.323024140419383
ITC,0.00027570582234157315,0.016604391658280444,0.014332549678307565,0.46885930767425277,9.780071364672455
IOC,5.1183586942120226e-05,0.007154270538784526,0.00704382184291271,-6.5062956261987575,17.694364807454996
INDUSINDBK,5.061687095791392e-05,0.0071145534615964425,0.005324300123449461,0.5472047847740034,2.9738854220163735
INFY,0.0013660471530403827,0.036960075122223206,0.027777937302290563,0.14511752786860144,4.314435578107929
JSWSTEEL,1.4924680206394799e-05,0.0038632473654161468,0.0030569772108334703,-0.7391767424079823,2.8743697771785817
KOTAKBANK,0.00012327334894625166,0.011102853189439715,0.009526954728146433,0.05112521451816454,1.2626545690084878
LT,0.0004612759217178453,0.021477335070204714,0.018180854093253856,0.13111359497552422,4.946999549985702
M&M,0.0004165363290784292,0.020409221667629297,0.016963128024682424,-0.8868909239496083,4.7942077059565396
NTPC,0.0004893783799471743,0.0221218981994578,0.019047121654157388,-4.87056959240054,9.276830991262655
ONGC,0.001071973945550995,0.03274101320287744,0.03204434562364673,-6.796232458368501,20.999205930424996
POWERGRID,0.003319515969312756,0.05761524077284374,0.04574344275552843,0.2190920798672893,10.959833982319212
RELIANCE,0.0003077963061432989,0.01754412454764554,0.013434176707607461,0.41817428007935176,3.3879566617876056
SBIN,0.0010757625335327805,0.03279881908747296,0.029663343941807568,-5.972686820079249,5.036913459057542
SUNPHARMA,0.00019463325783135505,0.013951102387673709,0.010284691743422312,0.22583553714031546,3.365730660180666
TCS,0.005214653491127404,0.07221255771074311,0.06191416840647485,-2.830907326075828,9.298308797446637
TATAMOTORS,0.0006237138059534331,0.024974262871072555,0.02212896893229292,-0.6630241931427343,9.129461107703392
TATASTEEL,0.0019244425252007476,0.04386846846199156,0.0298601554897564,-0.08446164929847844,6.095122316995229
TECHM,0.0024218157379153607,0.04921194710550844,0.03635216078724536,-0.09448618760808714,5.08226554588717
TITAN,0.00030780065702675326,0.01754424854551352,0.013653621116949328,-3.3434579513244405,1.3327667125423088
UPL,0.00047859581808116396,0.021876832907922573,0.01847474622492362,-0.7682895277040591,6.554137706487809
ULTRACEMCO,0.0004674995665684651,0.021621738287391813,0.0177284390353263,0.7125069327505482,4.192487983479645
WIPRO,0.0005253755370967197,0.022921071901128874,0.018770382023143246,0.7104811338416073,7.37145175110801
