,MSE,RMSE,MAE,R2,MAPE
ADANIPORTS,0.00410788988595628,0.0640928224215183,0.06051535985409822,-8.308175750340478,6.216780079796132
ASIANPAINT,0.0018849642683416202,0.04341617519245126,0.04202035114988191,-6.366540796886157,4.291638147084124
AXISBANK,0.0018006752648033904,0.042434364196997115,0.031310954123722805,-0.26551724438121904,7.10239643666317
BAJAJ-AUTO,0.00112142073901503,0.03348762068309766,0.029927065401913477,-0.08300286764061071,3.1142461269818384
BAJFINANCE,0.00037574018977819447,0.019384018927410138,0.01823833789228688,-3.6400886579966105,4.721931922506954
BPCL,3.108147309303855e-05,0.0055750760616370566,0.005135078277449039,0.42301072967978015,4.562634546145725
BHARTIARTL,0.0036017043399951534,0.0600142011526868,0.053291768725958324,-0.9173091245547327,8.192420352985803
BRITANNIA,3.327597788132661e-05,0.005768533425518709,0.005048617732538753,-0.496491370501575,1.442720998573169
CIPLA,0.003201431678728972,0.05658119545157182,0.05338546420868752,-5.643503803248799,5.768932231469911
DIVISLAB,0.0037913219344723895,0.061573711391083044,0.06111486240083081,-72.6538789756234,6.170324740540484
DRREDDY,0.005187331844632229,0.07202313409337467,0.071492312805812,-21.058894430096256,7.366894340794962
GAIL,0.00011055625613216531,0.010514573511663006,0.00944091245492312,-0.5138712955847848,8.780612727281694
GRASIM,5.404334850207468e-06,0.002324722531875034,0.0020066958462994678,0.7813158944274484,4.485916638576114
HCLTECH,0.001480021404802152,0.03847104631800586,0.0302520901652186,0.07399621889545316,4.4463537398518485
HDFCBANK,6.001540520425296e-05,0.007746961030252635,0.0067702724136680815,-0.3907993370592864,1.5303868370804974
HEROMOTOCO,0.0006669235705887289,0.02582486341858808,0.0193286773732384,-0.4705668279627615,2.8640416067385264
HINDALCO,0.0028278467983154283,0.05317750274613719,0.043199984735416544,-0.1418539694575811,7.16598201934739
HINDUNILVR,0.0009723368770997634,0.031182316737211228,0.027054434332127508,-3.120095122687861,2.691466604978538
HDFC,0.0025058475190495658,0.05005844103694766,0.047678560189665764,-1.3820622400945992,5.507203743372943
ICICIBANK,0.0013268896748346783,0.0364264968784356,0.03304532599761477,-3.248159376435283,3.4728163062163815
ITC,0.000655997344865106,0.02561244511687836,0.022738506516879173,-0.26376324212637314,9.101294671110912
IOC,1.9672963989962866e-06,0.001402603436113104,0.001158717818171669,0.7114874271722802,6.448009393036521
INDUSINDBK,0.00010251634685730352,0.010125035647211495,0.0077851129893941285,0.0829359764646197,3.340748551188039
INFY,0.001305221927574736,0.03612785528611872,0.03044143353877712,0.1831824065210622,4.175001717675672
JSWSTEEL,0.00017400677399651558,0.013191162723449194,0.012822449051160192,-19.277053187813987,8.493120235121612
KOTAKBANK,0.00016591137768963608,0.012880659054941098,0.01043685491539535,-0.27707346527017607,1.545110979170099
LT,0.0003601250196300014,0.01897696023155451,0.012577210816729753,0.321647372140354,4.038399332740044
M&M,0.0002724557299083439,0.01650623306234175,0.013118288424089923,-0.23421225965940118,4.055172295984484
NTPC,0.0002916305087252045,0.017077192647657415,0.01494679694530267,-2.4983915654861812,7.2672385826949055
ONGC,0.00010713671625535978,0.010350686752837214,0.008703445246160155,0.22081805418906264,6.745268722753512
POWERGRID,0.0037805616736078765,0.06148627223704391,0.05157311616525671,0.11063221844304616,9.00977180052505
RELIANCE,0.013943351270730027,0.11808196844027469,0.11577409692178438,-25.357042723644796,15.300329844483493
SBIN,0.0008542494756613587,0.029227546521412958,0.0265123529107058,-4.536922763467911,4.712838470317825
SUNPHARMA,0.0003692631354220123,0.01921622063315293,0.01647568827985551,-0.46876438319480207,3.844546739135859
TCS,0.0015647018845302608,0.039556312827793504,0.03236479110130779,-0.14949687889533814,7.095713472743959
TATAMOTORS,0.00026688551127547526,0.016336630964659614,0.01036435528687557,0.2883962839784878,6.19193140223788
TATASTEEL,0.002674379649167314,0.0517144046583475,0.041850761865377936,-0.507066138482744,6.795530591910586
TECHM,0.0029487391615838523,0.05430229425709242,0.04103273472752246,-0.3326176028530581,4.876892265342194
TITAN,0.00037670868350046766,0.019408984607662185,0.015965159692095728,-4.31583766743179,1.6562801509450418
UPL,0.0001388734773118304,0.01178445914379741,0.009861158700245462,0.486897907735768,5.145580092695561
ULTRACEMCO,0.001875047208866519,0.04330181530682656,0.036376998156180416,-0.15307716169959984,5.1310590973489685
WIPRO,0.0013311763022234773,0.03648528884664992,0.02977692941217355,0.26642824710410484,7.503118294299847
