,51612
Returns,0.2960957677390882
Standard Deviation,0.1151553811023935
Sortino Ratio,2.2603873587777823
ASIANPAINT Weight,0.07486210443260088
BAJFINANCE Weight,0.05430234942918356
BAJAJFINSV Weight,0.04402247192747491
BRITANNIA Weight,0.02860265567491192
DIVISLAB Weight,0.07486210443260088
GRASIM Weight,0.018322778173203262
HCLTECH Weight,0.06972216568174655
HDFCBANK Weight,0.0594422881800379
HINDALCO Weight,0.049162410678329244
HINDUNILVR Weight,0.0800020431834552
ICICIBANK Weight,0.018322778173203262
INFY Weight,0.013182839422348935
JSWSTEEL Weight,0.049162410678329244
LT Weight,0.023462716924057592
NESTLEIND Weight,0.008042900671494605
POWERGRID Weight,0.02860265567491192
RELIANCE Weight,0.0594422881800379
TCS Weight,0.038882533176620576
TATACONSUM Weight,0.05430234942918356
TATASTEEL Weight,0.018322778173203262
TECHM Weight,0.02860265567491192
TITAN Weight,0.07486210443260088
ULTRACEMCO Weight,0.008042900671494605
WIPRO Weight,0.023462716924057592
