,155
Returns,39.0
Standard Deviation,24.596747752497688
Sharpe Ratio,1.4400277775098644
ASIANPAINT Weight,4.676490670522456e-05
BAJFINANCE Weight,31.531029583693996
BAJAJFINSV Weight,0.603634893278499
BRITANNIA Weight,0.8627493014729111
DIVISLAB Weight,21.29986575851995
GRASIM Weight,0.0005375890508160572
HCLTECH Weight,0.0011950815208195092
HDFCBANK Weight,0.0006844159988586747
HINDALCO Weight,0.0009020181049030914
HINDUNILVR Weight,0.00027897000783022824
ICICIBANK Weight,0.44673109686790746
INFY Weight,0.015327091301649536
JSWSTEEL Weight,15.626959396738577
LT Weight,0.0781770077780473
NESTLEIND Weight,0.4218056488558255
POWERGRID Weight,0.01668000491642784
RELIANCE Weight,0.09462407981804907
TCS Weight,0.4395026317378251
TATACONSUM Weight,4.4672777596281215
TATASTEEL Weight,0.06953405922562164
TECHM Weight,3.686697512170204
TITAN Weight,20.294077704413617
ULTRACEMCO Weight,0.02079918839703034
WIPRO Weight,0.02088244159579471
