,number,value,datetime_start,datetime_complete,duration,params_ANTS,params_EVA_RATE,params_ITERATIONS,params_Q,state
0,0,2.2976221218614152,2022-03-24 00:44:12.573308,2022-03-24 00:49:28.376640,0 days 00:05:15.803332000,330,0.409277466764596,313,0.039017238901797535,COMPLETE
1,1,2.269429898521191,2022-03-24 00:49:28.377430,2022-03-24 00:49:50.007965,0 days 00:00:21.630535000,182,0.0010588554512489523,58,0.17498863566598089,COMPLETE
2,2,2.2245046950839718,2022-03-24 00:49:50.008472,2022-03-24 01:03:44.659686,0 days 00:13:54.651214000,492,0.932685915045276,407,0.46083964706204994,COMPLETE
3,3,2.2899415416079467,2022-03-24 01:03:44.660467,2022-03-24 01:15:30.924523,0 days 00:11:46.264056000,536,0.5505031051183167,296,0.2926513981021188,COMPLETE
4,4,2.258375038441179,2022-03-24 01:15:30.925313,2022-03-24 01:19:52.499469,0 days 00:04:21.574156000,361,0.720284159017301,222,0.030895773038827734,COMPLETE
5,5,2.242127878286494,2022-03-24 01:19:52.500322,2022-03-24 01:33:20.593456,0 days 00:13:28.093134000,410,0.8015798035005763,549,0.7586626528479139,COMPLETE
6,6,2.2510709168456944,2022-03-24 01:33:20.594302,2022-03-24 01:33:55.508930,0 days 00:00:34.914628000,174,0.7751789958748513,101,0.6926993387457793,COMPLETE
7,7,2.2562127322852232,2022-03-24 01:33:55.509696,2022-03-24 01:34:02.507230,0 days 00:00:06.997534000,41,0.10611539010173177,157,0.25707676776490074,COMPLETE
8,8,2.2389281936973324,2022-03-24 01:34:02.507788,2022-03-24 01:40:14.406434,0 days 00:06:11.898646000,418,0.11781661813347244,243,0.5349641275379575,COMPLETE
9,9,2.2721872607839013,2022-03-24 01:40:14.407282,2022-03-24 01:43:02.279053,0 days 00:02:47.871771000,528,0.35808270394174435,72,0.21946314557735824,COMPLETE
10,10,2.311241805026485,2022-03-24 01:43:02.279867,2022-03-24 01:47:57.017963,0 days 00:04:54.738096000,280,0.38139895518022243,391,0.9448723075073162,COMPLETE
