,number,value,datetime_start,datetime_complete,duration,params_iterations,params_swarm_size,state
0,0,1.4210211997011162,2022-03-26 21:36:42.027739,2022-03-26 21:36:44.585321,0 days 00:00:02.557582,223.56709829787818,21.842719560048767,COMPLETE
1,1,1.474788470614634,2022-03-26 21:36:44.586103,2022-03-26 21:36:50.882552,0 days 00:00:06.296449,153.11036185284382,79.81441197597857,COMPLETE
2,2,1.513072664774858,2022-03-26 21:36:50.883267,2022-03-26 21:37:04.131126,0 days 00:00:13.247859,319.19743878919417,79.02448732927247,COMPLETE
3,3,1.4369678950143383,2022-03-26 21:37:04.131898,2022-03-26 21:37:17.901076,0 days 00:00:13.769178,479.9406733844147,55.30313943423155,COMPLETE
4,4,1.4230565949114047,2022-03-26 21:37:17.901783,2022-03-26 21:37:24.477019,0 days 00:00:06.575236,147.02131663283828,84.0183041212081,COMPLETE
5,5,1.491588874402801,2022-03-26 21:37:24.477719,2022-03-26 21:37:36.879820,0 days 00:00:12.402101,407.3238408174571,58.631569454679294,COMPLETE
6,6,1.494835230915817,2022-03-26 21:37:36.880278,2022-03-26 21:37:38.784698,0 days 00:00:01.904420,129.20641318862636,27.077304542283574,COMPLETE
7,7,1.4618915532898624,2022-03-26 21:37:38.785102,2022-03-26 21:37:48.706033,0 days 00:00:09.920931,293.67738474438283,64.11489644679233,COMPLETE
8,8,1.4849524159669056,2022-03-26 21:37:48.706536,2022-03-26 21:37:54.845162,0 days 00:00:06.138626,192.49213091840602,60.072232121375144,COMPLETE
9,9,1.4501314920748636,2022-03-26 21:37:54.845909,2022-03-26 21:37:58.545829,0 days 00:00:03.699920,299.1953342967752,23.470300841354504,COMPLETE
10,10,1.4951163613191776,2022-03-26 21:37:58.546248,2022-03-26 21:38:18.149955,0 days 00:00:19.603707,389.62522103697574,95.76838255560264,COMPLETE
11,11,1.468999440870514,2022-03-26 21:38:18.150450,2022-03-26 21:38:38.197461,0 days 00:00:20.047011,388.5512629726248,99.69839048633504,COMPLETE
12,12,1.4009451980770422,2022-03-26 21:38:38.198264,2022-03-26 21:38:57.048934,0 days 00:00:18.850670,373.93740134097794,97.38699501959039,COMPLETE
13,13,1.480391671257553,2022-03-26 21:38:57.049420,2022-03-26 21:39:11.261487,0 days 00:00:14.212067,345.67932122927937,79.40730656211322,COMPLETE
14,14,1.4382708669561148,2022-03-26 21:39:11.261988,2022-03-26 21:39:31.253168,0 days 00:00:19.991180,457.46294313562277,84.20971792976854,COMPLETE
15,15,1.49868556073358,2022-03-26 21:39:31.253652,2022-03-26 21:39:36.305192,0 days 00:00:05.051540,254.22425562559286,37.87257751151201,COMPLETE
16,16,1.3959452945248687,2022-03-26 21:39:36.305636,2022-03-26 21:39:41.209308,0 days 00:00:04.903672,250.90697312338256,36.85704028844435,COMPLETE
17,17,1.5281615787693685,2022-03-26 21:39:41.210010,2022-03-26 21:39:47.227248,0 days 00:00:06.017238,253.67771663728197,43.208489525871116,COMPLETE
18,18,1.39347690779646,2022-03-26 21:39:47.227761,2022-03-26 21:39:55.590726,0 days 00:00:08.362965,346.66239035129627,44.152417373877874,COMPLETE
19,19,1.513072664774858,2022-03-26 21:39:55.591196,2022-03-26 21:40:02.841709,0 days 00:00:07.250513,192.1691525294542,68.89304515752013,COMPLETE
20,20,1.414312995768617,2022-03-26 21:40:02.842243,2022-03-26 21:40:10.276239,0 days 00:00:07.433996,193.54328456017174,70.34334116932835,COMPLETE
21,21,1.4022630738898683,2022-03-26 21:40:10.276736,2022-03-26 21:40:17.078241,0 days 00:00:06.801505,263.4340761382826,47.48808074984793,COMPLETE
22,22,1.4230565949114047,2022-03-26 21:40:17.078696,2022-03-26 21:40:18.229881,0 days 00:00:01.151185,195.35322385281535,10.447115588679459,COMPLETE
23,23,1.510277579802983,2022-03-26 21:40:18.230287,2022-03-26 21:40:30.857928,0 days 00:00:12.627641,327.4092831207728,70.50011545699476,COMPLETE
24,24,1.525608197375993,2022-03-26 21:40:30.858355,2022-03-26 21:40:39.646220,0 days 00:00:08.787865,224.1203760759486,70.45192081575253,COMPLETE
25,25,1.4545622193636132,2022-03-26 21:40:39.646961,2022-03-26 21:40:48.090743,0 days 00:00:08.443782,220.16029743038177,69.78617868232853,COMPLETE
26,26,1.445990625449864,2022-03-26 21:40:48.091259,2022-03-26 21:40:51.097412,0 days 00:00:03.006153,103.97663183931411,51.23009834252244,COMPLETE
27,27,1.4787214755552958,2022-03-26 21:40:51.097906,2022-03-26 21:40:57.429311,0 days 00:00:06.331405,285.38815271976034,40.5068027286313,COMPLETE
28,28,1.510277579802983,2022-03-26 21:40:57.429754,2022-03-26 21:41:13.611806,0 days 00:00:16.182052,327.5271494589671,90.6057612813291,COMPLETE
29,29,1.468999440870514,2022-03-26 21:41:13.612329,2022-03-26 21:41:17.525051,0 days 00:00:03.912722,221.0919538117601,32.840390185156664,COMPLETE
30,30,1.4545622193636132,2022-03-26 21:41:17.525507,2022-03-26 21:41:23.602476,0 days 00:00:06.076969,171.04856619279025,65.24485920957156,COMPLETE
31,31,1.5090858769079973,2022-03-26 21:41:23.602910,2022-03-26 21:41:33.381121,0 days 00:00:09.778211,237.0976300004581,76.12230567335388,COMPLETE
32,32,1.5195945297092321,2022-03-26 21:41:33.381555,2022-03-26 21:41:45.106928,0 days 00:00:11.725373,278.3750536817428,77.07538661601866,COMPLETE
33,33,1.513072664774858,2022-03-26 21:41:45.107733,2022-03-26 21:41:56.456620,0 days 00:00:11.348887,272.5095177841699,76.25849074258483,COMPLETE
34,34,1.5281615787693685,2022-03-26 21:41:56.457141,2022-03-26 21:42:10.152653,0 days 00:00:13.695512,279.9155129265927,89.1832155576395,COMPLETE
35,35,1.5016438728898587,2022-03-26 21:42:10.153199,2022-03-26 21:42:21.451873,0 days 00:00:11.298674,235.62171188684943,88.60759377024334,COMPLETE
36,36,1.4592774061857323,2022-03-26 21:42:21.452375,2022-03-26 21:42:36.060514,0 days 00:00:14.608139,308.634368032088,87.36579581728026,COMPLETE
37,37,1.4787214755552958,2022-03-26 21:42:36.060971,2022-03-26 21:42:44.516278,0 days 00:00:08.455307,275.75461914108735,56.575366661474995,COMPLETE
38,38,1.5281615787693685,2022-03-26 21:42:44.517109,2022-03-26 21:42:52.715421,0 days 00:00:08.198312,160.86179657734448,93.04943416343738,COMPLETE
39,39,1.4050827151638214,2022-03-26 21:42:52.715919,2022-03-26 21:43:00.896298,0 days 00:00:08.180379,164.16542288786297,91.36900713413729,COMPLETE
40,40,1.4122011537898673,2022-03-26 21:43:00.896784,2022-03-26 21:43:07.162013,0 days 00:00:06.265229,132.51127224194923,84.39247222554162,COMPLETE
41,41,1.4171080807404917,2022-03-26 21:43:07.162560,2022-03-26 21:43:16.003794,0 days 00:00:08.841234,210.79261523069817,76.31917754526005,COMPLETE
42,42,1.473623335415715,2022-03-26 21:43:16.004313,2022-03-26 21:43:27.483748,0 days 00:00:11.479435,248.2143549515295,83.84119393654338,COMPLETE
43,43,1.49868556073358,2022-03-26 21:43:27.484259,2022-03-26 21:43:42.198272,0 days 00:00:14.714013,288.86177391584357,92.86288334276342,COMPLETE
44,44,1.4544605799100907,2022-03-26 21:43:42.199028,2022-03-26 21:43:50.153327,0 days 00:00:07.954299,234.02807254355835,61.736498740161814,COMPLETE
45,45,1.4221392336898664,2022-03-26 21:43:50.153870,2022-03-26 21:43:54.869282,0 days 00:00:04.715412,172.05724240403134,49.66967780264714,COMPLETE
46,46,1.4210211997011162,2022-03-26 21:43:54.869758,2022-03-26 21:43:59.038130,0 days 00:00:04.168372,102.76710662734195,73.8628291086499,COMPLETE
47,47,1.470480893774862,2022-03-26 21:43:59.038567,2022-03-26 21:44:06.812601,0 days 00:00:07.774034,146.79723405062578,94.92647198102016,COMPLETE
48,48,1.6089041495248486,2022-03-26 21:44:06.813163,2022-03-26 21:44:16.258585,0 days 00:00:09.445422,209.0199751089078,82.50482862097769,COMPLETE
49,49,1.474788470614634,2022-03-26 21:44:16.259137,2022-03-26 21:44:25.267215,0 days 00:00:09.008078,203.56295374280126,81.98875268312257,COMPLETE
