,number,value,datetime_start,datetime_complete,duration,params_ANTS,params_EVA_RATE,params_ITERATIONS,params_Q,state
0,0,1.3951785998878088,2022-03-27 16:58:58.050529,2022-03-27 16:59:29.759611,0 days 00:00:31.709082,300,0.6828188756503776,34,0.33504084289675184,COMPLETE
1,1,1.4113217544029732,2022-03-27 16:59:29.760450,2022-03-27 17:05:21.348812,0 days 00:05:51.588362,322,0.30329597699444344,333,0.42215023621635583,COMPLETE
2,2,1.4249304884744172,2022-03-27 17:05:21.349714,2022-03-27 17:06:16.697990,0 days 00:00:55.348276,303,0.3375842400765575,58,0.7024634709959564,COMPLETE
3,3,1.4328699348799008,2022-03-27 17:06:16.698848,2022-03-27 17:08:59.497551,0 days 00:02:42.798703,181,0.6735375140298646,401,0.8206213615621658,COMPLETE
4,4,1.4394607637052368,2022-03-27 17:08:59.498399,2022-03-27 17:11:02.641833,0 days 00:02:03.143434,494,0.23874938921365252,56,0.41313821562884634,COMPLETE
5,5,1.4285990570406015,2022-03-27 17:11:02.642721,2022-03-27 17:17:15.033063,0 days 00:06:12.390342,443,0.3293852961648587,201,0.9827534239061122,COMPLETE
6,6,1.3946414042529443,2022-03-27 17:17:15.033943,2022-03-27 17:18:39.573656,0 days 00:01:24.539713,341,0.7996623552921112,73,0.7194768164543085,COMPLETE
7,7,1.4341008952240808,2022-03-27 17:18:39.574498,2022-03-27 17:22:35.386257,0 days 00:03:55.811759,216,0.46665912374180063,443,0.43935883183315005,COMPLETE
8,8,1.4406138068945298,2022-03-27 17:22:35.387164,2022-03-27 17:24:23.686427,0 days 00:01:48.299263,156,0.12017250729178813,343,0.678132739165625,COMPLETE
9,9,1.4157868014342687,2022-03-27 17:24:23.687323,2022-03-27 17:26:51.148094,0 days 00:02:27.460771,298,0.39489809523219777,160,0.44785905445150076,COMPLETE
10,10,1.3611717142184592,2022-03-27 17:26:51.148959,2022-03-27 17:27:00.995597,0 days 00:00:09.846638,29,0.9909090615126048,305,0.5967235665935711,COMPLETE
11,11,1.4326915668711775,2022-03-27 17:27:00.996410,2022-03-27 17:27:29.932615,0 days 00:00:28.936205,77,0.1007422955292564,256,0.11546155449683909,COMPLETE
12,12,1.4408301869447628,2022-03-27 17:27:29.933216,2022-03-27 17:43:32.052518,0 days 00:16:02.119302,455,0.11405053441451671,494,0.25802365445692266,COMPLETE
13,13,1.4250138110307287,2022-03-27 17:43:32.053380,2022-03-27 17:45:48.563175,0 days 00:02:16.509795,143,0.10236717867431401,494,0.18203295862158186,COMPLETE
14,14,1.4269043906537884,2022-03-27 17:45:48.564056,2022-03-27 17:55:18.497952,0 days 00:09:29.933896,397,0.2106450039559964,378,0.5926200499107024,COMPLETE
15,15,1.4282427471184986,2022-03-27 17:55:18.498812,2022-03-27 17:56:59.526571,0 days 00:01:41.027759,119,0.5426373325724597,478,0.25519786696068847,COMPLETE
16,16,1.4271820119603578,2022-03-27 17:56:59.527473,2022-03-27 18:01:12.319331,0 days 00:04:12.791858,230,0.17026659941158032,420,0.8759443278554863,COMPLETE
17,17,1.423635650969005,2022-03-27 18:01:12.320212,2022-03-27 18:09:56.292626,0 days 00:08:43.972414,394,0.4495396315426128,348,0.6859643245089109,COMPLETE
18,18,1.4478776140388818,2022-03-27 18:09:56.293502,2022-03-27 18:10:01.432815,0 days 00:00:05.139313,18,0.23313567441281777,275,0.5416802239347493,COMPLETE
19,19,1.4445105655584924,2022-03-27 18:10:01.433888,2022-03-27 18:10:02.707566,0 days 00:00:01.273678,10,0.26614185549018143,129,0.3111243190908309,COMPLETE
20,20,1.4089123436374764,2022-03-27 18:10:02.708114,2022-03-27 18:10:03.631437,0 days 00:00:00.923323,7,0.2610004304367611,138,0.529919932052483,COMPLETE
21,21,1.4185182864356527,2022-03-27 18:10:03.632039,2022-03-27 18:10:31.909012,0 days 00:00:28.276973,74,0.21037369355324154,263,0.28365627444440483,COMPLETE
22,22,1.3938967783534957,2022-03-27 18:10:31.909577,2022-03-27 18:10:41.603642,0 days 00:00:09.694065,61,0.38518667187513494,117,0.3183848304837731,COMPLETE
23,23,1.4154250890659665,2022-03-27 18:10:41.604175,2022-03-27 18:10:42.315859,0 days 00:00:00.711684,4,0.17731880836151187,201,0.2272857635432119,COMPLETE
24,24,1.4432842619914787,2022-03-27 18:10:42.316368,2022-03-27 18:11:18.983853,0 days 00:00:36.667485,104,0.28439216138262335,211,0.1625294730598637,COMPLETE
25,25,1.4231364467032122,2022-03-27 18:11:18.984693,2022-03-27 18:11:56.859893,0 days 00:00:37.875200,105,0.5087258783359381,214,0.12342557317141681,COMPLETE
26,26,1.4602578502616241,2022-03-27 18:11:56.860499,2022-03-27 18:12:14.454650,0 days 00:00:17.594151,49,0.28297784202071513,282,0.36880053559508164,COMPLETE
27,27,1.4430334322411362,2022-03-27 18:12:14.455483,2022-03-27 18:12:30.120431,0 days 00:00:15.664948,44,0.63562154694033,293,0.4952550630448771,COMPLETE
28,28,1.4416064824291095,2022-03-27 18:12:30.121108,2022-03-27 18:12:39.599670,0 days 00:00:09.478562,30,0.40487306421694896,284,0.35352699334094306,COMPLETE
29,29,1.4204771151606812,2022-03-27 18:12:39.600210,2022-03-27 18:12:47.009523,0 days 00:00:07.409313,190,0.5808085745748288,17,0.3680283202599718,COMPLETE
30,30,1.4456621565925996,2022-03-27 18:12:47.010099,2022-03-27 18:13:03.496641,0 days 00:00:16.486542,73,0.3498460088052713,158,0.494201449598083,COMPLETE
31,31,1.419819252145794,2022-03-27 18:13:03.497571,2022-03-27 18:13:18.102060,0 days 00:00:14.604489,84,0.3770834040161335,115,0.501878067996779,COMPLETE
32,32,1.4177765414198695,2022-03-27 18:13:18.102659,2022-03-27 18:13:26.110536,0 days 00:00:08.007877,39,0.29816674808329335,174,0.6171843636900495,COMPLETE
33,33,1.4077068045974552,2022-03-27 18:13:26.111128,2022-03-27 18:13:26.277136,0 days 00:00:00.166008,2,0.3384436308361564,97,0.3898569566864161,COMPLETE
34,34,1.427529462183222,2022-03-27 18:13:26.277619,2022-03-27 18:14:27.482801,0 days 00:01:01.205182,136,0.27131094731827066,237,0.4642927645203766,COMPLETE
35,35,1.4426174168509733,2022-03-27 18:14:27.483696,2022-03-27 18:14:38.518638,0 days 00:00:11.034942,51,0.1784854612103921,169,0.30542970563104965,COMPLETE
36,36,1.4440681387489192,2022-03-27 18:14:38.519197,2022-03-27 18:15:18.259180,0 days 00:00:39.739983,83,0.46395831506445484,318,0.5452415972646175,COMPLETE
37,37,1.4118978841798475,2022-03-27 18:15:18.260159,2022-03-27 18:18:22.493817,0 days 00:03:04.233658,271,0.3401872801957461,237,0.4031736250403404,COMPLETE
38,38,1.4381156566769606,2022-03-27 18:18:22.494693,2022-03-27 18:18:40.349859,0 days 00:00:17.855166,179,0.7577233389174909,46,0.7651503010348335,COMPLETE
39,39,1.4295936014447341,2022-03-27 18:18:40.350477,2022-03-27 18:18:42.501900,0 days 00:00:02.151423,26,0.31864922199754164,78,0.6414966954269191,COMPLETE
40,40,1.4198071752015489,2022-03-27 18:18:42.502475,2022-03-27 18:19:08.238460,0 days 00:00:25.735985,104,0.23193319138086071,151,0.4866843048777142,COMPLETE
41,41,1.4434938785815599,2022-03-27 18:19:08.239356,2022-03-27 18:19:39.322418,0 days 00:00:31.083062,70,0.4449041864603631,320,0.5534840132820694,COMPLETE
42,42,1.4271858434020415,2022-03-27 18:19:39.323026,2022-03-27 18:20:04.692072,0 days 00:00:25.369046,55,0.4843151411601625,357,0.5510204258984562,COMPLETE
43,43,1.4477215423441097,2022-03-27 18:20:04.693025,2022-03-27 18:20:44.360665,0 days 00:00:39.667640,90,0.3739455383104681,284,0.43808642274821374,COMPLETE
44,44,1.4404394061930113,2022-03-27 18:20:44.361298,2022-03-27 18:20:49.797122,0 days 00:00:05.435824,26,0.36540858026739864,194,0.4246395451724215,COMPLETE
45,45,1.4215837749681723,2022-03-27 18:20:49.797686,2022-03-27 18:21:46.101030,0 days 00:00:56.303344,118,0.24563154128821996,271,0.35385045056151027,COMPLETE
46,46,1.4424002902237185,2022-03-27 18:21:46.101953,2022-03-27 18:22:53.602570,0 days 00:01:07.500617,149,0.4149886850060731,231,0.4485184648348061,COMPLETE
47,47,1.393784642299179,2022-03-27 18:22:53.603502,2022-03-27 18:23:45.784612,0 days 00:00:52.181110,90,0.9510040075689749,380,0.39606641840486073,COMPLETE
48,48,1.4375574427926874,2022-03-27 18:23:45.785509,2022-03-27 18:25:30.938541,0 days 00:01:45.153032,168,0.29384122703413795,299,0.22429455139596455,COMPLETE
49,49,1.4095268471828863,2022-03-27 18:25:30.939442,2022-03-27 18:25:34.729026,0 days 00:00:03.789584,20,0.21324316023767845,188,0.3192248301909875,COMPLETE
