,number,value,datetime_start,datetime_complete,duration,params_iterations,params_swarm_size,state
0,0,2.2192974676685417,2022-03-27 22:47:43.911680,2022-03-27 22:47:47.162767,0 days 00:00:03.251087000,137.99862286571457,46.657801030105645,COMPLETE
1,1,2.4007238922065928,2022-03-27 22:47:47.163144,2022-03-27 22:47:51.128932,0 days 00:00:03.965788000,149.08325033565208,52.58733231557957,COMPLETE
2,2,2.4518971475019433,2022-03-27 22:47:51.129568,2022-03-27 22:47:59.695738,0 days 00:00:08.566170000,172.37667196796951,97.31114111737601,COMPLETE
3,3,2.393564939393253,2022-03-27 22:47:59.696102,2022-03-27 22:48:06.190707,0 days 00:00:06.494605000,132.8615172795865,96.61666956003126,COMPLETE
4,4,2.4713412168715068,2022-03-27 22:48:06.191205,2022-03-27 22:48:15.153660,0 days 00:00:08.962455000,192.4681340264804,92.8687956848694,COMPLETE
5,5,2.43245307813238,2022-03-27 22:48:15.154094,2022-03-27 22:48:23.232858,0 days 00:00:08.078764000,160.87654730767917,99.51510262513767,COMPLETE
6,6,2.2020797442417925,2022-03-27 22:48:23.233247,2022-03-27 22:48:28.116219,0 days 00:00:04.882972000,166.08870442276293,57.6157522373839,COMPLETE
7,7,2.4429042654185205,2022-03-27 22:48:28.116606,2022-03-27 22:48:33.971581,0 days 00:00:05.854975000,174.57314635694888,66.0965203773439,COMPLETE
8,8,2.203386983982485,2022-03-27 22:48:33.971952,2022-03-27 22:48:35.712126,0 days 00:00:01.740174000,193.68875680831425,17.132071565151136,COMPLETE
9,9,2.2963445925454367,2022-03-27 22:48:35.712513,2022-03-27 22:48:36.815559,0 days 00:00:01.103046000,168.85186456634258,12.375024490178028,COMPLETE
10,10,2.380965182441776,2022-03-27 22:48:36.815928,2022-03-27 22:48:41.090607,0 days 00:00:04.274679000,111.15041318513795,76.7800788440959,COMPLETE
11,11,2.3683686661685273,2022-03-27 22:48:41.090979,2022-03-27 22:48:49.411767,0 days 00:00:08.320788000,197.36696603861313,82.33955285354878,COMPLETE
12,12,2.461707564320223,2022-03-27 22:48:49.412432,2022-03-27 22:48:57.387389,0 days 00:00:07.974957000,184.4724133869349,85.82817876693326,COMPLETE
13,13,2.49078528624107,2022-03-27 22:48:57.387765,2022-03-27 22:49:05.167082,0 days 00:00:07.779317000,186.87535764880226,81.15306170130714,COMPLETE
14,14,2.441379673615679,2022-03-27 22:49:05.167450,2022-03-27 22:49:11.926549,0 days 00:00:06.759099000,184.85786728959835,72.14364269672765,COMPLETE
15,15,2.2378568318817895,2022-03-27 22:49:11.926938,2022-03-27 22:49:15.253173,0 days 00:00:03.326235000,185.12709013806654,35.71574767810387,COMPLETE
16,16,2.452519357721769,2022-03-27 22:49:15.253539,2022-03-27 22:49:19.955266,0 days 00:00:04.701727000,107.3387201250201,86.14214103115563,COMPLETE
17,17,2.434630813901771,2022-03-27 22:49:19.955667,2022-03-27 22:49:26.769702,0 days 00:00:06.814035000,199.14992273246108,67.26181544670851,COMPLETE
18,18,2.480172065043517,2022-03-27 22:49:26.770070,2022-03-27 22:49:33.701567,0 days 00:00:06.931497000,154.6756138946935,88.7809733201507,COMPLETE
19,19,2.3352327312845627,2022-03-27 22:49:33.701941,2022-03-27 22:49:36.665283,0 days 00:00:02.963342000,155.08013349624272,37.99147372763621,COMPLETE
20,20,2.4441943046363086,2022-03-27 22:49:36.665656,2022-03-27 22:49:41.460383,0 days 00:00:04.794727000,120.22174709379209,78.07033795083005,COMPLETE
21,21,2.3630766386217776,2022-03-27 22:49:41.460759,2022-03-27 22:49:49.671179,0 days 00:00:08.210420000,178.48987939244262,90.46041059662053,COMPLETE
22,22,2.398853726261774,2022-03-27 22:49:49.671832,2022-03-27 22:49:56.698633,0 days 00:00:07.026801000,149.8046474729504,92.03693036251471,COMPLETE
23,23,2.3870025659810254,2022-03-27 22:49:56.699004,2022-03-27 22:50:01.283676,0 days 00:00:04.584672000,139.1044311883233,64.45257299351886,COMPLETE
24,24,2.3803960015020493,2022-03-27 22:50:01.284190,2022-03-27 22:50:08.901325,0 days 00:00:07.617135000,189.97758021574268,79.82107537635225,COMPLETE
25,25,2.4713412168715068,2022-03-27 22:50:08.901770,2022-03-27 22:50:16.365297,0 days 00:00:07.463527000,161.21120308163108,91.30272356371492,COMPLETE
26,26,2.393564939393253,2022-03-27 22:50:16.365704,2022-03-27 22:50:22.215391,0 days 00:00:05.849687000,158.80967596473917,72.20692808701192,COMPLETE
27,27,2.275199167106036,2022-03-27 22:50:22.215784,2022-03-27 22:50:30.145624,0 days 00:00:07.929840000,178.10280056138598,86.39416200791777,COMPLETE
28,28,2.4167422700817727,2022-03-27 22:50:30.146004,2022-03-27 22:50:33.813476,0 days 00:00:03.667472000,123.2751758858152,58.03440360488011,COMPLETE
29,29,2.306590121405552,2022-03-27 22:50:33.813866,2022-03-27 22:50:37.075069,0 days 00:00:03.261203000,141.98338446162063,45.663041423509284,COMPLETE
30,30,2.421051782911136,2022-03-27 22:50:37.075445,2022-03-27 22:50:44.195602,0 days 00:00:07.120157000,189.89145577023302,74.16858240061656,COMPLETE
31,31,2.5430191271383973,2022-03-27 22:50:44.196000,2022-03-27 22:50:51.666351,0 days 00:00:07.470351000,162.1882057838652,91.96691454058197,COMPLETE
32,32,2.4429042654185205,2022-03-27 22:50:51.667035,2022-03-27 22:50:58.907488,0 days 00:00:07.240453000,164.7115416120194,87.70518644099486,COMPLETE
33,33,2.285580911287285,2022-03-27 22:50:58.907872,2022-03-27 22:51:06.266312,0 days 00:00:07.358440000,154.07172960703366,94.14841131983702,COMPLETE
34,34,2.49078528624107,2022-03-27 22:51:06.266694,2022-03-27 22:51:12.375868,0 days 00:00:06.109174000,146.99179576194194,82.32172674298832,COMPLETE
35,35,2.4167422700817727,2022-03-27 22:51:12.376240,2022-03-27 22:51:18.429670,0 days 00:00:06.053430000,143.82339727404172,83.7532452958229,COMPLETE
36,36,2.3352327312845627,2022-03-27 22:51:18.430044,2022-03-27 22:51:25.039336,0 days 00:00:06.609292000,131.8162940544777,99.42116556189714,COMPLETE
37,37,2.349734766356029,2022-03-27 22:51:25.039721,2022-03-27 22:51:30.485601,0 days 00:00:05.445880000,133.3991115511379,80.16599312813378,COMPLETE
38,38,2.522691236433854,2022-03-27 22:51:30.485978,2022-03-27 22:51:37.517894,0 days 00:00:07.031916000,147.94633806725363,94.43148864972981,COMPLETE
39,39,2.349734766356029,2022-03-27 22:51:37.518302,2022-03-27 22:51:44.786230,0 days 00:00:07.267928000,148.94265211567492,96.27767244187218,COMPLETE
40,40,2.4429042654185205,2022-03-27 22:51:44.786612,2022-03-27 22:51:49.202759,0 days 00:00:04.416147000,127.74108592667272,68.5336773457056,COMPLETE
41,41,2.398853726261774,2022-03-27 22:51:49.203135,2022-03-27 22:51:55.930656,0 days 00:00:06.727521000,147.59425114845524,89.83794262684854,COMPLETE
42,42,2.480172065043517,2022-03-27 22:51:55.931322,2022-03-27 22:52:03.902259,0 days 00:00:07.970937000,156.22245480102015,99.62698065733599,COMPLETE
43,43,2.3630766386217776,2022-03-27 22:52:03.902767,2022-03-27 22:52:12.573040,0 days 00:00:08.670273000,172.4443726878829,99.36338976877643,COMPLETE
44,44,2.488296445361766,2022-03-27 22:52:12.573465,2022-03-27 22:52:19.511856,0 days 00:00:06.938391000,144.6212258711833,94.01138885627714,COMPLETE
45,45,2.4293281384122714,2022-03-27 22:52:19.512255,2022-03-27 22:52:26.475466,0 days 00:00:06.963211000,144.12092149132013,95.12676485583367,COMPLETE
46,46,2.339740220092962,2022-03-27 22:52:26.475858,2022-03-27 22:52:32.289027,0 days 00:00:05.813169000,139.2832269764175,82.83258799220035,COMPLETE
47,47,2.331100866543531,2022-03-27 22:52:32.289408,2022-03-27 22:52:37.618844,0 days 00:00:05.329436000,168.01954845062286,62.09167364916111,COMPLETE
48,48,2.421051782911136,2022-03-27 22:52:37.619224,2022-03-27 22:52:42.925323,0 days 00:00:05.306099000,134.5884328245155,77.16801186017214,COMPLETE
