,47368
Returns,0.2918975535286907
Standard Deviation,0.1827965387568198
Sharpe Ratio,1.400997826711509
ASIANPAINT Weight,0.02639222805488501
BAJFINANCE Weight,0.07660956047718089
BAJAJFINSV Weight,0.0715878272349513
BRITANNIA Weight,0.04145742778157377
DIVISLAB Weight,0.02137049481265542
GRASIM Weight,0.01634876157042583
HCLTECH Weight,0.02137049481265542
HDFCBANK Weight,0.01634876157042583
HINDALCO Weight,0.006305295085966653
HINDUNILVR Weight,0.07660956047718089
ICICIBANK Weight,0.011327028328196242
INFY Weight,0.0715878272349513
JSWSTEEL Weight,0.0715878272349513
LT Weight,0.011327028328196242
NESTLEIND Weight,0.06656609399272172
POWERGRID Weight,0.006305295085966653
RELIANCE Weight,0.04647916102380336
TCS Weight,0.05652262750826254
TATACONSUM Weight,0.05652262750826254
TATASTEEL Weight,0.02639222805488501
TECHM Weight,0.07660956047718089
TITAN Weight,0.05652262750826254
ULTRACEMCO Weight,0.006305295085966653
WIPRO Weight,0.061544360750492126
