,5376
Returns,0.24025509226203426
Standard Deviation,0.17569209348084341
Sharpe Ratio,1.1637125394281163
ASIANPAINT Weight,0.032059621648799656
BAJFINANCE Weight,0.07717096347182734
BAJAJFINSV Weight,0.052109106903478634
BRITANNIA Weight,0.06213384953081811
DIVISLAB Weight,0.06714622084448785
GRASIM Weight,0.006997765080450944
HCLTECH Weight,0.01702250770779043
HDFCBANK Weight,0.022034879021460174
HINDALCO Weight,0.042084364276139145
HINDUNILVR Weight,0.0370719929624694
ICICIBANK Weight,0.02704725033512992
INFY Weight,0.07215859215815759
JSWSTEEL Weight,0.06714622084448785
LT Weight,0.012010136394120687
NESTLEIND Weight,0.04709673558980889
POWERGRID Weight,0.05712147821714837
RELIANCE Weight,0.05712147821714837
TCS Weight,0.042084364276139145
TATACONSUM Weight,0.04709673558980889
TATASTEEL Weight,0.02704725033512992
TECHM Weight,0.0370719929624694
TITAN Weight,0.04709673558980889
ULTRACEMCO Weight,0.006997765080450944
WIPRO Weight,0.0370719929624694
