,number,value,datetime_start,datetime_complete,duration,params_ANTS,params_EVA_RATE,params_ITERATIONS,params_Q,state
15,15,1.45779702286026,2022-03-19 22:13:34.786413,2022-03-19 22:17:02.973378,0 days 00:03:28.186965000,227,0.467258240360294,400,0.10872391909261,COMPLETE
21,21,1.45207260011591,2022-03-19 22:26:34.852766,2022-03-19 22:29:59.931893,0 days 00:03:25.079127000,213,0.732317037954061,436,0.227606181613597,COMPLETE
32,32,1.45027378200231,2022-03-19 23:07:24.686480,2022-03-19 23:10:02.607761,0 days 00:02:37.921281000,182,0.737476083267768,433,0.191963095863311,COMPLETE
5,5,1.4483891703567,2022-03-19 21:24:26.385445,2022-03-19 21:25:15.693705,0 days 00:00:49.308260000,102,0.203514454482683,327,0.230482377542446,COMPLETE
41,41,1.44753812350079,2022-03-19 23:29:00.653560,2022-03-19 23:33:12.190204,0 days 00:04:11.536644000,247,0.713063506161817,420,0.202486393580087,COMPLETE
17,17,1.44709406262709,2022-03-19 22:17:56.313488,2022-03-19 22:21:43.545017,0 days 00:03:47.231529000,229,0.704542203474749,430,0.221266003660603,COMPLETE
49,49,1.44469522625805,2022-03-19 23:58:57.658229,2022-03-20 00:01:44.607426,0 days 00:02:46.949197000,248,0.312127612138393,276,0.130717961927084,COMPLETE
6,6,1.44369206614034,2022-03-19 21:25:15.694201,2022-03-19 21:37:13.453358,0 days 00:11:57.759157000,459,0.462094607002083,407,0.940648413241398,COMPLETE
28,28,1.44109875636702,2022-03-19 22:51:13.643459,2022-03-19 22:51:40.497813,0 days 00:00:26.854354000,75,0.611006636800321,278,0.279739031656656,COMPLETE
20,20,1.44086007656706,2022-03-19 22:26:26.346946,2022-03-19 22:26:34.851993,0 days 00:00:08.505047000,29,0.171741449439454,298,0.409683793202982,COMPLETE
23,23,1.44079170989612,2022-03-19 22:33:51.963497,2022-03-19 22:39:58.820855,0 days 00:06:06.857358000,318,0.635247999443982,396,0.187252916137181,COMPLETE
18,18,1.43983757503159,2022-03-19 22:21:43.545813,2022-03-19 22:22:28.889439,0 days 00:00:45.343626000,127,0.426658497264426,218,0.332369520660238,COMPLETE
31,31,1.43792124472798,2022-03-19 23:03:45.338258,2022-03-19 23:07:24.685662,0 days 00:03:39.347404000,224,0.691784828698739,430,0.221724612165058,COMPLETE
48,48,1.43781572129699,2022-03-19 23:49:09.194703,2022-03-19 23:58:57.657393,0 days 00:09:48.462690000,409,0.162716061860606,408,0.648670478955731,COMPLETE
40,40,1.43759734535978,2022-03-19 23:23:52.049958,2022-03-19 23:29:00.652726,0 days 00:05:08.602768000,327,0.564400149681859,318,0.236869587773641,COMPLETE
27,27,1.43670272990222,2022-03-19 22:49:10.202447,2022-03-19 22:51:13.642641,0 days 00:02:03.440194000,144,0.372593929958592,491,0.185940634083016,COMPLETE
19,19,1.4362991219205,2022-03-19 22:22:28.890252,2022-03-19 22:26:26.346126,0 days 00:03:57.455874000,259,0.25269121100193,362,0.16564217241852,COMPLETE
34,34,1.43583138199148,2022-03-19 23:12:11.636893,2022-03-19 23:13:20.898985,0 days 00:01:09.262092000,104,0.779950716192081,448,0.272186414167801,COMPLETE
30,30,1.43311755270107,2022-03-19 22:59:42.020793,2022-03-19 23:03:45.337430,0 days 00:04:03.316637000,253,0.416934494872136,389,0.389657304491248,COMPLETE
47,47,1.43273394444909,2022-03-19 23:47:44.373760,2022-03-19 23:49:09.193880,0 days 00:01:24.820120000,118,0.49813840950379,454,0.248067461962367,COMPLETE
3,3,1.43241651650771,2022-03-19 21:20:42.307950,2022-03-19 21:23:00.178959,0 days 00:02:17.871009000,194,0.284273672689658,341,0.131062932700315,COMPLETE
16,16,1.43112060393347,2022-03-19 22:17:02.974196,2022-03-19 22:17:56.312698,0 days 00:00:53.338502000,106,0.210281988505448,335,0.105173218695442,COMPLETE
37,37,1.4289219532156,2022-03-19 23:18:17.960723,2022-03-19 23:18:38.229071,0 days 00:00:20.268348000,49,0.609448420417147,368,0.324377957357469,COMPLETE
