,number,value,datetime_start,datetime_complete,duration,params_iterations,params_swarm_size,state
0,0,1.434132689205547,2022-03-22 23:10:58.770231,2022-03-22 23:11:13.956998,0 days 00:00:15.186767000,452.51186280260475,66.90224061892032,COMPLETE
1,1,1.4038999341086915,2022-03-22 23:11:13.957688,2022-03-22 23:11:29.160922,0 days 00:00:15.203234000,498.7213102655747,60.5195494460311,COMPLETE
2,2,1.474788470614634,2022-03-22 23:11:29.161607,2022-03-22 23:11:35.352967,0 days 00:00:06.191360000,276.80774362209377,44.12570314310589,COMPLETE
3,3,1.473623335415715,2022-03-22 23:11:35.353357,2022-03-22 23:11:43.381306,0 days 00:00:08.027949000,175.34734245157256,90.04891186926575,COMPLETE
4,4,1.4878917190822925,2022-03-22 23:11:43.382000,2022-03-22 23:11:46.991798,0 days 00:00:03.609798000,143.18935763552827,49.48750203093072,COMPLETE
5,5,1.3657215185652565,2022-03-22 23:11:46.992213,2022-03-22 23:11:49.919486,0 days 00:00:02.927273000,463.89487817244606,12.075859011934758,COMPLETE
6,6,1.4730097801779864,2022-03-22 23:11:49.919866,2022-03-22 23:11:56.283274,0 days 00:00:06.363408000,211.74306143546448,59.468631476612515,COMPLETE
7,7,1.4001225643729451,2022-03-22 23:11:56.283645,2022-03-22 23:11:59.173080,0 days 00:00:02.889435000,368.88723802504376,15.482256787581191,COMPLETE
8,8,1.411589579642175,2022-03-22 23:11:59.173447,2022-03-22 23:12:10.048072,0 days 00:00:10.874625000,280.227770156373,76.14834921574278,COMPLETE
9,9,1.384282082814986,2022-03-22 23:12:10.048882,2022-03-22 23:12:12.919481,0 days 00:00:02.870599000,231.29712730590342,24.335480561155865,COMPLETE
10,10,1.4230565949114047,2022-03-22 23:12:12.919924,2022-03-22 23:12:15.205648,0 days 00:00:02.285724000,119.917929710221,37.834186304956404,COMPLETE
11,11,1.4001225643729451,2022-03-22 23:12:15.206056,2022-03-22 23:12:17.399795,0 days 00:00:02.193739000,103.87240807962178,41.707793542679674,COMPLETE
12,12,1.3901682192030607,2022-03-22 23:12:17.400180,2022-03-22 23:12:24.819546,0 days 00:00:07.419366000,354.92982195416135,41.774510754273734,COMPLETE
13,13,1.4574576407190938,2022-03-22 23:12:24.819924,2022-03-22 23:12:32.038540,0 days 00:00:07.218616000,299.18752045309935,47.708375850515964,COMPLETE
14,14,1.4001225643729451,2022-03-22 23:12:32.038923,2022-03-22 23:12:34.590942,0 days 00:00:02.552019000,167.38331000986148,29.72477349792552,COMPLETE
15,15,1.4545622193636132,2022-03-22 23:12:34.591447,2022-03-22 23:12:49.061930,0 days 00:00:14.470483000,363.54452904669733,78.38718677956734,COMPLETE
16,16,1.440900389403523,2022-03-22 23:12:49.062697,2022-03-22 23:12:55.864947,0 days 00:00:06.802250000,251.35922457672496,53.95648456625363,COMPLETE
17,17,1.3986605199261184,2022-03-22 23:12:55.865350,2022-03-22 23:12:58.406668,0 days 00:00:02.541318000,168.1144096677416,29.294797844796236,COMPLETE
18,18,1.4258833475126567,2022-03-22 23:12:58.407072,2022-03-22 23:13:06.925698,0 days 00:00:08.518626000,334.4114127942381,50.898611483852065,COMPLETE
19,19,1.4433818794761142,2022-03-22 23:13:06.926095,2022-03-22 23:13:20.877925,0 days 00:00:13.951830000,406.6085153860945,68.40672981523144,COMPLETE
20,20,1.4954386327571765,2022-03-22 23:13:20.878307,2022-03-22 23:13:30.206030,0 days 00:00:09.327723000,201.9822521291275,91.79308405744018,COMPLETE
21,21,1.4433818794761142,2022-03-22 23:13:30.206415,2022-03-22 23:13:40.429099,0 days 00:00:10.222684000,206.23120488966214,97.03908042925556,COMPLETE
22,22,1.4518080380742537,2022-03-22 23:13:40.429483,2022-03-22 23:13:46.096605,0 days 00:00:05.667122000,139.84985158857597,79.83556035419025,COMPLETE
23,23,1.467484612210327,2022-03-22 23:13:46.097282,2022-03-22 23:13:50.547161,0 days 00:00:04.449879000,255.39915593652142,34.94108590920631,COMPLETE
24,24,1.4636928302717374,2022-03-22 23:13:50.547536,2022-03-22 23:13:55.686949,0 days 00:00:05.139413000,205.80329967204023,49.14192416007525,COMPLETE
25,25,1.4518080380742537,2022-03-22 23:13:55.687326,2022-03-22 23:14:08.240460,0 days 00:00:12.553134000,283.1147386123919,87.67420292751422,COMPLETE
26,26,1.3972697947206003,2022-03-22 23:14:08.240977,2022-03-22 23:14:12.860712,0 days 00:00:04.619735000,135.13856129368995,67.26415845801334,COMPLETE
27,27,1.4362836636870742,2022-03-22 23:14:12.861156,2022-03-22 23:14:18.217832,0 days 00:00:05.356676000,179.07459610013544,59.157928416469055,COMPLETE
28,28,1.408177443391331,2022-03-22 23:14:18.218221,2022-03-22 23:14:25.326166,0 days 00:00:07.107945000,315.32739131759126,44.8106859093308,COMPLETE
