,233
Returns,34.599999999999994
Standard Deviation,21.01903898849802
Sharpe Ratio,1.4758048651498612
ASIANPAINT Weight,0.018624372415703066
BAJFINANCE Weight,26.57473239706351
BAJAJFINSV Weight,0.010642866864477558
BRITANNIA Weight,0.09842572858017136
DIVISLAB Weight,0.6471469338015343
GRASIM Weight,0.587359222534482
HCLTECH Weight,4.869383646265155
HDFCBANK Weight,0.2310338540121569
HINDALCO Weight,0.5418234924497665
HINDUNILVR Weight,0.909801763912551
ICICIBANK Weight,0.00011420976764721632
INFY Weight,1.4271373894878439
JSWSTEEL Weight,0.01232838231137303
LT Weight,0.1568877133863198
NESTLEIND Weight,0.21137891415416907
POWERGRID Weight,0.7216899605140707
RELIANCE Weight,0.16773871226089193
TCS Weight,37.81631304677746
TATACONSUM Weight,11.572186309022122
TATASTEEL Weight,0.05613496859122679
TECHM Weight,1.6456501209032575
TITAN Weight,8.74562189294715
ULTRACEMCO Weight,2.0818187873892424
WIPRO Weight,0.8960253145877008
