,9270
Returns,30.169459280157472
Standard Deviation,11.479328946522706
Sortino Ratio,231.62903863132084
ASIANPAINT Weight,6.674622803900256
BAJFINANCE Weight,6.173031576453537
BAJAJFINSV Weight,2.6618929843265144
BRITANNIA Weight,6.173031576453537
DIVISLAB Weight,2.6618929843265144
GRASIM Weight,1.1571193019863615
HCLTECH Weight,4.166666666666667
HDFCBANK Weight,1.1571193019863615
HINDALCO Weight,3.6650754392199496
HINDUNILVR Weight,6.674622803900256
ICICIBANK Weight,2.1603017568797966
INFY Weight,5.169849121560103
JSWSTEEL Weight,6.173031576453537
LT Weight,1.658710529433079
NESTLEIND Weight,6.173031576453537
POWERGRID Weight,2.6618929843265144
RELIANCE Weight,6.173031576453537
TCS Weight,2.6618929843265144
TATACONSUM Weight,7.176214031346973
TATASTEEL Weight,2.1603017568797966
TECHM Weight,3.6650754392199496
TITAN Weight,7.176214031346973
ULTRACEMCO Weight,3.6650754392199496
WIPRO Weight,2.1603017568797966
