,number,value,datetime_start,datetime_complete,duration,params_iterations,params_swarm_size,state
0,0,2.396199297178807,2022-03-27 16:49:48.380818,2022-03-27 16:49:50.201027,0 days 00:00:01.820209000,181.46123921156695,19.537702685169798,COMPLETE
1,1,2.4429042654185205,2022-03-27 16:49:50.201394,2022-03-27 16:49:56.368773,0 days 00:00:06.167379000,138.81308367914676,87.17642638342953,COMPLETE
2,2,2.452519357721769,2022-03-27 16:49:56.369533,2022-03-27 16:50:02.608380,0 days 00:00:06.238847000,165.2928043800635,72.58901898580787,COMPLETE
3,3,2.1841912004217945,2022-03-27 16:50:02.608910,2022-03-27 16:50:04.794477,0 days 00:00:02.185567000,155.5897672833975,27.401562984479774,COMPLETE
4,4,2.2822800490347857,2022-03-27 16:50:04.794932,2022-03-27 16:50:08.098395,0 days 00:00:03.303463000,106.71455751573772,61.65514560418561,COMPLETE
5,5,2.3015528254122835,2022-03-27 16:50:08.098795,2022-03-27 16:50:10.243336,0 days 00:00:02.144541000,150.08390410633467,27.40322809489957,COMPLETE
6,6,2.2192974676685417,2022-03-27 16:50:10.243706,2022-03-27 16:50:11.775083,0 days 00:00:01.531377000,189.08834110758102,15.134375313804746,COMPLETE
7,7,2.267372929184787,2022-03-27 16:50:11.775474,2022-03-27 16:50:16.752642,0 days 00:00:04.977168000,133.02245518319745,72.10729982140938,COMPLETE
8,8,2.3094110071617826,2022-03-27 16:50:16.753010,2022-03-27 16:50:17.901608,0 days 00:00:01.148598000,149.5175930427777,14.544480932604683,COMPLETE
9,9,2.2378568318817895,2022-03-27 16:50:17.901973,2022-03-27 16:50:18.763595,0 days 00:00:00.861622000,129.82259731038243,12.861138603169369,COMPLETE
10,10,2.3194123293884186,2022-03-27 16:50:18.763956,2022-03-27 16:50:26.965613,0 days 00:00:08.201657000,172.35854063851048,93.2695591692856,COMPLETE
11,11,2.4615381652310186,2022-03-27 16:50:26.965983,2022-03-27 16:50:34.391443,0 days 00:00:07.425460000,166.29159185222946,88.9148293320731,COMPLETE
12,12,2.299084438683875,2022-03-27 16:50:34.391818,2022-03-27 16:50:41.024517,0 days 00:00:06.632699000,168.32516978018373,77.09155103468083,COMPLETE
13,13,2.380965182441776,2022-03-27 16:50:41.024904,2022-03-27 16:50:45.603681,0 days 00:00:04.578777000,196.07490557242477,45.8013383598761,COMPLETE
14,14,2.461707564320223,2022-03-27 16:50:45.604051,2022-03-27 16:50:52.365950,0 days 00:00:06.761899000,164.94108118517818,81.93672490535835,COMPLETE
15,15,2.49078528624107,2022-03-27 16:50:52.366318,2022-03-27 16:51:01.248168,0 days 00:00:08.881850000,180.38982306581704,98.44355811929181,COMPLETE
16,16,2.4704079015417677,2022-03-27 16:51:01.248844,2022-03-27 16:51:05.783868,0 days 00:00:04.535024000,180.69766347812,49.530646157590304,COMPLETE
