,Returns,Semi Deviation,Sortino Ratio,ASIANPAINT Weight,BAJFINANCE Weight,BAJAJFINSV Weight,BRITANNIA Weight,DIVISLAB Weight,GRASIM Weight,HCLTECH Weight,HDFCBANK Weight,HINDALCO Weight,HINDUNILVR Weight,ICICIBANK Weight,INFY Weight,JSWSTEEL Weight,LT Weight,NESTLEIND Weight,POWERGRID Weight,RELIANCE Weight,TCS Weight,TATACONSUM Weight,TATASTEEL Weight,TECHM Weight,TITAN Weight,ULTRACEMCO Weight,WIPRO Weight
24,23.5,11.430952132988166,1.7426369884371748,4.277136107482958,5.621462545002164,4.490734560640279,5.010371311999047,4.200702652220071,2.145115848301814,5.000164427097372,2.8426594253176685,5.424786623578683,5.045514504057068,3.8869326813892573,1.615348490790827,7.439228455123022,3.6588873682097725,5.11257253952385,4.892386473151842,5.227493771223131,6.0758683694486955,2.089579546449684,2.4833566063040773,5.5540888044475585,3.4657974648889525,2.323187137849886,2.116624285502329
23,23.5,11.430952132988166,1.7426369884371748,4.2768279349030145,5.620086509532818,4.491413017854138,5.010399766229569,4.200318321450781,2.1448823810915276,5.000218900570521,2.842510569052255,5.424658721396039,5.04406262010192,3.8865238167758944,1.6157740577532422,7.436780845511589,3.6584362099031797,5.112973725285165,4.891268595887981,5.228651838419552,6.075579639618234,2.0898358496496185,2.4852340124908183,5.554546409709791,3.467441492743039,2.3237994789792737,2.117775285090012
7,23.333333333333332,11.430952132988166,1.7280566923491798,4.236836842577192,5.441520455705278,4.579455390357702,5.014092228940379,4.150444295405994,2.1145856922579154,5.007287841274126,2.8231937153123376,5.408061047470426,4.855653822318716,3.833466070675321,1.6709992425765345,7.119158226501626,3.5998900748257343,5.165034998301836,4.746203344215144,5.378932477210871,6.038111603658532,2.123095930523619,2.7288621904461436,5.6139291565272895,3.680784515381177,2.403262066613944,2.267138770922153
6,23.333333333333332,11.430952132988166,1.7280566923491798,4.226025686188307,5.393247067272998,4.603256687162238,5.015090446030863,4.136961395491172,2.1063953123008745,5.009198852427004,2.8179716142248763,5.403574047039441,4.8047195552254225,3.8191224867076325,1.685928770003926,7.033292409714555,3.584062764655506,5.1791091966208525,4.706986532890005,5.419559211658568,6.027982528087291,2.132087431253485,2.7947244157425857,5.629982635572447,3.7384594786811673,2.4247439119955265,2.30751756305326
5,23.333333333333332,11.430952132988166,1.7280566923491798,4.211353434884885,5.327733327496348,4.635558375853237,5.016445166236556,4.118663214544262,2.0952798211658323,5.0117923618417315,2.810884492669047,5.397484559888033,4.73559463094658,3.7996562371228957,1.7061902268154479,6.9167604868604275,3.5625828910951207,5.198209852203182,4.65376383493025,5.474695372492093,6.014235955851468,2.1442901553246245,2.884108667176175,5.651769451928829,3.8167324704883216,2.453897780699513,2.36231723148515
4,23.333333333333332,11.430952132988166,1.7280566923491798,4.1905990928144,5.235062166300778,4.681250088916449,5.018361458833875,4.092779885613601,2.0795566236464236,5.015460959144432,2.8008595454388647,5.388870796617452,4.6378153403379985,3.7721206398681755,1.734850668680603,6.751922566691909,3.5321989619840495,5.225228305713019,4.578478723155125,5.552687135223511,5.994791014746053,2.161551276629511,3.0105453871861596,5.682587560884044,3.92745197857547,2.4951368074342453,2.4398330155638566
3,23.333333333333332,11.430952132988166,1.7280566923491798,4.159436227772841,5.095915433546039,4.749856681352425,5.02123879252085,4.053915792328776,2.055948075581875,5.0209693969569935,2.7858069807021955,5.375937139583688,4.490998697018429,3.7307756481467615,1.777884626531065,6.504416678887924,3.4865771697294474,5.265796800609136,4.465437328254759,5.669792595280903,5.965594229160114,2.1874690335915665,3.200391465109874,5.728861278785863,4.09369849587146,2.5570576440579877,2.556223788619041
2,23.166666666666664,11.430952132988166,1.7134763962611848,4.108157165114363,4.866946947556803,4.862750080198042,5.025973497568889,3.989964218169605,2.0170997792566436,5.030033631819991,2.7610377109552364,5.354654571098629,4.249409233339423,3.6627417103727735,1.8486977888674907,6.09714122741334,3.411505678693693,5.33255299869823,4.279425651717088,5.8624917651397785,5.917550386095914,2.230117175264419,3.512786648041008,5.805005525361507,4.367260171468539,2.658949509804594,2.747746927983978
1,23.0,11.430952132988166,1.6988961001731895,4.009518950971665,4.426512950091719,5.079906999090953,5.035080973919259,3.8669497023098467,1.9423728561549465,5.047469206752609,2.7133926018835153,5.3137163316125235,3.7846980623942943,3.5318745342737157,1.9849109625984944,5.313723568920446,3.2671013658045567,5.460962369328101,3.921621537676171,6.233159655624673,5.8251353021470065,2.3121533185366214,4.113696675518183,5.95147334497602,4.893471723315612,2.8549443496449736,3.1161526564540925
0,22.833333333333336,11.430952132988166,1.6843158040851949,4.702066372689904,5.947202429860432,4.472946950565007,4.8044265552520065,3.1389780141943593,2.011235574498155,2.412501175898657,4.39805262469868,3.672958976321562,4.627587674644179,4.078858461455776,3.5349973341958494,6.170951336982668,4.527147296803646,0.9597474791087857,6.969708111031496,4.749884395355154,3.893047531364729,4.4179013352214405,3.2463710693552916,5.218122651059179,4.728050176485954,4.397202921801149,2.9200535511559265
