,number,value,datetime_start,datetime_complete,duration,params_ANTS,params_EVA_RATE,params_ITERATIONS,params_Q,state
0,0,1.104886634059337,2022-02-26 15:25:51.272437,2022-02-26 15:27:23.046180,0 days 00:01:31.773743,123,0.9686510446828932,346,0.3657749301083931,COMPLETE
1,1,1.1607973880204867,2022-02-26 15:27:23.047251,2022-02-26 15:28:16.461983,0 days 00:00:53.414732,93,0.30486908498511367,300,0.5414198490272322,COMPLETE
2,2,1.112194995422277,2022-02-26 15:28:16.463036,2022-02-26 15:28:17.247512,0 days 00:00:00.784476,159,0.19619114181077568,2,0.8290370900463812,COMPLETE
3,3,1.1549220189968454,2022-02-26 15:28:17.248245,2022-02-26 15:30:45.556000,0 days 00:02:28.307755,186,0.24634625218008874,296,0.2923673817842545,COMPLETE
4,4,1.1802146340322823,2022-02-26 15:30:45.557069,2022-02-26 15:36:11.255628,0 days 00:05:25.698559,247,0.5514523399549734,414,0.47964482533185726,COMPLETE
5,5,1.1588910557623198,2022-02-26 15:36:11.256740,2022-02-26 15:39:01.793414,0 days 00:02:50.536674,161,0.20047618987614557,427,0.9777225825428388,COMPLETE
6,6,1.1710899537808697,2022-02-26 15:39:01.794523,2022-02-26 15:58:08.984503,0 days 00:19:07.189980,472,0.5787725994544317,472,0.23194096454860796,COMPLETE
7,7,1.1539850128757168,2022-02-26 15:58:08.985474,2022-02-26 16:03:48.377466,0 days 00:05:39.391992,404,0.17246829232430022,184,0.49141987185085534,COMPLETE
8,8,1.1302649624574421,2022-02-26 16:03:48.378450,2022-02-26 16:05:58.605914,0 days 00:02:10.227464,123,0.6993770093646015,488,0.9193752152813428,COMPLETE
9,9,1.145314824994701,2022-02-26 16:05:58.606974,2022-02-26 16:07:58.019544,0 days 00:01:59.412570,143,0.37438865101566,358,0.6008906318552403,COMPLETE
