,number,value,datetime_start,datetime_complete,duration,params_ANTS,params_EVA_RATE,params_ITERATIONS,params_Q,state
0,0,2.2100530723966765,2022-03-20 00:05:21.647132,2022-03-20 00:10:50.415907,0 days 00:05:28.768775000,340,0.8421874612682417,313,0.7417597923676436,COMPLETE
1,1,2.232403466475389,2022-03-20 00:10:50.417046,2022-03-20 00:11:17.870879,0 days 00:00:27.453833000,83,0.49807849158001616,245,0.9479660631145709,COMPLETE
2,2,2.2878177528969617,2022-03-20 00:11:17.871357,2022-03-20 00:14:03.898139,0 days 00:02:46.026782000,247,0.4370441057047396,275,0.8849869482564655,COMPLETE
3,3,2.231602417966175,2022-03-20 00:14:03.898949,2022-03-20 00:15:24.187805,0 days 00:01:20.288856000,536,0.8920629589382113,34,0.1474578560126515,COMPLETE
4,4,2.2778501586721434,2022-03-20 00:15:24.188581,2022-03-20 00:15:25.917534,0 days 00:00:01.728953000,26,0.27081009863842176,69,0.02406058021122559,COMPLETE
5,5,2.2548555242833577,2022-03-20 00:15:25.918011,2022-03-20 00:17:32.087518,0 days 00:02:06.169507000,202,0.6660494607597537,291,0.7858171765476397,COMPLETE
6,6,2.2436581064843195,2022-03-20 00:17:32.088323,2022-03-20 00:18:08.489664,0 days 00:00:36.401341000,159,0.5173287674040208,123,0.1100639387045863,COMPLETE
7,7,2.1399677816136182,2022-03-20 00:18:08.490479,2022-03-20 00:18:26.525598,0 days 00:00:18.035119000,354,0.3190264554479605,16,0.1287975889608467,COMPLETE
8,8,2.2890919132547056,2022-03-20 00:18:26.526150,2022-03-20 00:19:55.298886,0 days 00:01:28.772736000,319,0.7375781228025483,95,0.21149712742240212,COMPLETE
9,9,2.2386770236327047,2022-03-20 00:19:55.299655,2022-03-20 00:20:23.811222,0 days 00:00:28.511567000,114,0.28960653650769197,160,0.9197930833089947,COMPLETE
10,10,2.2663436152348155,2022-03-20 00:20:23.811761,2022-03-20 00:37:12.866865,0 days 00:16:49.055104000,480,0.02908904732567763,520,0.3420163613913559,COMPLETE
11,11,2.258653751437695,2022-03-20 00:37:12.867652,2022-03-20 00:41:42.162370,0 days 00:04:29.294718000,267,0.6854994020004931,391,0.5186768407577436,COMPLETE
12,12,2.143383781726785,2022-03-20 00:41:42.163182,2022-03-20 00:45:18.902970,0 days 00:03:36.739788000,372,0.9981458966394863,177,0.44220081344525386,COMPLETE
13,13,2.2688398272510564,2022-03-20 00:45:18.903766,2022-03-20 00:49:02.776537,0 days 00:03:43.872771000,233,0.5311767380748996,409,0.6165421426085987,COMPLETE
14,14,2.22683640818481,2022-03-20 00:49:02.777346,2022-03-20 00:54:57.711590,0 days 00:05:54.934244000,441,0.7491702267519973,214,0.29934914682911457,COMPLETE
15,15,2.267691226721212,2022-03-20 00:54:57.712400,2022-03-20 01:00:05.584155,0 days 00:05:07.871755000,303,0.41719696259407,360,0.30042572664207723,COMPLETE
16,16,2.2052775449143196,2022-03-20 01:00:05.584983,2022-03-20 01:02:32.769236,0 days 00:02:27.184253000,415,0.10751199922089494,99,0.7013020730839283,COMPLETE
17,17,2.2413621878118324,2022-03-20 01:02:32.770061,2022-03-20 01:05:41.377658,0 days 00:03:08.607597000,195,0.6542926050902318,462,0.8452892869955602,COMPLETE
18,18,2.316480273283922,2022-03-20 01:05:41.378479,2022-03-20 01:08:16.872890,0 days 00:02:35.494411000,266,0.15953069135943548,228,0.5314986243093137,COMPLETE
19,19,2.2433474665972732,2022-03-20 01:08:16.873701,2022-03-20 01:10:43.710937,0 days 00:02:26.837236000,297,0.1474256851518237,177,0.5235264522973977,COMPLETE
20,20,2.240396354426734,2022-03-20 01:10:43.711744,2022-03-20 01:13:27.049555,0 days 00:02:43.337811000,387,0.17765919098908622,124,0.4365040292003405,COMPLETE
21,21,2.2780059916296813,2022-03-20 01:13:27.050378,2022-03-20 01:16:15.524431,0 days 00:02:48.474053000,262,0.3833869526615148,252,0.5918081446617054,COMPLETE
22,22,2.248803019103124,2022-03-20 01:16:15.525249,2022-03-20 01:21:15.475383,0 days 00:04:59.950134000,317,0.00016926616849516352,323,0.6358687266218122,COMPLETE
23,23,2.226612269675511,2022-03-20 01:21:15.476208,2022-03-20 01:23:02.149000,0 days 00:01:46.672792000,221,0.5661845826368939,210,0.22841523177447776,COMPLETE
24,24,2.232903475780751,2022-03-20 01:23:02.149855,2022-03-20 01:24:13.019195,0 days 00:01:10.869340000,147,0.8269655646919066,270,0.9867624840706606,COMPLETE
25,25,2.268440666145305,2022-03-20 01:24:13.020023,2022-03-20 01:28:02.014371,0 days 00:03:48.994348000,262,0.21284449486666066,343,0.8385650824047536,COMPLETE
26,26,2.2886493186681425,2022-03-20 01:28:02.015241,2022-03-20 01:29:10.824779,0 days 00:01:08.809538000,331,0.4322629683815109,69,0.4279404642501174,COMPLETE
27,27,2.2267676302447326,2022-03-20 01:29:10.825595,2022-03-20 01:31:05.842353,0 days 00:01:55.016758000,448,0.08568626718027343,67,0.41414888117272586,COMPLETE
28,28,2.219050103633648,2022-03-20 01:31:05.843176,2022-03-20 01:31:53.700395,0 days 00:00:47.857219000,330,0.6104042214719949,48,0.21664311991538052,COMPLETE
29,29,2.142238578316134,2022-03-20 01:31:53.700955,2022-03-20 01:31:57.761321,0 days 00:00:04.060366000,394,0.7534178312410162,3,0.33490774207507823,COMPLETE
30,30,2.2346389753281257,2022-03-20 01:31:57.761817,2022-03-20 01:33:41.195559,0 days 00:01:43.433742000,341,0.3521023313972897,98,0.39705349728560463,COMPLETE
31,31,2.2404641839854955,2022-03-20 01:33:41.196392,2022-03-20 01:35:39.134537,0 days 00:01:57.938145000,238,0.4634782026147861,205,0.00813584784522653,COMPLETE
32,32,2.2527033508816157,2022-03-20 01:35:39.135370,2022-03-20 01:37:18.604234,0 days 00:01:39.468864000,289,0.4419613145372576,126,0.700696919761268,COMPLETE
33,33,2.249917198847983,2022-03-20 01:37:18.605069,2022-03-20 01:39:02.478756,0 days 00:01:43.873687000,178,0.9076504652949269,294,0.2246766079886103,COMPLETE
34,34,2.247679600476989,2022-03-20 01:39:02.479573,2022-03-20 01:43:24.988874,0 days 00:04:22.509301000,357,0.5961835437139186,230,0.5543938274364654,COMPLETE
35,35,2.2288500007816663,2022-03-20 01:43:24.989708,2022-03-20 01:45:00.988883,0 days 00:01:35.999175000,246,0.26232754220049126,157,0.4686557593627347,COMPLETE
36,36,2.2484343483551883,2022-03-20 01:45:00.989734,2022-03-20 01:45:01.315936,0 days 00:00:00.326202000,5,0.4742017639914994,77,0.7575781135523713,COMPLETE
37,37,2.258875372220875,2022-03-20 01:45:01.316432,2022-03-20 01:55:24.142647,0 days 00:10:22.826215000,541,0.2319770976822559,259,0.159666431244351,COMPLETE
38,38,2.167714618694324,2022-03-20 01:55:24.143455,2022-03-20 01:55:28.722952,0 days 00:00:04.579497000,74,0.34964870084895083,47,0.6639254901767899,COMPLETE
39,39,2.2284138716086956,2022-03-20 01:55:28.723461,2022-03-20 01:57:51.139733,0 days 00:02:22.416272000,211,0.5144680794065329,306,0.8914119965316125,COMPLETE
40,40,2.277006001029847,2022-03-20 01:57:51.140578,2022-03-20 02:00:13.725330,0 days 00:02:22.584752000,318,0.724226478920419,153,0.09887762368775521,COMPLETE
41,41,2.2345433380815662,2022-03-20 02:00:13.726167,2022-03-20 02:02:50.137668,0 days 00:02:36.411501000,251,0.38180100320451515,249,0.5731967306353419,COMPLETE
