,21216
Returns,0.278423513765647
Standard Deviation,0.17073590031011143
Sharpe Ratio,1.4210456812244203
ASIANPAINT Weight,0.047521872750920624
BAJFINANCE Weight,0.007371888173179235
BAJAJFINSV Weight,0.0525406208231383
BRITANNIA Weight,0.017409384317614584
DIVISLAB Weight,0.047521872750920624
GRASIM Weight,0.01239063624539691
HCLTECH Weight,0.05755936889535598
HDFCBANK Weight,0.07763436118422667
HINDALCO Weight,0.0525406208231383
HINDUNILVR Weight,0.07261561311200901
ICICIBANK Weight,0.017409384317614584
INFY Weight,0.06759686503979133
JSWSTEEL Weight,0.01239063624539691
LT Weight,0.017409384317614584
NESTLEIND Weight,0.04250312467870295
POWERGRID Weight,0.0525406208231383
RELIANCE Weight,0.022428132389832257
TCS Weight,0.07763436118422667
TATACONSUM Weight,0.07261561311200901
TATASTEEL Weight,0.04250312467870295
TECHM Weight,0.017409384317614584
TITAN Weight,0.047521872750920624
ULTRACEMCO Weight,0.007371888173179235
WIPRO Weight,0.05755936889535598
