,242
Returns,28.4
Standard Deviation,16.994116628998402
Sharpe Ratio,1.460505452672231
ASIANPAINT Weight,6.374388110160497
BAJFINANCE Weight,2.5531222356043344
BAJAJFINSV Weight,1.5496103815109212
BRITANNIA Weight,2.8508422518331855
DIVISLAB Weight,2.449714566844485
GRASIM Weight,0.8172328249068184
HCLTECH Weight,2.7218845921648014
HDFCBANK Weight,1.5004335915208835
HINDALCO Weight,0.08946159048872628
HINDUNILVR Weight,7.256012906348379
ICICIBANK Weight,1.8069592501085208
INFY Weight,2.6596738730389338
JSWSTEEL Weight,10.305448181262891
LT Weight,1.9633890648596157
NESTLEIND Weight,10.380775667154984
POWERGRID Weight,6.162535524059059
RELIANCE Weight,11.29675735904867
TCS Weight,9.462940481211975
TATACONSUM Weight,0.4691719462885997
TATASTEEL Weight,0.37390513531297587
TECHM Weight,0.48799333960657987
TITAN Weight,9.995893307557797
ULTRACEMCO Weight,5.200234435075929
WIPRO Weight,1.2716193840304617
