,number,value,datetime_start,datetime_complete,duration,params_iterations,params_swarm_size,state
0,0,1.5459360880805364,2022-03-24 17:02:41.531513,2022-03-24 17:02:57.051778,0 days 00:00:15.520265000,436.8651279957022,70.94669164938605,COMPLETE
1,1,1.5370536836639859,2022-03-24 17:02:57.052479,2022-03-24 17:03:01.990336,0 days 00:00:04.937857000,196.78741317927577,49.490865911987434,COMPLETE
2,2,1.466694958574862,2022-03-24 17:03:01.990761,2022-03-24 17:03:09.430268,0 days 00:00:07.439507000,214.5890934613717,68.16512261409002,COMPLETE
3,3,1.445990625449864,2022-03-24 17:03:09.430941,2022-03-24 17:03:12.441489,0 days 00:00:03.010548000,413.2462018608532,14.521672318413632,COMPLETE
4,4,1.4882852445591626,2022-03-24 17:03:12.441893,2022-03-24 17:03:20.467126,0 days 00:00:08.025233000,199.3875214812429,79.48739390064206,COMPLETE
5,5,1.5281615787693685,2022-03-24 17:03:20.467781,2022-03-24 17:03:32.318978,0 days 00:00:11.851197000,355.1162979617493,66.28378396958922,COMPLETE
6,6,1.4299927407327924,2022-03-24 17:03:32.319379,2022-03-24 17:03:38.341643,0 days 00:00:06.022264000,451.9063057245638,26.65040933677545,COMPLETE
7,7,1.4882852445591626,2022-03-24 17:03:38.342024,2022-03-24 17:03:49.467952,0 days 00:00:11.125928000,337.9628923092525,65.17674215769787,COMPLETE
8,8,1.4190850920620617,2022-03-24 17:03:49.468612,2022-03-24 17:03:52.719240,0 days 00:00:03.250628000,274.42032538637795,23.663739845439153,COMPLETE
9,9,1.465742559251112,2022-03-24 17:03:52.719615,2022-03-24 17:04:08.116103,0 days 00:00:15.396488000,372.501782827765,81.94444254511593,COMPLETE
10,10,1.4230565949114047,2022-03-24 17:04:08.116610,2022-03-24 17:04:14.190382,0 days 00:00:06.073772000,121.602309168718,96.08004008614417,COMPLETE
11,11,1.4338215480212937,2022-03-24 17:04:14.190845,2022-03-24 17:04:24.616143,0 days 00:00:10.425298000,478.73993388402073,43.13856290727322,COMPLETE
12,12,1.4592774061857323,2022-03-24 17:04:24.616552,2022-03-24 17:04:30.990447,0 days 00:00:06.373895000,266.5849518136188,47.3370202451197,COMPLETE
13,13,1.4230565949114047,2022-03-24 17:04:30.991155,2022-03-24 17:04:33.314488,0 days 00:00:02.323333000,114.58832721947378,39.85970781033273,COMPLETE
14,14,1.415483031338239,2022-03-24 17:04:33.314864,2022-03-24 17:04:38.996189,0 days 00:00:05.681325000,206.46513887966418,54.60031792893612,COMPLETE
15,15,1.5078875796096407,2022-03-24 17:04:38.996588,2022-03-24 17:04:59.873137,0 days 00:00:20.876549000,495.5428655961507,83.1766362201895,COMPLETE
16,16,1.4518080380742537,2022-03-24 17:04:59.873541,2022-03-24 17:05:04.880992,0 days 00:00:05.007451000,165.83735935904087,57.00653923417723,COMPLETE
17,17,1.4239687438532753,2022-03-24 17:05:04.881399,2022-03-24 17:05:10.084206,0 days 00:00:05.202807000,293.7562116858731,34.84211767040088,COMPLETE
18,18,1.5424111453307061,2022-03-24 17:05:10.084593,2022-03-24 17:05:29.900025,0 days 00:00:19.815432000,426.9429078828856,92.2079983529022,COMPLETE
19,19,1.525608197375993,2022-03-24 17:05:29.900706,2022-03-24 17:05:50.164507,0 days 00:00:20.263801000,419.68597853169894,95.77058303683219,COMPLETE
20,20,1.5314581125898559,2022-03-24 17:05:50.164922,2022-03-24 17:06:08.266934,0 days 00:00:18.102012000,400.1385210532067,89.04209467612938,COMPLETE
21,21,1.476922899138611,2022-03-24 17:06:08.267463,2022-03-24 17:06:25.175269,0 days 00:00:16.907806000,455.7291848725246,72.40649299367347,COMPLETE
22,22,1.4345236101806342,2022-03-24 17:06:25.175726,2022-03-24 17:06:34.606992,0 days 00:00:09.431266000,321.2184951128263,57.24371032502625,COMPLETE
23,23,1.5159628206641433,2022-03-24 17:06:34.607725,2022-03-24 17:06:49.313439,0 days 00:00:14.705714000,387.3346343343395,74.20350223828991,COMPLETE
24,24,1.494835230915817,2022-03-24 17:06:49.313835,2022-03-24 17:07:01.550493,0 days 00:00:12.236658000,242.3626489284745,99.41454521571599,COMPLETE
25,25,1.476922899138611,2022-03-24 17:07:01.550908,2022-03-24 17:07:21.144629,0 days 00:00:19.593721000,437.5382805939338,88.87221877729792,COMPLETE
26,26,1.465742559251112,2022-03-24 17:07:21.145040,2022-03-24 17:07:25.082597,0 days 00:00:03.937557000,149.36484276484157,51.77492071647123,COMPLETE
27,27,1.4395443033525677,2022-03-24 17:07:25.082985,2022-03-24 17:07:35.119154,0 days 00:00:10.036169000,319.4851134286562,62.11290018170045,COMPLETE
28,28,1.4954386327571765,2022-03-24 17:07:35.119829,2022-03-24 17:07:49.330250,0 days 00:00:14.210421000,367.483557928497,75.32953819659996,COMPLETE
29,29,1.5459360880805364,2022-03-24 17:07:49.330641,2022-03-24 17:07:59.982851,0 days 00:00:10.652210000,239.04856188740175,88.6869998876009,COMPLETE
30,30,1.4758048651498612,2022-03-24 17:07:59.983254,2022-03-24 17:08:10.560230,0 days 00:00:10.576976000,233.55238862356114,87.20734427634088,COMPLETE
31,31,1.4433818794761142,2022-03-24 17:08:10.560758,2022-03-24 17:08:19.355217,0 days 00:00:08.794459000,191.1817650234381,91.50983438904743,COMPLETE
32,32,1.4190850920620617,2022-03-24 17:08:19.355666,2022-03-24 17:08:28.998659,0 days 00:00:09.642993000,246.4927398260628,77.2888873416769,COMPLETE
33,33,1.4210211997011162,2022-03-24 17:08:28.999410,2022-03-24 17:08:35.255494,0 days 00:00:06.256084000,176.2808672143787,70.12126058687888,COMPLETE
34,34,1.5159628206641433,2022-03-24 17:08:35.255909,2022-03-24 17:08:48.896804,0 days 00:00:13.640895000,428.2972186946023,63.534100775858256,COMPLETE
35,35,1.4574576407190938,2022-03-24 17:08:48.897215,2022-03-24 17:08:59.087069,0 days 00:00:10.189854000,216.80901568207304,93.26569769410281,COMPLETE
36,36,1.4840430103301234,2022-03-24 17:08:59.087473,2022-03-24 17:09:10.852726,0 days 00:00:11.765253000,283.59498377736116,82.06672962816268,COMPLETE
37,37,1.4545622193636132,2022-03-24 17:09:10.853147,2022-03-24 17:09:34.394951,0 days 00:00:23.541804000,470.0215337313065,99.7677880938941,COMPLETE
38,38,1.4689246559883233,2022-03-24 17:09:34.395671,2022-03-24 17:09:49.338623,0 days 00:00:14.942952000,344.92496456227593,85.7010365697423,COMPLETE
39,39,1.445990625449864,2022-03-24 17:09:49.339023,2022-03-24 17:09:51.806383,0 days 00:00:02.467360000,138.99034786471424,34.44633161645275,COMPLETE
40,40,1.5551852783511038,2022-03-24 17:09:51.806759,2022-03-24 17:10:00.575690,0 days 00:00:08.768931000,266.03471974918614,61.30641934845015,COMPLETE
41,41,1.445990625449864,2022-03-24 17:10:00.576223,2022-03-24 17:10:08.749585,0 days 00:00:08.173362000,260.74361796259825,61.204821664532915,COMPLETE
42,42,1.4627156867449844,2022-03-24 17:10:08.750081,2022-03-24 17:10:16.566447,0 days 00:00:07.816366000,306.5395274183922,49.09269984565353,COMPLETE
43,43,1.499283578913609,2022-03-24 17:10:16.566969,2022-03-24 17:10:25.650130,0 days 00:00:09.083161000,224.6803158495572,78.75553934344927,COMPLETE
44,44,1.445990625449864,2022-03-24 17:10:25.650578,2022-03-24 17:10:32.514559,0 days 00:00:06.863981000,192.10675949253067,68.2119000025457,COMPLETE
45,45,1.434132689205547,2022-03-24 17:10:32.515310,2022-03-24 17:10:41.421826,0 days 00:00:08.906516000,397.88749592407476,43.94661578515787,COMPLETE
46,46,1.4221392336898664,2022-03-24 17:10:41.422241,2022-03-24 17:10:49.719726,0 days 00:00:08.297485000,247.52778029189562,66.64763349190929,COMPLETE
47,47,1.5775459581261018,2022-03-24 17:10:49.720128,2022-03-24 17:11:02.821808,0 days 00:00:13.101680000,445.41653471786515,57.96420697517764,COMPLETE
48,48,1.473623335415715,2022-03-24 17:11:02.822220,2022-03-24 17:11:05.949656,0 days 00:00:03.127436000,447.145190196523,13.078861328854472,COMPLETE
49,49,1.4345236101806342,2022-03-24 17:11:05.950080,2022-03-24 17:11:20.895071,0 days 00:00:14.944991000,499.33234243849364,58.98969789913705,COMPLETE
